Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
47.4424, 1, 5, 0.857451, 0.857282, -1, -1, -1, 0.269289, 0.268956
47.4664, 1, 5, 0.857527, 0.857323, -1, -1, -1, 0.26945, 0.269039
47.5044, 1, 5, 0.857616, 0.857365, -1, -1, -1, 0.269592, 0.269118
47.5404, 1, 5, 0.857693, 0.857406, -1, -1, -1, 0.26967, 0.269187
47.5784, 1, 5, 0.857767, 0.857446, -1, -1, -1, 0.269755, 0.26925
47.6124, 1, 5, 0.857829, 0.857484, -1, -1, -1, 0.26985, 0.26931
47.6464, 1, 5, 0.857896, 0.857522, -1, -1, -1, 0.269963, 0.269369
47.6824, 1, 5, 0.857967, 0.857559, -1, -1, -1, 0.270077, 0.269428
47.7164, 1, 5, 0.85803, 0.857595, -1, -1, -1, 0.270197, 0.269487
47.7544, 1, 5, 0.858092, 0.857631, -1, -1, -1, 0.270323, 0.269547
47.7904, 1, 5, 0.858143, 0.857665, -1, -1, -1, 0.270413, 0.269605
47.8264, 1, 5, 0.858205, 0.857699, -1, -1, -1, 0.270499, 0.269661
47.9624, 1, 5, 0.858415, 0.857827, -1, -1, -1, 0.270928, 0.269876
47.9984, 1, 5, 0.85845, 0.857857, -1, -1, -1, 0.271049, 0.269932
48.0324, 1, 5, 0.858499, 0.857886, -1, -1, -1, 0.271178, 0.269989
48.0644, 1, 5, 0.858462, 0.857911, -1, -1, -1, 0.271227, 0.270042
48.1004, 1, 5, 0.858443, 0.857933, -1, -1, -1, 0.271144, 0.270088
48.1344, 1, 5, 0.858441, 0.857954, -1, -1, -1, 0.27113, 0.27013
48.1684, 1, 5, 0.858434, 0.857972, -1, -1, -1, 0.271166, 0.27017
48.2084, 1, 5, 0.858427, 0.857989, -1, -1, -1, 0.271171, 0.270207
48.2424, 1, 5, 0.858419, 0.858004, -1, -1, -1, 0.271182, 0.270242
48.2784, 1, 5, 0.858409, 0.858018, -1, -1, -1, 0.271207, 0.270275
48.3164, 1, 5, 0.858408, 0.858031, -1, -1, -1, 0.271238, 0.270307
