Stamp, X, Y, Z, Yaw
0, 0.00593684, -0.0110803, -0.0366242, -0.0531943
0.034, 0.00586771, -0.0110217, -0.0366787, -0.053178
0.068, 0.00582514, -0.0109897, -0.0368523, -0.0531453
0.104, 0.00578688, -0.0109621, -0.0367139, -0.0530994
0.138, 0.00570472, -0.0108503, -0.0365691, -0.0530768
0.17, 0.0056183, -0.010726, -0.0363934, -0.0530211
0.208, 0.0055416, -0.0106161, -0.0360872, -0.0529732
0.238, 0.00547401, -0.0105194, -0.0357835, -0.0529544
0.276, 0.00539842, -0.0104108, -0.0352767, -0.0529059
0.308, 0.00534894, -0.0103401, -0.0348583, -0.0528505
0.346, 0.00521849, -0.0102829, -0.0344321, -0.0528236
0.38, 0.00507199, -0.0102348, -0.0340892, -0.0527658
0.416, 0.00493704, -0.0101912, -0.0338161, -0.0527076
0.45, 0.00478585, -0.0101455, -0.0334061, -0.0526871
0.488, 0.00467678, -0.0101159, -0.0331497, -0.0526538
0.522, 0.00456586, -0.0100931, -0.0329609, -0.0526326
0.556, 0.0044343, -0.0100779, -0.0327714, -0.0526209
0.59, 0.00431477, -0.0100698, -0.0326348, -0.0525898
0.622, 0.00420556, -0.0100655, -0.0324304, -0.0525725
0.658, 0.00408282, -0.0100581, -0.0320822, -0.0525716
0.692, 0.00399416, -0.010057, -0.0319666, -0.0525793
0.726, 0.00393418, -0.010058, -0.031768, -0.0525808
0.76, 0.00389806, -0.010066, -0.0315074, -0.0525805
0.794, 0.00386497, -0.0100737, -0.0313227, -0.0525781
0.828, 0.00383454, -0.0100842, -0.0314072, -0.0525701
0.862, 0.00380713, -0.0100949, -0.0314563, -0.0525644
0.894, 0.00378214, -0.0101071, -0.0314441, -0.0525475
0.93, 0.00377348, -0.0101232, -0.0314476, -0.0525357
0.962, 0.00378828, -0.0101394, -0.0313682, -0.0525242
0.994, 0.00380189, -0.0101562, -0.0312652, -0.0525023
1.028, 0.0038148, -0.0101731, -0.0312177, -0.0524777
1.064, 0.00382727, -0.0101892, -0.03117, -0.0524614
1.098, 0.00384222, -0.0102095, -0.0311254, -0.0524308
1.132, 0.0037211, -0.0101285, -0.0309499, -0.0523979
1.166, 0.00356712, -0.0100239, -0.0308314, -0.0523901
1.198, 0.00339113, -0.00990755, -0.0306479, -0.0523706
1.236, 0.00326369, -0.00982211, -0.0306479, -0.0523493
1.272, 0.00314316, -0.00974621, -0.0305885, -0.0523446
1.304, 0.00303348, -0.00967535, -0.0303907, -0.0523365
1.338, 0.002945, -0.00963698, -0.0302657, -0.0523374
1.372, 0.00280284, -0.00958325, -0.0301169, -0.0523374
1.404, 0.00270038, -0.00954307, -0.0300039, -0.0523455
1.438, 0.00260027, -0.00950793, -0.0301103, -0.0523589
1.474, 0.00251138, -0.00947327, -0.0301847, -0.052365
1.508, 0.00240326, -0.00940918, -0.0302869, -0.0523731
1.546, 0.00231167, -0.00928787, -0.0304262, -0.0523886
1.582, 0.00224276, -0.00920431, -0.0304852, -0.0523917
1.616, 0.00214488, -0.00907659, -0.0303469, -0.0523996
1.65, 0.00207405, -0.00898447, -0.0301173, -0.0523804
1.686, 0.00200353, -0.00889998, -0.0300996, -0.0523748
1.718, 0.00202377, -0.00881956, -0.0302367, -0.0523509
1.75, 0.00215167, -0.00877753, -0.0302994, -0.0523144
1.788, 0.00226427, -0.00873783, -0.0304009, -0.0522971
1.822, 0.00234468, -0.00871049, -0.0304433, -0.0522433
1.856, 0.00244339, -0.00867642, -0.0304874, -0.0521939
1.994, 0.00293425, -0.00861939, -0.0298289, -0.0519811
2.022, 0.00302845, -0.00861659, -0.029765, -0.051909
2.062, 0.00311634, -0.00861445, -0.029498, -0.0518561
2.098, 0.00315382, -0.00863413, -0.0292239, -0.0518336
2.136, 0.00318931, -0.00865162, -0.0289894, -0.0517979
2.176, 0.00321377, -0.00866238, -0.0289889, -0.0517775
2.212, 0.00324613, -0.00867693, -0.029082, -0.0517684
2.246, 0.00327633, -0.00868876, -0.0292685, -0.0517469
2.28, 0.00330509, -0.00869953, -0.029453, -0.0517495
2.318, 0.00321553, -0.00864615, -0.0296679, -0.0517543
2.352, 0.00308657, -0.00857311, -0.0298036, -0.0517709
2.388, 0.00293847, -0.00848866, -0.0299328, -0.0517759
2.424, 0.0028061, -0.00841518, -0.0296261, -0.0517818
2.558, 0.00237763, -0.00799232, -0.0290645, -0.0518357
2.592, 0.00231455, -0.00791794, -0.0290125, -0.0518491
2.628, 0.00223486, -0.00782454, -0.0289945, -0.051858
2.662, 0.00216153, -0.00773891, -0.0290575, -0.0518828
2.696, 0.00206246, -0.00762749, -0.0289867, -0.0519057
2.73, 0.00193788, -0.00749216, -0.0289671, -0.0519137
2.766, 0.00182142, -0.0073679, -0.0289177, -0.0519482
2.8, 0.00171105, -0.00725228, -0.0286447, -0.0519769
2.838, 0.00160679, -0.00714499, -0.0284474, -0.0519916
2.874, 0.00150851, -0.00704594, -0.0283237, -0.052014
2.908, 0.00146304, -0.00708057, -0.0283773, -0.0520326
2.942, 0.00143868, -0.00715733, -0.0283406, -0.052038
2.976, 0.00141607, -0.00723053, -0.0281698, -0.0520374
3.01, 0.00138788, -0.00731416, -0.0280972, -0.0520405
3.044, 0.00136043, -0.00737249, -0.02806, -0.0520317
3.14, 0.00142256, -0.00735836, -0.0278329, -0.0519555
3.178, 0.00144866, -0.00733771, -0.0277698, -0.0519243
3.212, 0.00146799, -0.00731819, -0.0278764, -0.0518916
3.25, 0.00148293, -0.00730014, -0.0281322, -0.0518797
3.286, 0.00150243, -0.00728245, -0.0283686, -0.0518307
3.316, 0.0015121, -0.00726817, -0.0285289, -0.0517813
3.35, 0.00156987, -0.00726545, -0.0286459, -0.0517533
3.384, 0.00171478, -0.00728354, -0.0287945, -0.0517059
3.42, 0.00194339, -0.00731462, -0.0288463, -0.0516506
3.454, 0.00211017, -0.00733743, -0.0291638, -0.0516171
3.49, 0.00229824, -0.00736208, -0.0293392, -0.0515664
3.524, 0.00243722, -0.00738096, -0.0295408, -0.0514988
3.56, 0.00259118, -0.00733653, -0.0298521, -0.0514728
3.594, 0.00274204, -0.00727724, -0.0302623, -0.0514259
3.63, 0.00291355, -0.00721144, -0.030757, -0.051377
3.736, 0.0032793, -0.00702816, -0.0316373, -0.0513027
3.772, 0.00332873, -0.00692892, -0.0316724, -0.0512828
3.808, 0.00337351, -0.00683341, -0.0318289, -0.0512353
3.842, 0.00341555, -0.00674792, -0.0321264, -0.051166
3.876, 0.00345382, -0.00666801, -0.0324426, -0.0511343
3.91, 0.0034891, -0.00659506, -0.0327812, -0.0510591
3.942, 0.00349206, -0.00643989, -0.0332048, -0.0509945
3.978, 0.00348771, -0.00630851, -0.0336153, -0.050964
4.012, 0.00348447, -0.00618396, -0.0339534, -0.0509041
4.046, 0.00348214, -0.00606508, -0.0341015, -0.0508396
4.078, 0.00348044, -0.00595092, -0.0343263, -0.0508119
4.116, 0.00347912, -0.0058439, -0.0346001, -0.0507507
4.15, 0.00351812, -0.00570324, -0.0347629, -0.0507007
4.182, 0.00355382, -0.00556457, -0.0349348, -0.0506811
4.216, 0.00358667, -0.00543989, -0.0350543, -0.0506336
4.32, 0.0037606, -0.00511864, -0.0359884, -0.0504835
4.354, 0.00394127, -0.0050914, -0.03616, -0.0504221
4.388, 0.00410978, -0.0050579, -0.0362607, -0.0503927
4.424, 0.00426445, -0.00502747, -0.0363155, -0.0503588
4.458, 0.00440968, -0.00498839, -0.0362634, -0.0503297
4.49, 0.00454253, -0.00495914, -0.0361679, -0.0503211
4.524, 0.00466869, -0.00492312, -0.0361474, -0.0502997
4.562, 0.00478797, -0.00488415, -0.036176, -0.0502856
4.594, 0.00488995, -0.00488057, -0.0361601, -0.0502744
4.628, 0.00492956, -0.00491474, -0.0360501, -0.0502538
4.662, 0.00496804, -0.00494305, -0.035817, -0.0502353
4.698, 0.00500512, -0.00496605, -0.0359081, -0.0502247
4.732, 0.00504325, -0.00497996, -0.0361182, -0.0502039
4.766, 0.00507936, -0.00499117, -0.0362351, -0.0501825
4.872, 0.00572891, -0.00517964, -0.0363944, -0.0500731
4.908, 0.00597948, -0.00524512, -0.0362709, -0.050037
4.942, 0.00612937, -0.00527019, -0.0363319, -0.0499708
4.978, 0.00630853, -0.00533209, -0.0363919, -0.0499059
5.016, 0.00650146, -0.00544292, -0.0363879, -0.04987
5.05, 0.00664639, -0.00551928, -0.0363645, -0.0498153
5.084, 0.00678718, -0.00558237, -0.0364472, -0.0497307
5.118, 0.00695286, -0.00565059, -0.0363079, -0.0496858
5.156, 0.00705504, -0.00571185, -0.0362739, -0.0496155
5.194, 0.0070869, -0.00580472, -0.0361987, -0.0495455
5.226, 0.0071198, -0.00591122, -0.0359778, -0.0495028
5.296, 0.00719592, -0.00605939, -0.0353498, -0.0493519
5.338, 0.0072084, -0.00612592, -0.0349829, -0.0493255
5.368, 0.00715469, -0.00624239, -0.0348274, -0.0492625
5.406, 0.00712105, -0.00632262, -0.0348259, -0.0491955
5.442, 0.00710145, -0.00638946, -0.0348723, -0.0491693
5.482, 0.00708896, -0.00644688, -0.0349672, -0.0491198
5.518, 0.00706985, -0.00637445, -0.0351099, -0.0490443
5.552, 0.00706982, -0.00627402, -0.035079, -0.049026
5.588, 0.00706726, -0.00614974, -0.0347093, -0.0489447
5.626, 0.00706262, -0.00600756, -0.0341499, -0.0488643
5.662, 0.00707053, -0.00592029, -0.0338601, -0.0488402
5.696, 0.00708403, -0.00580739, -0.033558, -0.0487884
5.732, 0.00694153, -0.00558659, -0.0333056, -0.0487397
5.766, 0.00677369, -0.00533156, -0.0331147, -0.0487117
5.868, 0.0063126, -0.00462247, -0.0325102, -0.0485932
5.904, 0.00619874, -0.0044259, -0.0321067, -0.0485367
5.938, 0.00609472, -0.0042383, -0.031732, -0.048486
