Stamp, X, Y, Z, Yaw
0, 2.41017e-18, -4.85162e-34, -0.0196805, -0.051602
0.032, 2.23319e-18, -4.49537e-34, -0.0182354, -0.0521203
0.07, 2.10845e-18, -4.24428e-34, -0.0172168, -0.0523287
0.104, 1.95547e-18, -3.93632e-34, -0.0159676, -0.0527523
0.138, 1.85796e-18, -3.74004e-34, -0.0151714, -0.0530735
0.174, 1.76438e-18, -3.55166e-34, -0.0144072, -0.053208
0.21, 1.64811e-18, -3.31761e-34, -0.0134578, -0.0534254
0.244, 1.45267e-18, -2.9242e-34, -0.0118619, -0.0535816
0.28, 1.32448e-18, -2.66615e-34, -0.0108152, -0.0536564
0.312, 1.26604e-18, -2.54852e-34, -0.010338, -0.0537859
0.348, 1.2045e-18, -2.42463e-34, -0.00983549, -0.0538882
0.384, 1.11944e-18, -2.25341e-34, -0.0091409, -0.0539618
0.418, 1.04453e-18, -2.10261e-34, -0.0085292, -0.0541567
0.452, 9.48679e-19, -1.90967e-34, -0.00774655, -0.0543558
0.486, 8.49712e-19, -1.71045e-34, -0.00693843, -0.054463
0.522, 7.84306e-19, -1.57879e-34, -0.00640434, -0.054732
0.556, 7.20165e-19, -1.44968e-34, -0.00588059, -0.0550576
0.592, 6.67215e-19, -1.34309e-34, -0.00544822, -0.0552411
0.624, 6.12716e-19, -1.23339e-34, -0.00500321, -0.0556802
0.658, 5.58417e-19, -1.12408e-34, -0.00455982, -0.056175
0.692, 5.33002e-19, -1.07292e-34, -0.00435229, -0.056402
0.724, 5.04415e-19, -1.01538e-34, -0.00411886, -0.0569339
0.764, 4.9283e-19, -9.92058e-35, -0.00402426, -0.0574782
0.798, 5.17831e-19, -1.04238e-34, -0.00422841, -0.0576715
0.836, 5.49863e-19, -1.10686e-34, -0.00448997, -0.0581431
0.868, 5.34515e-19, -1.07597e-34, -0.00436464, -0.058579
0.902, 5.18401e-19, -1.04353e-34, -0.00423307, -0.0587321
0.936, 5.04905e-19, -1.01636e-34, -0.00412286, -0.0590809
0.972, 4.55685e-19, -9.17285e-35, -0.00372095, -0.0594608
1.008, 3.90158e-19, -7.8538e-35, -0.00318588, -0.0596255
1.042, 3.13689e-19, -6.31449e-35, -0.00256146, -0.0599677
1.078, 1.95959e-19, -3.94462e-35, -0.00160013, -0.0602406
1.112, 8.42726e-20, -1.69639e-35, -0.000688138, -0.0603734
1.144, -3.62282e-20, 7.29266e-36, 0.000295825, -0.0605643
1.178, -9.55461e-20, 1.92333e-35, 0.000780193, -0.0607343
1.214, -1.27544e-19, 2.56744e-35, 0.00104148, -0.060841
1.248, -1.82082e-19, 3.66527e-35, 0.00148681, -0.0611149
1.282, -2.46306e-19, 4.95809e-35, 0.00201124, -0.0613426
1.312, -2.94573e-19, 5.92969e-35, 0.00240537, -0.0614618
1.352, -3.40452e-19, 6.85323e-35, 0.00278, -0.0617229
1.386, -3.8321e-19, 7.71394e-35, 0.00312915, -0.06197
1.418, -3.7084e-19, 7.46494e-35, 0.00302814, -0.0621127
1.456, -3.49774e-19, 7.04089e-35, 0.00285612, -0.0623888
1.492, -3.34336e-19, 6.73012e-35, 0.00273006, -0.0626243
1.524, -3.13098e-19, 6.3026e-35, 0.00255664, -0.0627524
1.562, -2.85125e-19, 5.73951e-35, 0.00232822, -0.0629566
1.594, -2.90452e-19, 5.84674e-35, 0.00237172, -0.0631256
1.628, -3.14115e-19, 6.32307e-35, 0.00256494, -0.0632027
1.664, -3.41293e-19, 6.87017e-35, 0.00278687, -0.0633677
1.702, -3.90259e-19, 7.85584e-35, 0.00318671, -0.0635131
1.736, -4.35941e-19, 8.77541e-35, 0.00355973, -0.063545
1.77, -4.77359e-19, 9.60914e-35, 0.00389793, -0.0636299
1.802, -5.43893e-19, 1.09485e-34, 0.00444122, -0.0637173
1.84, -6.29365e-19, 1.2669e-34, 0.00513916, -0.0637677
1.872, -7.35767e-19, 1.48109e-34, 0.006008, -0.0638921
1.908, -8.4344e-19, 1.69783e-34, 0.00688721, -0.0640559
1.944, -9.4093e-19, 1.89407e-34, 0.00768327, -0.0641426
1.978, -1.0136e-18, 2.04035e-34, 0.00827664, -0.0643047
2.01, -1.13984e-18, 2.29447e-34, 0.00930747, -0.0645336
2.046, -1.28467e-18, 2.58602e-34, 0.0104901, -0.0646568
2.082, -1.43634e-18, 2.89133e-34, 0.0117286, -0.0649945
2.118, -1.59766e-18, 3.21606e-34, 0.0130459, -0.065351
2.152, -1.69816e-18, 3.41837e-34, 0.0138666, -0.0654556
2.188, -1.82816e-18, 3.68004e-34, 0.014928, -0.0657707
2.222, -1.89833e-18, 3.8213e-34, 0.015501, -0.0661472
2.256, -1.92367e-18, 3.87231e-34, 0.015708, -0.0662883
2.29, -1.89392e-18, 3.81243e-34, 0.015465, -0.0666177
2.324, -1.85955e-18, 3.74323e-34, 0.0151843, -0.0668881
2.362, -1.80961e-18, 3.64271e-34, 0.0147766, -0.0669616
2.394, -1.74669e-18, 3.51604e-34, 0.0142628, -0.067143
2.428, -1.71552e-18, 3.45331e-34, 0.0140083, -0.067233
2.462, -1.70972e-18, 3.44164e-34, 0.0139609, -0.0673853
2.496, -1.66999e-18, 3.36165e-34, 0.0136365, -0.0674994
2.526, -1.5856e-18, 3.19178e-34, 0.0129474, -0.0675872
2.56, -1.49771e-18, 3.01487e-34, 0.0122298, -0.0676218
2.594, -1.38803e-18, 2.79408e-34, 0.0113341, -0.0677415
2.628, -1.25633e-18, 2.52897e-34, 0.0102587, -0.0679295
2.664, -1.11354e-18, 2.24153e-34, 0.00909274, -0.0680481
2.698, -9.93934e-19, 2.00077e-34, 0.00811609, -0.0682659
2.732, -8.30714e-19, 1.67221e-34, 0.00678329, -0.0684221
2.766, -6.96717e-19, 1.40248e-34, 0.00568912, -0.0685164
2.802, -5.96276e-19, 1.20029e-34, 0.00486896, -0.0687561
2.834, -4.47772e-19, 9.01357e-35, 0.00365634, -0.0689269
2.868, -3.06016e-19, 6.16004e-35, 0.00249881, -0.0690071
2.902, -2.345e-19, 4.72043e-35, 0.00191483, -0.0691486
2.934, -1.92454e-19, 3.87405e-35, 0.0015715, -0.0692659
2.97, -1.80043e-19, 3.62424e-35, 0.00147016, -0.0693165
3.002, -1.70586e-19, 3.43387e-35, 0.00139294, -0.0693934
3.038, 0.000293307, -1.39025e-05, 0.00193424, -0.069464
3.072, 0.000593271, -1.32903e-05, 0.00259523, -0.0694898
3.11, 0.00110228, -1.21732e-05, 0.00376192, -0.069534
3.146, 0.00153578, -1.11962e-05, 0.00467991, -0.0695932
3.18, 0.00197313, -1.00655e-05, 0.00592837, -0.0696154
3.212, 0.0025187, -8.83563e-06, 0.007462, -0.0696515
3.246, 0.00321721, -8.32292e-06, 0.008965, -0.0696989
3.282, 0.00388594, -8.12973e-06, 0.0104249, -0.069704
3.318, 0.004494, -8.06554e-06, 0.0117786, -0.0696873
3.352, 0.00507712, -8.24081e-06, 0.013035, -0.069681
3.386, 0.00571452, -8.53316e-06, 0.0141941, -0.0696443
3.42, 0.00623203, -9.3154e-06, 0.0152559, -0.0696089
3.456, 0.00658903, -1.00414e-05, 0.0163597, -0.0695714
3.49, 0.00683383, -1.06793e-05, 0.0172488, -0.0695687
3.526, 0.00722721, -1.19667e-05, 0.0185986, -0.0695471
3.56, 0.00758954, -1.34722e-05, 0.0199375, -0.0695608
3.596, 0.00787492, -1.47039e-05, 0.0208482, -0.0696221
3.63, 0.00819109, -1.50357e-05, 0.0222791, -0.0697539
3.664, 0.00837707, -1.40369e-05, 0.0231989, -0.0698587
3.7, 0.0085588, -1.29346e-05, 0.0239705, -0.070093
3.732, 0.00879681, -1.20396e-05, 0.0249163, -0.0703956
3.766, 0.00903144, -1.08926e-05, 0.0259016, -0.0706887
3.8, 0.00926904, -9.65503e-06, 0.0268061, -0.0708426
3.834, 0.00940456, -0.000235518, 0.0276018, -0.0711268
3.866, 0.00954199, -0.000436553, 0.0284506, -0.0713048
3.902, 0.0097198, -0.000615036, 0.0294367, -0.071549
3.936, 0.0098965, -0.000773682, 0.0304496, -0.071789
3.97, 0.0101178, -0.000914462, 0.031279, -0.0719724
4.004, 0.0103816, -0.00103892, 0.0321657, -0.0720598
4.042, 0.0105711, -0.00132002, 0.0327196, -0.0722879
4.074, 0.0108067, -0.00154199, 0.033469, -0.0724875
4.11, 0.0110366, -0.00173645, 0.0341635, -0.0725394
