Stamp, X, Y, Z, Yaw
0, -0.00105072, -0.0050911, -0.0148172, -0.035162
0.032, -0.00105426, -0.0050581, -0.0147816, -0.0351664
0.068, -0.00105785, -0.00501779, -0.0147466, -0.0351846
0.102, -0.00105219, -0.00493486, -0.0147237, -0.0351915
0.134, -0.00104576, -0.00486683, -0.0145109, -0.0351971
0.17, -0.00104204, -0.0047951, -0.0143342, -0.035199
0.202, -0.00104079, -0.0047203, -0.0142695, -0.0351949
0.236, -0.00103744, -0.00463872, -0.0142087, -0.0351897
0.268, -0.00103187, -0.00455686, -0.0139519, -0.0351589
0.304, -0.0010273, -0.0044791, -0.0137752, -0.0351302
0.338, -0.00101734, -0.00436888, -0.0135223, -0.0351218
0.372, -0.00101153, -0.00428256, -0.0131855, -0.0350995
0.406, -0.00100577, -0.00420363, -0.0129456, -0.0350687
0.438, -0.00100132, -0.00410483, -0.0125276, -0.0350563
0.472, -0.000996144, -0.00406765, -0.0123164, -0.0350394
0.508, -0.000983608, -0.00408639, -0.0120385, -0.0350144
0.54, -0.000975688, -0.00408891, -0.0116507, -0.0350055
0.572, -0.000967891, -0.00408437, -0.0110363, -0.0349987
0.608, -0.000966404, -0.00407143, -0.0106966, -0.034977
0.642, -0.00096146, -0.00405825, -0.0105088, -0.0349664
0.674, -0.000953545, -0.00408706, -0.0105486, -0.0349548
0.71, -0.000944309, -0.00414367, -0.010623, -0.0349714
0.742, -0.000939271, -0.00418262, -0.0106055, -0.0349753
0.778, -0.000933225, -0.00422097, -0.0107879, -0.0349776
0.81, -0.00093057, -0.0042447, -0.0108697, -0.034992
0.84, -0.000924993, -0.00427489, -0.0109319, -0.0349986
0.882, -0.0009225, -0.0042759, -0.0111746, -0.034999
0.916, -0.000910576, -0.00425961, -0.0115108, -0.0349992
0.952, -0.000901766, -0.00423608, -0.0118633, -0.0349762
0.986, -0.0008871, -0.00421156, -0.0120048, -0.0349542
1.02, -0.000885515, -0.00418346, -0.011989, -0.0349273
1.054, -0.000884724, -0.00414431, -0.01211, -0.0349168
1.088, -0.000873399, -0.00419562, -0.0124271, -0.0348971
1.122, -0.000864285, -0.00423666, -0.0127969, -0.0348903
1.154, -0.000860571, -0.00425916, -0.0130917, -0.0348881
1.19, -0.00085253, -0.00429372, -0.0134166, -0.0348901
1.224, -0.000848447, -0.0043117, -0.0135663, -0.0348972
1.256, -0.000841324, -0.00435072, -0.0137099, -0.0348927
1.292, -0.000825456, -0.00446104, -0.0139361, -0.034889
1.326, -0.000817344, -0.00452905, -0.0140723, -0.0348798
1.362, -0.000813047, -0.00458029, -0.014276, -0.0348741
1.396, -0.000812774, -0.00460668, -0.0144387, -0.0348833
1.428, -0.000813612, -0.0046347, -0.0145716, -0.0348883
1.462, -0.000810363, -0.00465379, -0.0146565, -0.0348864
1.498, -0.000799653, -0.00464478, -0.0147401, -0.0348744
1.53, -0.000790755, -0.00462375, -0.0148493, -0.0348645
1.564, -0.000785837, -0.00460268, -0.0149845, -0.0348661
1.598, -0.000781778, -0.00458125, -0.0147923, -0.0348683
1.632, -0.000783754, -0.00455289, -0.0146826, -0.0348682
1.666, -0.000749558, -0.00447986, -0.0145602, -0.0348682
1.696, -0.000580725, -0.00425649, -0.0143782, -0.0348667
1.732, -0.000459067, -0.00408972, -0.0142517, -0.0348684
1.764, -0.000348429, -0.00392547, -0.0141704, -0.034864
1.8, -0.000221922, -0.00372629, -0.0139267, -0.0348675
1.834, -0.000127523, -0.00357965, -0.0136231, -0.0348658
1.868, -4.17541e-05, -0.00342915, -0.0132611, -0.0348685
1.902, 5.7141e-05, -0.00326461, -0.0129499, -0.034871
1.934, 0.000110558, -0.00315067, -0.0127785, -0.034877
1.97, 4.66883e-05, -0.00299475, -0.0127571, -0.0348975
2.002, -1.04033e-05, -0.00290023, -0.0128742, -0.0349176
