Stamp, X, Y, Z, Yaw
0, 0.0055587, -0.00693633, -0.0532587, -0.0612074
0.032, 0.0054983, -0.00688806, -0.0532631, -0.0612376
0.066, 0.00546367, -0.00685052, -0.053297, -0.0612646
0.102, 0.00542931, -0.00680715, -0.0533206, -0.0612673
0.138, 0.00530603, -0.00667579, -0.0533937, -0.0612873
0.172, 0.00523235, -0.00658609, -0.0534227, -0.061285
0.208, 0.00519169, -0.0065275, -0.0534621, -0.0612638
0.242, 0.00513041, -0.00643906, -0.0536391, -0.0612428
0.276, 0.00508313, -0.00637488, -0.0538269, -0.0612186
0.31, 0.00497082, -0.00634976, -0.0542703, -0.0611886
0.344, 0.00489724, -0.00634511, -0.0546896, -0.0611165
0.376, 0.00483818, -0.0063433, -0.0550754, -0.0610887
0.412, 0.00479314, -0.00634429, -0.0556577, -0.0610129
0.444, 0.00475856, -0.00634756, -0.0561081, -0.060949
0.478, 0.00473153, -0.00635254, -0.0562021, -0.0609076
0.51, 0.00471332, -0.00628464, -0.0560338, -0.0608871
0.546, 0.0047186, -0.00622583, -0.0559326, -0.0607928
0.578, 0.0047363, -0.00618842, -0.055947, -0.0607612
0.618, 0.00475797, -0.00613178, -0.0559198, -0.0606697
0.652, 0.00478873, -0.00609502, -0.0557905, -0.0606176
0.686, 0.00482654, -0.0060646, -0.0557763, -0.0606011
0.718, 0.00477446, -0.00592155, -0.0559829, -0.0606003
0.752, 0.00476271, -0.00584459, -0.0564085, -0.0606047
0.786, 0.00475459, -0.00574954, -0.057091, -0.0606265
0.82, 0.00474543, -0.00564176, -0.0577087, -0.0606379
0.856, 0.00474757, -0.00556432, -0.0581507, -0.0606345
0.89, 0.0047708, -0.00550978, -0.0587613, -0.060642
0.926, 0.0048035, -0.00550368, -0.0590424, -0.060654
0.954, 0.00483454, -0.00549773, -0.0593402, -0.060674
0.992, 0.00487857, -0.00549284, -0.0596648, -0.0606848
1.026, 0.00492698, -0.00548837, -0.0597559, -0.0607059
1.058, 0.00497902, -0.0054863, -0.0598084, -0.0607766
1.102, 0.00502748, -0.00545315, -0.0596937, -0.0608402
1.136, 0.00508452, -0.00539332, -0.0595359, -0.0608739
1.17, 0.00514604, -0.00532774, -0.059124, -0.0609516
1.204, 0.00521314, -0.00528206, -0.058994, -0.0610207
1.238, 0.00527463, -0.00524184, -0.0588717, -0.0610533
1.274, 0.00536403, -0.00518411, -0.0585591, -0.0611116
1.314, 0.00541915, -0.00512031, -0.0585043, -0.0611337
1.348, 0.00549121, -0.00504321, -0.0584342, -0.0611898
1.384, 0.0055672, -0.00497511, -0.0585072, -0.0612474
1.418, 0.00564133, -0.00491438, -0.0585555, -0.061324
1.456, 0.00572736, -0.00486006, -0.0588036, -0.0613555
1.49, 0.00577559, -0.00489961, -0.0589147, -0.0614101
1.526, 0.00576485, -0.0050439, -0.0588472, -0.0614713
1.558, 0.0057717, -0.00517902, -0.0588333, -0.0614903
1.592, 0.00578639, -0.0053362, -0.0586093, -0.0614824
1.628, 0.00581121, -0.00545418, -0.058444, -0.061459
1.662, 0.00584529, -0.00556622, -0.0582539, -0.061437
1.696, 0.00578177, -0.00573883, -0.0578333, -0.061395
1.726, 0.00575356, -0.00586891, -0.0577107, -0.0613445
1.76, 0.00574139, -0.00596168, -0.0575159, -0.061263
1.796, 0.00573917, -0.00607992, -0.057336, -0.0611733
1.834, 0.00574162, -0.00621652, -0.0568803, -0.0610782
1.866, 0.00576298, -0.00629721, -0.0565852, -0.0610512
1.904, 0.00578734, -0.00641997, -0.0558387, -0.0609889
1.94, 0.00582547, -0.00651513, -0.0552552, -0.0609581
1.974, 0.00584902, -0.00682815, -0.0542764, -0.0609361
2.008, 0.00588213, -0.00700732, -0.0538143, -0.060896
2.046, 0.00592851, -0.00723224, -0.0532068, -0.0608519
2.08, 0.00598369, -0.00744486, -0.0527335, -0.0608346
2.114, 0.00602526, -0.007637, -0.0523781, -0.0607952
2.148, 0.00609488, -0.00782742, -0.0522503, -0.060758
2.182, 0.00613589, -0.00788783, -0.0520188, -0.0607477
2.216, 0.00618326, -0.00794987, -0.0518174, -0.0607189
2.248, 0.00624529, -0.00802574, -0.0516204, -0.0606786
2.288, 0.0063104, -0.00809065, -0.0515384, -0.0606625
2.32, 0.00637429, -0.00815256, -0.0514737, -0.0606052
2.356, 0.00634391, -0.00836018, -0.0508323, -0.0605187
2.392, 0.00632522, -0.00860293, -0.05014, -0.0604938
2.424, 0.00632126, -0.00873961, -0.049741, -0.0604236
2.46, 0.00633202, -0.00895938, -0.0490411, -0.0603505
2.494, 0.00636095, -0.00913163, -0.0485264, -0.0603263
2.53, 0.00637624, -0.00921946, -0.0477854, -0.0602784
2.566, 0.0063945, -0.0091208, -0.0471724, -0.0602308
2.602, 0.00642434, -0.0090143, -0.0464432, -0.0602087
2.636, 0.0064596, -0.00896646, -0.0460872, -0.0601741
2.668, 0.00649544, -0.00888157, -0.0454897, -0.0601575
2.702, 0.00655882, -0.00883992, -0.0452232, -0.0601045
2.738, 0.00659553, -0.00860932, -0.0449675, -0.0600354
2.77, 0.00663964, -0.00836708, -0.044846, -0.0599532
2.804, 0.00667984, -0.0082014, -0.0448454, -0.0599256
2.836, 0.0067254, -0.00799363, -0.0446709, -0.0598631
2.87, 0.00678484, -0.00781046, -0.0444961, -0.059793
2.902, 0.00685456, -0.00760032, -0.0441802, -0.0597611
2.934, 0.00689426, -0.00740006, -0.0438683, -0.059718
