Stamp, Max volume, Current volume, Procentage
-0.100473, 2988, 7.314, 0.00244779
-0.000472868, 2988, 7.314, 0.00244779
0.399527, 2988, 7.316, 0.00244846
1.09953, 2988, 7.382, 0.00247055
1.69953, 2988, 7.43, 0.00248661
2.29953, 2988, 7.443, 0.00249096
2.69953, 2988, 7.471, 0.00250033
3.09953, 2988, 7.472, 0.00250067
3.60153, 2988, 7.472, 0.00250067
4.09953, 2988, 7.472, 0.00250067
4.59953, 2988, 7.472, 0.00250067
5.00353, 2988, 7.474, 0.00250134
5.50353, 2988, 7.474, 0.00250134
5.90353, 2988, 7.474, 0.00250134
6.40553, 2988, 7.474, 0.00250134
6.90353, 2988, 7.474, 0.00250134
7.40353, 2988, 7.485, 0.00250502
8.00353, 2988, 7.485, 0.00250502
8.40353, 2988, 7.485, 0.00250502
8.80353, 2988, 7.485, 0.00250502
9.20353, 2988, 7.485, 0.00250502
9.60553, 2988, 7.485, 0.00250502
10.0055, 2988, 7.485, 0.00250502
