Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
1.57553, 1, 5, 0.853929, 0.853926, -1, -1, -1, 0.270356, 0.270311
1.63753, 1, 5, 0.853932, 0.853928, -1, -1, -1, 0.270449, 0.270357
1.66553, 1, 5, 0.853978, 0.853941, -1, -1, -1, 0.270544, 0.270404
1.67753, 1, 5, 0.854025, 0.853957, -1, -1, -1, 0.27064, 0.270451
1.70953, 1, 5, 0.85407, 0.853976, -1, -1, -1, 0.270673, 0.270488
1.74353, 1, 5, 0.854113, 0.853996, -1, -1, -1, 0.270642, 0.27051
1.77553, 1, 5, 0.854148, 0.854015, -1, -1, -1, 0.270637, 0.270526
1.81153, 1, 5, 0.854185, 0.854034, -1, -1, -1, 0.270647, 0.270539
1.84553, 1, 5, 0.854258, 0.854056, -1, -1, -1, 0.270634, 0.270549
1.87953, 1, 5, 0.854322, 0.85408, -1, -1, -1, 0.27064, 0.270557
1.91353, 1, 5, 0.854379, 0.854105, -1, -1, -1, 0.270665, 0.270566
1.94753, 1, 5, 0.854441, 0.854131, -1, -1, -1, 0.270697, 0.270576
1.97953, 1, 5, 0.854481, 0.854156, -1, -1, -1, 0.270724, 0.270587
2.01353, 1, 5, 0.854524, 0.85418, -1, -1, -1, 0.270788, 0.2706
2.04753, 1, 5, 0.854586, 0.854206, -1, -1, -1, 0.27088, 0.270618
2.08153, 1, 5, 0.854644, 0.854232, -1, -1, -1, 0.270908, 0.270635
2.11353, 1, 5, 0.854699, 0.854258, -1, -1, -1, 0.270859, 0.270647
2.21753, 1, 5, 0.854807, 0.854333, -1, -1, -1, 0.27095, 0.270683
2.25153, 1, 5, 0.854795, 0.854354, -1, -1, -1, 0.270958, 0.270695
2.28553, 1, 5, 0.854783, 0.854372, -1, -1, -1, 0.270988, 0.270708
2.31953, 1, 5, 0.85477, 0.854389, -1, -1, -1, 0.271037, 0.270722
2.35553, 1, 5, 0.854748, 0.854403, -1, -1, -1, 0.271153, 0.270739
2.39153, 1, 5, 0.854732, 0.854416, -1, -1, -1, 0.271245, 0.270758
2.42753, 1, 5, 0.854685, 0.854426, -1, -1, -1, 0.271261, 0.270777
2.46153, 1, 5, 0.854638, 0.854434, -1, -1, -1, 0.271293, 0.270795
2.49553, 1, 5, 0.854596, 0.854439, -1, -1, -1, 0.271321, 0.270813
2.53153, 1, 5, 0.854556, 0.854443, -1, -1, -1, 0.271321, 0.27083
2.56553, 1, 5, 0.854519, 0.854445, -1, -1, -1, 0.271315, 0.270846
2.59753, 1, 5, 0.854483, 0.854447, -1, -1, -1, 0.271287, 0.27086
2.63153, 1, 5, 0.854366, 0.854444, -1, -1, -1, 0.271188, 0.27087
2.66953, 1, 5, 0.854258, 0.854439, -1, -1, -1, 0.27108, 0.270876
2.70553, 1, 5, 0.854127, 0.85443, -1, -1, -1, 0.271059, 0.270881
2.80153, 1, 5, 0.853896, 0.854392, -1, -1, -1, 0.270985, 0.27089
2.83753, 1, 5, 0.853867, 0.854378, -1, -1, -1, 0.27096, 0.270892
2.87353, 1, 5, 0.853837, 0.854365, -1, -1, -1, 0.270934, 0.270893
2.91353, 1, 5, 0.853809, 0.854351, -1, -1, -1, 0.27092, 0.270893
2.94953, 1, 5, 0.853778, 0.854338, -1, -1, -1, 0.270907, 0.270894
2.98153, 1, 5, 0.853746, 0.854324, -1, -1, -1, 0.27089, 0.270893
3.01353, 1, 5, 0.853846, 0.854313, -1, -1, -1, 0.27102, 0.270896
3.04953, 1, 5, 0.853898, 0.854304, -1, -1, -1, 0.271059, 0.2709
3.08353, 1, 5, 0.853981, 0.854297, -1, -1, -1, 0.271047, 0.270903
3.11553, 1, 5, 0.854042, 0.854291, -1, -1, -1, 0.27102, 0.270906
3.15353, 1, 5, 0.854083, 0.854287, -1, -1, -1, 0.270984, 0.270907
3.18753, 1, 5, 0.854128, 0.854284, -1, -1, -1, 0.270964, 0.270908
3.21953, 1, 5, 0.854151, 0.854281, -1, -1, -1, 0.270967, 0.27091
3.25353, 1, 5, 0.854181, 0.854279, -1, -1, -1, 0.270974, 0.270911
3.28753, 1, 5, 0.854206, 0.854278, -1, -1, -1, 0.271032, 0.270913
3.38353, 1, 5, 0.854488, 0.85428, -1, -1, -1, 0.271341, 0.270925
3.41953, 1, 5, 0.854667, 0.854287, -1, -1, -1, 0.271532, 0.270936
3.45953, 1, 5, 0.854834, 0.854296, -1, -1, -1, 0.271626, 0.270948
3.49353, 1, 5, 0.85499, 0.854308, -1, -1, -1, 0.271645, 0.27096
3.52753, 1, 5, 0.855136, 0.854322, -1, -1, -1, 0.271629, 0.270972
3.56153, 1, 5, 0.855272, 0.854338, -1, -1, -1, 0.271586, 0.270982
3.59553, 1, 5, 0.855399, 0.854356, -1, -1, -1, 0.271568, 0.270992
3.62753, 1, 5, 0.855517, 0.854374, -1, -1, -1, 0.271542, 0.271
3.66353, 1, 5, 0.855691, 0.854395, -1, -1, -1, 0.271554, 0.271009
3.69753, 1, 5, 0.855876, 0.854418, -1, -1, -1, 0.271578, 0.271018
3.73153, 1, 5, 0.856046, 0.854443, -1, -1, -1, 0.271572, 0.271027
3.76553, 1, 5, 0.856212, 0.85447, -1, -1, -1, 0.271558, 0.271035
3.79753, 1, 5, 0.856403, 0.854499, -1, -1, -1, 0.271504, 0.271042
3.84153, 1, 5, 0.856616, 0.85453, -1, -1, -1, 0.271393, 0.271047
3.93553, 1, 5, 0.857195, 0.854635, -1, -1, -1, 0.271125, 0.271055
3.96953, 1, 5, 0.857413, 0.854673, -1, -1, -1, 0.270946, 0.271053
4.00753, 1, 5, 0.857516, 0.854712, -1, -1, -1, 0.270704, 0.271048
4.04153, 1, 5, 0.857552, 0.854751, -1, -1, -1, 0.270381, 0.271039
4.07753, 1, 5, 0.857578, 0.854788, -1, -1, -1, 0.270248, 0.271029
4.10953, 1, 5, 0.857611, 0.854826, -1, -1, -1, 0.270141, 0.271017
4.14553, 1, 5, 0.857636, 0.854862, -1, -1, -1, 0.270055, 0.271005
4.17953, 1, 5, 0.857659, 0.854898, -1, -1, -1, 0.269995, 0.270992
4.21153, 1, 5, 0.857679, 0.854933, -1, -1, -1, 0.270025, 0.270979
4.25153, 1, 5, 0.857705, 0.854968, -1, -1, -1, 0.27007, 0.270968
4.28753, 1, 5, 0.857737, 0.855002, -1, -1, -1, 0.270087, 0.270957
4.32153, 1, 5, 0.857769, 0.855036, -1, -1, -1, 0.270084, 0.270947
4.39153, 1, 5, 0.857821, 0.855102, -1, -1, -1, 0.269994, 0.270925
4.42553, 1, 5, 0.857805, 0.855134, -1, -1, -1, 0.269839, 0.270912
4.45953, 1, 5, 0.85779, 0.855164, -1, -1, -1, 0.269599, 0.270897
4.49353, 1, 5, 0.857778, 0.855195, -1, -1, -1, 0.269383, 0.27088
4.52753, 1, 5, 0.857783, 0.855224, -1, -1, -1, 0.269113, 0.27086
4.56153, 1, 5, 0.857789, 0.855253, -1, -1, -1, 0.268837, 0.270837
4.59553, 1, 5, 0.857739, 0.85528, -1, -1, -1, 0.268579, 0.270812
4.63153, 1, 5, 0.857685, 0.855307, -1, -1, -1, 0.268314, 0.270784
4.66753, 1, 5, 0.857646, 0.855332, -1, -1, -1, 0.268047, 0.270755
4.69953, 1, 5, 0.857608, 0.855357, -1, -1, -1, 0.267811, 0.270723
4.73553, 1, 5, 0.857577, 0.85538, -1, -1, -1, 0.267604, 0.27069
4.77353, 1, 5, 0.857544, 0.855403, -1, -1, -1, 0.267341, 0.270654
4.87553, 1, 5, 0.857561, 0.855469, -1, -1, -1, 0.266605, 0.270539
4.90953, 1, 5, 0.857577, 0.85549, -1, -1, -1, 0.266387, 0.270497
4.95153, 1, 5, 0.857597, 0.855511, -1, -1, -1, 0.266104, 0.270453
4.99153, 1, 5, 0.857627, 0.855532, -1, -1, -1, 0.265829, 0.270407
5.02753, 1, 5, 0.857662, 0.855553, -1, -1, -1, 0.26558, 0.27036
5.06353, 1, 5, 0.857687, 0.855574, -1, -1, -1, 0.265476, 0.270312
5.09753, 1, 5, 0.857729, 0.855595, -1, -1, -1, 0.26534, 0.270264
5.12953, 1, 5, 0.857755, 0.855615, -1, -1, -1, 0.265263, 0.270217
5.16353, 1, 5, 0.857786, 0.855636, -1, -1, -1, 0.265193, 0.270169
5.19953, 1, 5, 0.8578, 0.855656, -1, -1, -1, 0.265179, 0.270123
5.24353, 1, 5, 0.857825, 0.855676, -1, -1, -1, 0.265152, 0.270077
5.30953, 1, 5, 0.857593, 0.855713, -1, -1, -1, 0.264851, 0.269984
5.34153, 1, 5, 0.857447, 0.855728, -1, -1, -1, 0.264674, 0.269936
5.37753, 1, 5, 0.857312, 0.855742, -1, -1, -1, 0.264517, 0.269888
5.41553, 1, 5, 0.857189, 0.855755, -1, -1, -1, 0.264367, 0.269839
5.44953, 1, 5, 0.857113, 0.855767, -1, -1, -1, 0.264239, 0.26979
5.48353, 1, 5, 0.857052, 0.855778, -1, -1, -1, 0.264142, 0.26974
5.51753, 1, 5, 0.856995, 0.855789, -1, -1, -1, 0.264058, 0.269691
5.55353, 1, 5, 0.856941, 0.855799, -1, -1, -1, 0.26399, 0.269643
5.58753, 1, 5, 0.856877, 0.855808, -1, -1, -1, 0.263974, 0.269595
5.62353, 1, 5, 0.856814, 0.855816, -1, -1, -1, 0.263976, 0.269548
