Stamp, Max volume, Current volume, Procentage
0.368, 2988, 7.418, 0.0024826
0.668, 2988, 7.418, 0.0024826
1.168, 2988, 8.085, 0.00270582
1.768, 2988, 8.789, 0.00294143
2.368, 2988, 12.49, 0.00418005
3.068, 2988, 38.167, 0.0127734
3.768, 2988, 67.905, 0.0227259
4.368, 2988, 93.388, 0.0312544
5.068, 2988, 124.106, 0.0415348
5.868, 2988, 154.958, 0.0518601
6.668, 2988, 160.929, 0.0538584
7.868, 2988, 164.511, 0.0550572
8.568, 2988, 165.487, 0.0553839
9.268, 2988, 166.125, 0.0555974
10.068, 2988, 166.393, 0.0556871
10.668, 2988, 166.472, 0.0557135
11.768, 2988, 166.571, 0.0557467
12.668, 2988, 169.605, 0.056762
13.968, 2988, 184.895, 0.0618792
14.87, 2988, 190.087, 0.0636168
15.972, 2988, 196.322, 0.0657035
17.468, 2988, 197.055, 0.0659488
18.368, 2988, 197.105, 0.0659655
19.268, 2988, 197.155, 0.0659823
19.868, 2988, 197.168, 0.0659866
20.868, 2988, 200.344, 0.0670495
21.768, 2988, 200.421, 0.0670753
22.568, 2988, 200.514, 0.0671064
23.068, 2988, 202.385, 0.0677326
24.168, 2988, 202.452, 0.067755
25.268, 2988, 211.66, 0.0708367
26.768, 2988, 211.66, 0.0708367
28.068, 2988, 213.098, 0.0713179
29.368, 2988, 213.203, 0.0713531
31.268, 2988, 213.203, 0.0713531
32.568, 2988, 213.206, 0.0713541
33.868, 2988, 213.206, 0.0713541
35.668, 2988, 213.435, 0.0714307
37.068, 2988, 214.061, 0.0716402
38.668, 2988, 214.061, 0.0716402
39.868, 2988, 218.074, 0.0729833
41.568, 2988, 218.537, 0.0731382
42.868, 2988, 220.018, 0.0736339
44.268, 2988, 220.018, 0.0736339
45.768, 2988, 220.042, 0.0736419
47.168, 2988, 220.042, 0.0736419
48.368, 2988, 220.172, 0.0736854
49.468, 2988, 220.245, 0.0737098
50.568, 2988, 220.363, 0.0737493
52.168, 2988, 220.519, 0.0738015
53.668, 2988, 221.53, 0.0741399
54.568, 2988, 221.847, 0.074246
55.068, 2988, 221.88, 0.074257
55.968, 2988, 222.233, 0.0743752
