Stamp, Max volume, Current volume, Procentage
-0.176, 2988, 7.405, 0.00247825
-0.076, 2988, 7.413, 0.00248092
0.524, 2988, 7.449, 0.00249297
1.024, 2988, 7.449, 0.00249297
1.624, 2988, 7.449, 0.00249297
2.224, 2988, 7.449, 0.00249297
2.624, 2988, 7.449, 0.00249297
3.224, 2988, 7.449, 0.00249297
3.624, 2988, 7.449, 0.00249297
4.024, 2988, 7.449, 0.00249297
4.624, 2988, 7.449, 0.00249297
5.024, 2988, 7.449, 0.00249297
5.424, 2988, 7.449, 0.00249297
6.124, 2988, 7.449, 0.00249297
6.524, 2988, 7.449, 0.00249297
7.024, 2988, 7.449, 0.00249297
7.424, 2988, 7.449, 0.00249297
7.924, 2988, 7.449, 0.00249297
8.424, 2988, 7.449, 0.00249297
8.824, 2988, 7.455, 0.00249498
9.324, 2988, 7.455, 0.00249498
9.924, 2988, 7.455, 0.00249498
10.224, 2988, 7.456, 0.00249531
10.824, 2988, 7.456, 0.00249531
11.224, 2988, 7.456, 0.00249531
11.724, 2988, 7.456, 0.00249531
12.324, 2988, 7.456, 0.00249531
12.824, 2988, 7.456, 0.00249531
13.324, 2988, 7.456, 0.00249531
13.724, 2988, 7.456, 0.00249531
14.124, 2988, 7.456, 0.00249531
14.626, 2988, 7.456, 0.00249531
15.124, 2988, 7.456, 0.00249531
15.624, 2988, 7.456, 0.00249531
16.024, 2988, 7.456, 0.00249531
16.624, 2988, 7.456, 0.00249531
17.124, 2988, 7.46, 0.00249665
17.524, 2988, 7.464, 0.00249799
17.924, 2988, 7.464, 0.00249799
18.424, 2988, 7.464, 0.00249799
18.924, 2988, 7.464, 0.00249799
19.324, 2988, 7.464, 0.00249799
19.824, 2988, 7.464, 0.00249799
20.224, 2988, 7.464, 0.00249799
20.724, 2988, 7.464, 0.00249799
21.324, 2988, 7.464, 0.00249799
21.724, 2988, 7.468, 0.00249933
22.124, 2988, 7.468, 0.00249933
22.724, 2988, 7.468, 0.00249933
23.124, 2988, 7.468, 0.00249933
