Stamp, X, Y, Z, Yaw
0, -0.00518851, -0.00925787, 0.0189855, -0.024922
0.034, -0.00509705, -0.00923489, 0.0195302, -0.0249463
0.07, -0.00497663, -0.00920724, 0.0201912, -0.0249596
0.104, -0.00485893, -0.00920142, 0.0206594, -0.0249792
0.14, -0.00475216, -0.00920091, 0.0212158, -0.0249921
0.176, -0.00465382, -0.00920487, 0.0217713, -0.0249996
0.202, -0.00458413, -0.00920886, 0.0221184, -0.0250003
0.244, -0.00449601, -0.00921182, 0.022584, -0.0249964
0.278, -0.00441463, -0.00921822, 0.0230711, -0.0249813
0.314, -0.00436188, -0.0092365, 0.0236028, -0.0249696
0.346, -0.00432981, -0.00925733, 0.0239861, -0.0249572
0.382, -0.00429864, -0.00927663, 0.0241544, -0.0249339
0.416, -0.00426843, -0.00930073, 0.0242447, -0.0249118
0.45, -0.00423968, -0.00932291, 0.02443, -0.0248762
0.484, -0.00425462, -0.00931826, 0.0246969, -0.0248586
0.516, -0.00438949, -0.00923829, 0.0248696, -0.0248385
0.55, -0.00454231, -0.00915302, 0.024861, -0.0248327
0.584, -0.00468069, -0.0090801, 0.0248861, -0.0248233
0.618, -0.00478239, -0.00903108, 0.024946, -0.0248264
0.652, -0.00487697, -0.00899008, 0.0249802, -0.0248262
0.688, -0.00497525, -0.00888269, 0.0251078, -0.0248116
0.72, -0.00506914, -0.00876658, 0.0251632, -0.0248095
0.756, -0.00517614, -0.00863994, 0.0251467, -0.0248019
0.788, -0.00525322, -0.00855008, 0.0249783, -0.0248048
0.824, -0.00532585, -0.0084718, 0.024771, -0.0248008
0.858, -0.00539293, -0.00840267, 0.0244453, -0.0248008
0.892, -0.00545769, -0.00833645, 0.0242543, -0.0248068
0.926, -0.00560992, -0.00816809, 0.0241544, -0.0248193
0.96, -0.00572243, -0.00804854, 0.0238154, -0.0248242
0.994, -0.00582778, -0.00794176, 0.0234751, -0.0248254
1.028, -0.0059271, -0.00784594, 0.0231664, -0.0248325
1.062, -0.00602307, -0.00775985, 0.0228113, -0.0248369
1.098, -0.00605528, -0.00780579, 0.0225009, -0.0248537
1.13, -0.00607197, -0.00789116, 0.0223448, -0.0248745
1.17, -0.00609216, -0.00799123, 0.0219508, -0.0248831
1.202, -0.0061097, -0.00806802, 0.0216872, -0.0248831
1.238, -0.00612766, -0.00814219, 0.0213847, -0.0248734
1.27, -0.00614981, -0.00821739, 0.0209321, -0.0248514
1.304, -0.00610282, -0.00818905, 0.0205694, -0.0248379
1.338, -0.00606049, -0.00816684, 0.0201935, -0.0248213
1.372, -0.00602483, -0.00815243, 0.0197697, -0.024813
1.406, -0.00599019, -0.00814006, 0.0192787, -0.0247931
1.44, -0.005953, -0.00813214, 0.0187934, -0.0247588
1.476, -0.00587961, -0.00813729, 0.0182922, -0.0247402
1.508, -0.00572375, -0.0081553, 0.0179358, -0.0247355
1.61, -0.00514925, -0.00823611, 0.0166769, -0.0247865
1.644, -0.00500145, -0.00826365, 0.0163851, -0.0248221
