Stamp, Max volume, Current volume, Procentage
0.62, 2988, 7.025, 0.00235107
0.928, 2988, 7.042, 0.00235676
1.528, 2988, 7.053, 0.00236044
2.128, 2988, 7.148, 0.00239224
2.728, 2988, 7.184, 0.00240428
3.528, 2988, 7.185, 0.00240462
4.028, 2988, 7.185, 0.00240462
4.528, 2988, 7.674, 0.00256827
5.028, 2988, 8.323, 0.00278548
5.628, 2988, 8.902, 0.00297925
6.228, 2988, 17.314, 0.00579451
6.828, 2988, 40.794, 0.0136526
7.528, 2988, 70.382, 0.0235549
8.328, 2988, 106.064, 0.0354967
9.328, 2988, 149.896, 0.050166
10.328, 2988, 160.949, 0.0538651
11.328, 2988, 164.115, 0.0549247
12.028, 2988, 165.384, 0.0553494
12.528, 2988, 165.883, 0.0555164
13.228, 2988, 166.339, 0.055669
13.928, 2988, 166.512, 0.0557269
14.728, 2988, 166.582, 0.0557503
15.428, 2988, 167.487, 0.0560532
16.428, 2988, 170.92, 0.0572021
17.728, 2988, 182.381, 0.0610378
18.728, 2988, 187.345, 0.0626991
19.928, 2988, 193.25, 0.0646754
20.83, 2988, 195.341, 0.0653752
21.928, 2988, 195.857, 0.0655479
22.828, 2988, 201.361, 0.0673899
23.528, 2988, 203.532, 0.0681165
24.728, 2988, 204.159, 0.0683263
25.63, 2988, 205.088, 0.0686372
26.728, 2988, 205.312, 0.0687122
27.328, 2988, 206.487, 0.0691054
28.228, 2988, 206.696, 0.0691754
29.03, 2988, 207.739, 0.0695244
30.228, 2988, 208.356, 0.0697309
31.328, 2988, 209.181, 0.070007
32.228, 2988, 209.582, 0.0701412
33.528, 2988, 209.842, 0.0702282
34.628, 2988, 209.867, 0.0702366
35.928, 2988, 209.867, 0.0702366
37.128, 2988, 209.867, 0.0702366
38.128, 2988, 209.867, 0.0702366
39.33, 2988, 210.068, 0.0703039
40.53, 2988, 218.769, 0.0732159
42.13, 2988, 219.301, 0.0733939
43.83, 2988, 219.301, 0.0733939
45.83, 2988, 219.301, 0.0733939
47.03, 2988, 219.301, 0.0733939
49.23, 2988, 219.301, 0.0733939
51.13, 2988, 219.301, 0.0733939
52.53, 2988, 219.301, 0.0733939
54.13, 2988, 219.301, 0.0733939
55.63, 2988, 219.305, 0.0733952
57.53, 2988, 219.697, 0.0735264
59.432, 2988, 222.969, 0.0746215
61.13, 2988, 224.531, 0.0751442
63.23, 2988, 225.562, 0.0754893
65.33, 2988, 225.941, 0.0756161
67.43, 2988, 228.127, 0.0763477
68.93, 2988, 228.189, 0.0763685
70.73, 2988, 228.189, 0.0763685
72.43, 2988, 228.189, 0.0763685
73.532, 2988, 228.189, 0.0763685
74.73, 2988, 228.189, 0.0763685
75.632, 2988, 228.189, 0.0763685
76.83, 2988, 228.189, 0.0763685
77.83, 2988, 228.189, 0.0763685
78.93, 2988, 228.189, 0.0763685
80.03, 2988, 228.522, 0.0764799
80.93, 2988, 228.547, 0.0764883
82.13, 2988, 228.791, 0.0765699
82.83, 2988, 228.947, 0.0766222
84.234, 2988, 228.952, 0.0766238
85.43, 2988, 229.383, 0.0767681
86.63, 2988, 229.383, 0.0767681
88.13, 2988, 229.383, 0.0767681
89.43, 2988, 229.383, 0.0767681
91.53, 2988, 229.383, 0.0767681
93.03, 2988, 229.383, 0.0767681
94.23, 2988, 229.383, 0.0767681
95.53, 2988, 229.383, 0.0767681
96.736, 2988, 229.383, 0.0767681
99.13, 2988, 229.383, 0.0767681
100.43, 2988, 229.383, 0.0767681
102.33, 2988, 229.383, 0.0767681
104.132, 2988, 229.383, 0.0767681
105.73, 2988, 229.383, 0.0767681
107.238, 2988, 241.792, 0.080921
109.13, 2988, 241.792, 0.080921
111.13, 2988, 241.792, 0.080921
112.53, 2988, 241.792, 0.080921
113.73, 2988, 241.792, 0.080921
115.53, 2988, 241.792, 0.080921
116.83, 2988, 241.792, 0.080921
118.53, 2988, 241.792, 0.080921
119.63, 2988, 241.792, 0.080921
121.13, 2988, 241.792, 0.080921
122.53, 2988, 241.792, 0.080921
124.13, 2988, 241.792, 0.080921
125.33, 2988, 241.792, 0.080921
127.23, 2988, 241.792, 0.080921
128.63, 2988, 241.792, 0.080921
130.53, 2988, 241.792, 0.080921
131.93, 2988, 241.792, 0.080921
133.43, 2988, 241.895, 0.0809555
135.03, 2988, 289.048, 0.0967363
136.63, 2988, 303.09, 0.101436
138.33, 2988, 308.513, 0.103251
139.63, 2988, 312.22, 0.104491
140.83, 2988, 315.043, 0.105436
142.73, 2988, 321.637, 0.107643
144.23, 2988, 323.651, 0.108317
145.53, 2988, 323.955, 0.108419
146.93, 2988, 324.24, 0.108514
148.03, 2988, 325.142, 0.108816
149.53, 2988, 325.496, 0.108934
150.63, 2988, 325.61, 0.108973
151.73, 2988, 325.688, 0.108999
152.93, 2988, 325.828, 0.109046
154.13, 2988, 326.725, 0.109346
155.13, 2988, 326.941, 0.109418
156.13, 2988, 326.962, 0.109425
157.63, 2988, 327.045, 0.109453
159.13, 2988, 327.046, 0.109453
160.73, 2988, 327.046, 0.109453
161.73, 2988, 327.046, 0.109453
162.732, 2988, 330.082, 0.110469
163.53, 2988, 343.044, 0.114807
164.43, 2988, 351.142, 0.117517
165.83, 2988, 354.02, 0.118481
166.73, 2988, 355.419, 0.118949
168.13, 2988, 358.072, 0.119837
169.23, 2988, 364.023, 0.121828
170.23, 2988, 367.967, 0.123148
171.63, 2988, 371.552, 0.124348
172.83, 2988, 376.135, 0.125882
173.83, 2988, 401.054, 0.134222
174.842, 2988, 405.109, 0.135579
176.33, 2988, 411.22, 0.137624
177.73, 2988, 417.254, 0.139643
