Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
1.856, 1, 5, 3.43047, 3.43047, -1, -1, -1, 0.258706, 0.258706
1.952, 1, 5, 3.43045, 3.43046, -1, -1, -1, 0.258945, 0.258825
1.996, 1, 5, 3.43043, 3.43045, -1, -1, -1, 0.259212, 0.258954
2.058, 1, 5, 3.43039, 3.43044, -1, -1, -1, 0.259611, 0.259118
2.09, 1, 5, 3.43038, 3.43042, -1, -1, -1, 0.259813, 0.259257
2.126, 1, 5, 3.43036, 3.43041, -1, -1, -1, 0.260021, 0.259385
2.162, 1, 5, 3.43035, 3.43041, -1, -1, -1, 0.260136, 0.259492
2.198, 1, 5, 3.43034, 3.4304, -1, -1, -1, 0.260288, 0.259592
2.232, 1, 5, 3.43033, 3.43039, -1, -1, -1, 0.260425, 0.259684
2.266, 1, 5, 3.43033, 3.43038, -1, -1, -1, 0.260553, 0.259771
2.298, 1, 5, 3.43032, 3.43038, -1, -1, -1, 0.260685, 0.259854
2.332, 1, 5, 3.43031, 3.43037, -1, -1, -1, 0.260802, 0.259933
2.368, 1, 5, 3.4303, 3.43037, -1, -1, -1, 0.26091, 0.260008
2.402, 1, 5, 3.4303, 3.43036, -1, -1, -1, 0.261021, 0.260081
2.5, 1, 5, 3.43027, 3.43035, -1, -1, -1, 0.26142, 0.260297
2.536, 1, 5, 3.43027, 3.43034, -1, -1, -1, 0.261515, 0.260364
2.572, 1, 5, 3.43027, 3.43034, -1, -1, -1, 0.261482, 0.260423
2.608, 1, 5, 3.43027, 3.43034, -1, -1, -1, 0.261475, 0.260476
2.642, 1, 5, 3.43027, 3.43033, -1, -1, -1, 0.261455, 0.260522
2.678, 1, 5, 3.43027, 3.43033, -1, -1, -1, 0.26149, 0.260566
2.712, 1, 5, 3.43027, 3.43033, -1, -1, -1, 0.261495, 0.260607
2.746, 1, 5, 3.43027, 3.43033, -1, -1, -1, 0.261499, 0.260644
2.78, 1, 5, 3.43027, 3.43032, -1, -1, -1, 0.261499, 0.260678
2.814, 1, 5, 3.43027, 3.43032, -1, -1, -1, 0.261439, 0.260707
2.848, 1, 5, 3.43027, 3.43032, -1, -1, -1, 0.261475, 0.260736
2.882, 1, 5, 3.43027, 3.43032, -1, -1, -1, 0.261483, 0.260762
2.918, 1, 5, 3.43026, 3.43032, -1, -1, -1, 0.261605, 0.260791
2.952, 1, 5, 3.43026, 3.43031, -1, -1, -1, 0.261688, 0.260821
2.986, 1, 5, 3.43026, 3.43031, -1, -1, -1, 0.261773, 0.260852
3.02, 1, 5, 3.43025, 3.43031, -1, -1, -1, 0.26186, 0.260884
3.052, 1, 5, 3.43025, 3.43031, -1, -1, -1, 0.261916, 0.260915
3.088, 1, 5, 3.43024, 3.43031, -1, -1, -1, 0.262013, 0.260947
3.206, 1, 5, 3.43026, 3.4303, -1, -1, -1, 0.261592, 0.261016
3.24, 1, 5, 3.43027, 3.4303, -1, -1, -1, 0.261448, 0.261027
3.276, 1, 5, 3.43028, 3.4303, -1, -1, -1, 0.26128, 0.261034
3.312, 1, 5, 3.43029, 3.4303, -1, -1, -1, 0.261166, 0.261037
3.346, 1, 5, 3.43029, 3.4303, -1, -1, -1, 0.261113, 0.261039
3.38, 1, 5, 3.4303, 3.4303, -1, -1, -1, 0.261037, 0.261039
3.414, 1, 5, 3.43031, 3.4303, -1, -1, -1, 0.260887, 0.261035
3.45, 1, 5, 3.43031, 3.4303, -1, -1, -1, 0.260753, 0.261029
3.482, 1, 5, 3.43032, 3.4303, -1, -1, -1, 0.260695, 0.261021
3.518, 1, 5, 3.43032, 3.4303, -1, -1, -1, 0.260657, 0.261014
3.552, 1, 5, 3.43032, 3.4303, -1, -1, -1, 0.260606, 0.261005
3.588, 1, 5, 3.43033, 3.4303, -1, -1, -1, 0.26051, 0.260995
3.622, 1, 5, 3.43033, 3.4303, -1, -1, -1, 0.260482, 0.260984
3.658, 1, 5, 3.43033, 3.4303, -1, -1, -1, 0.260429, 0.260973
3.692, 1, 5, 3.43034, 3.4303, -1, -1, -1, 0.260309, 0.26096
3.726, 1, 5, 3.43035, 3.43031, -1, -1, -1, 0.260227, 0.260946
3.758, 1, 5, 3.43035, 3.43031, -1, -1, -1, 0.260182, 0.260932
3.794, 1, 5, 3.43036, 3.43031, -1, -1, -1, 0.260129, 0.260917
3.826, 1, 5, 3.43036, 3.43031, -1, -1, -1, 0.260072, 0.260901
3.936, 1, 5, 3.43038, 3.43031, -1, -1, -1, 0.259816, 0.260847
3.968, 1, 5, 3.43036, 3.43031, -1, -1, -1, 0.259773, 0.260829
4.004, 1, 5, 3.43018, 3.43031, -1, -1, -1, 0.259356, 0.260804
4.04, 1, 5, 3.42997, 3.4303, -1, -1, -1, 0.258886, 0.260773
4.078, 1, 5, 3.42972, 3.43029, -1, -1, -1, 0.258254, 0.260732
4.112, 1, 5, 3.42947, 3.43028, -1, -1, -1, 0.257629, 0.260683
4.148, 1, 5, 3.42924, 3.43027, -1, -1, -1, 0.256996, 0.260625
4.182, 1, 5, 3.42904, 3.43025, -1, -1, -1, 0.256445, 0.260561
4.216, 1, 5, 3.42883, 3.43023, -1, -1, -1, 0.256142, 0.260494
4.252, 1, 5, 3.42857, 3.4302, -1, -1, -1, 0.256496, 0.260434
4.284, 1, 5, 3.42827, 3.43017, -1, -1, -1, 0.257772, 0.260395
