Stamp, X, Y, Z, Yaw
0, -0.00503242, -0.0092508, -0.0227441, -0.0251306
0.034, -0.00522341, -0.00933577, -0.022603, -0.0250523
0.066, -0.00528883, -0.00936466, -0.0222299, -0.0249038
0.1, -0.00535304, -0.00940368, -0.0215896, -0.0248983
0.134, -0.00541423, -0.00944407, -0.0208333, -0.0249239
0.168, -0.00548577, -0.00950275, -0.0202224, -0.0250803
0.202, -0.0055474, -0.00958184, -0.0199318, -0.0252936
0.236, -0.00559225, -0.00963704, -0.0198365, -0.0253787
0.272, -0.00555428, -0.00976528, -0.0196854, -0.0255702
0.306, -0.00551958, -0.00988241, -0.019759, -0.0257569
0.342, -0.00549389, -0.0100189, -0.0198132, -0.0258243
0.374, -0.00547406, -0.0101657, -0.0201332, -0.0259173
0.406, -0.00546421, -0.0103015, -0.0204554, -0.0260493
0.436, -0.00545606, -0.0104381, -0.0207695, -0.0261361
0.474, -0.00538292, -0.0105391, -0.0213369, -0.0262972
0.51, -0.00531821, -0.0106114, -0.0216849, -0.0264332
0.542, -0.00526172, -0.0107005, -0.0219812, -0.0264794
0.576, -0.00520671, -0.0107749, -0.0221971, -0.0266054
0.61, -0.00514798, -0.0108936, -0.0221604, -0.0266776
0.644, -0.00510737, -0.0110047, -0.0217083, -0.0267077
0.678, -0.00502703, -0.0110559, -0.0194911, -0.0267705
0.712, -0.00494025, -0.0111101, -0.0134601, -0.0267549
0.746, -0.00485433, -0.0111646, -0.00330204, -0.0267372
0.78, -0.00478732, -0.0112094, 0.00673374, -0.0266971
0.812, -0.00466848, -0.0112764, 0.0243797, -0.0266237
0.848, -0.00459426, -0.011309, 0.0340856, -0.0265713
0.886, -0.0045448, -0.011359, 0.0483966, -0.0264789
0.92, -0.00460198, -0.0114147, 0.0612427, -0.0263971
0.956, -0.00464475, -0.0114647, 0.0712056, -0.0263697
0.988, -0.0046827, -0.0115439, 0.0833594, -0.0263998
1.024, -0.00474054, -0.0116024, 0.0942624, -0.0264564
1.056, -0.0047588, -0.011573, 0.104926, -0.0264876
