Stamp, X, Y, Z, Yaw
0, -0.00136744, -0.0025576, -0.0467256, -0.0283462
0.034, -0.00132383, -0.00258473, -0.0470182, -0.0283357
0.066, -0.00128469, -0.00267383, -0.0472993, -0.0283229
0.102, -0.00131569, -0.00298228, -0.0473494, -0.0283225
0.136, -0.00132706, -0.00315112, -0.0473779, -0.0283316
0.172, -0.00134797, -0.00341166, -0.0473225, -0.0283437
0.204, -0.00135315, -0.0036012, -0.0474016, -0.0283509
0.238, -0.00135828, -0.00377689, -0.0473479, -0.0283595
0.27, -0.00135807, -0.00389278, -0.0472307, -0.0283867
0.308, -0.00135047, -0.00400843, -0.0470004, -0.0283998
0.342, -0.00134403, -0.00409333, -0.0469316, -0.0284317
0.374, -0.00132846, -0.00417293, -0.0469627, -0.0284459
0.408, -0.0013147, -0.00424647, -0.0468891, -0.028445
0.442, -0.00130075, -0.00431429, -0.0468139, -0.0284401
0.476, -0.00127774, -0.0045912, -0.0466267, -0.028434
0.51, -0.00125629, -0.00483035, -0.0464668, -0.0284449
0.544, -0.00123731, -0.00505096, -0.0461592, -0.0284585
0.576, -0.00121199, -0.00525885, -0.0458394, -0.0284773
0.612, -0.00118747, -0.00549172, -0.0455471, -0.0284855
0.646, -0.00116242, -0.00567539, -0.0453853, -0.0284979
0.68, -0.00113519, -0.00587195, -0.0452177, -0.0285087
0.714, -0.00110948, -0.00605236, -0.0449963, -0.0285368
0.746, -0.00108119, -0.00625565, -0.0446047, -0.0285365
0.78, -0.00105801, -0.00637445, -0.0444142, -0.028537
0.814, -0.00102616, -0.00652426, -0.0442053, -0.0285412
0.848, -0.00100293, -0.00665529, -0.0441614, -0.0285497
0.88, -0.000968439, -0.0065383, -0.0441604, -0.0285741
0.914, -0.000942085, -0.00645359, -0.0441561, -0.0286022
0.948, -0.000913066, -0.00637975, -0.0441101, -0.0286183
0.982, -0.000884999, -0.00631086, -0.0444912, -0.0286508
1.014, -0.000855905, -0.00624897, -0.0449025, -0.0286679
1.05, -0.000852277, -0.00620261, -0.0454061, -0.0287009
1.082, -0.000901371, -0.00620475, -0.0460254, -0.0287349
1.116, -0.000941833, -0.00620729, -0.0467476, -0.0287526
1.15, -0.000976631, -0.00620887, -0.0473798, -0.0287853
1.184, -0.00101257, -0.00621062, -0.0480898, -0.0288272
1.218, -0.001037, -0.00621117, -0.048641, -0.0288707
1.252, -0.00104568, -0.00621653, -0.0490807, -0.0288935
1.284, -0.00106029, -0.00611273, -0.0496166, -0.028939
1.318, -0.00106615, -0.00603743, -0.0497897, -0.028955
1.352, -0.00107124, -0.00594932, -0.0499389, -0.0289899
1.386, -0.00106821, -0.00590208, -0.050206, -0.0290227
1.422, -0.0010672, -0.00582471, -0.0508025, -0.0290515
1.456, -0.00106262, -0.00574038, -0.0512278, -0.0290603
1.488, -0.00104875, -0.00561378, -0.0515065, -0.0290779
1.522, -0.0010361, -0.00552176, -0.0515973, -0.0290865
1.556, -0.00102038, -0.00543664, -0.0514927, -0.0291133
1.59, -0.00100472, -0.0053582, -0.0514046, -0.0291282
1.622, -0.000987512, -0.00528622, -0.0513106, -0.0291347
1.652, -0.00100842, -0.00532164, -0.0511864, -0.0291349
1.69, -0.0010647, -0.00545153, -0.0510314, -0.0291277
1.724, -0.00112411, -0.00559933, -0.050833, -0.0291152
1.758, -0.00115806, -0.00570989, -0.0506608, -0.0291089
1.792, -0.00118961, -0.00581162, -0.050579, -0.0290904
1.824, -0.00121709, -0.00590685, -0.0501469, -0.0290843
1.858, -0.0011978, -0.00594639, -0.0494587, -0.0290819
1.898, -0.00115185, -0.00594183, -0.0490914, -0.0290659
1.932, -0.00111425, -0.00594001, -0.0488393, -0.0290478
1.966, -0.00106013, -0.00593346, -0.0483833, -0.0290431
2, -0.00102418, -0.00593094, -0.0480846, -0.0290511
2.034, -0.000971104, -0.00592924, -0.0478528, -0.0290556
2.068, -0.000819956, -0.00587862, -0.0476864, -0.0290729
2.102, -0.000653112, -0.00581938, -0.0476071, -0.029088
2.136, -0.000495173, -0.00576527, -0.0474907, -0.0291033
2.17, -0.000340265, -0.00571701, -0.0473796, -0.029111
2.206, -0.000163018, -0.0056608, -0.0467957, -0.0291128
2.242, -5.71735e-05, -0.00563062, -0.0462647, -0.0291172
2.274, 0.000398924, -0.00551855, -0.0454487, -0.0291286
2.306, 0.000740199, -0.00543866, -0.0447726, -0.0291386
2.344, 0.00106241, -0.00536578, -0.0439369, -0.0291416
2.378, 0.0014344, -0.00528368, -0.042814, -0.0291431
2.414, 0.00171783, -0.00522509, -0.0419067, -0.0291438
2.446, 0.00199058, -0.00512287, -0.0408593, -0.0291452
2.486, 0.00218796, -0.00503134, -0.0400127, -0.0291423
2.516, 0.00237537, -0.00494822, -0.039218, -0.0291352
2.548, 0.00254789, -0.00487293, -0.0384472, -0.0291345
2.582, 0.00272886, -0.00480444, -0.0376393, -0.0291317
2.618, 0.00289689, -0.00474277, -0.036951, -0.0291357
2.65, 0.00303073, -0.00472207, -0.036393, -0.0291393
2.684, 0.00311839, -0.00473715, -0.0358557, -0.0291724
2.718, 0.00323281, -0.00475042, -0.0353057, -0.0292051
2.752, 0.00332273, -0.00476298, -0.0350887, -0.02923
2.786, 0.00343468, -0.00477747, -0.0349963, -0.0292871
2.82, 0.00352565, -0.00478818, -0.0350659, -0.0293247
2.854, 0.00358775, -0.0045633, -0.03518, -0.0293511
2.888, 0.00362253, -0.00427899, -0.0350658, -0.0293585
2.924, 0.00366212, -0.00395463, -0.0349563, -0.0293874
2.956, 0.00370046, -0.00377362, -0.0349002, -0.0293892
2.99, 0.00375309, -0.00354827, -0.0348455, -0.0293929
3.024, 0.0038176, -0.00328778, -0.0347855, -0.0293952
3.058, 0.00382025, -0.00319806, -0.0346906, -0.0294047
3.092, 0.00380864, -0.00311775, -0.0344781, -0.0294116
3.126, 0.00383462, -0.00303206, -0.0342151, -0.0294171
3.158, 0.00385313, -0.00295284, -0.0339394, -0.0294274
3.192, 0.00387563, -0.00286152, -0.0334417, -0.0294542
3.226, 0.00391431, -0.00278703, -0.0331422, -0.0294776
3.262, 0.00367577, -0.00294655, -0.0329458, -0.029498
3.294, 0.00348204, -0.00308468, -0.0326104, -0.0295094
3.328, 0.00330594, -0.00321124, -0.0323517, -0.0295394
3.362, 0.00313834, -0.00332946, -0.0320878, -0.0295507
3.396, 0.00294967, -0.00346419, -0.0317505, -0.0295716
3.43, 0.00283263, -0.00357652, -0.0315702, -0.0295775
3.464, 0.00274443, -0.00372991, -0.0313719, -0.0295885
3.496, 0.00265944, -0.00390188, -0.0311431, -0.0296038
3.53, 0.00260039, -0.00402665, -0.0310722, -0.0296262
3.564, 0.00257376, -0.00413567, -0.0309456, -0.0296399
3.598, 0.00254057, -0.00423821, -0.0308569, -0.0296594
3.632, 0.00252714, -0.00433007, -0.0308111, -0.029656
3.666, 0.0024046, -0.00447406, -0.0306972, -0.0296507
3.7, 0.00226968, -0.00463654, -0.0305446, -0.0296257
3.734, 0.00220609, -0.00472563, -0.030518, -0.0295968
3.768, 0.00210629, -0.00486214, -0.0305767, -0.0295576
3.8, 0.00204193, -0.00496104, -0.030705, -0.0295265
3.836, 0.00197858, -0.00514544, -0.0307379, -0.0294803
3.87, 0.00190621, -0.0054043, -0.0305879, -0.0294487
3.902, 0.00185401, -0.0056425, -0.0302598, -0.0293957
3.936, 0.00181147, -0.00586254, -0.0298906, -0.0293558
3.97, 0.00178164, -0.00606569, -0.0294517, -0.029335
4.006, 0.0017468, -0.00629588, -0.02905, -0.0293029
4.038, 0.00177964, -0.00642291, -0.0286512, -0.0292598
4.072, 0.00184801, -0.00648302, -0.0281702, -0.0292491
4.11, 0.00194542, -0.00656152, -0.0273673, -0.0292303
4.142, 0.00205026, -0.00664979, -0.0266087, -0.0292164
4.176, 0.00212693, -0.00671384, -0.0261362, -0.0292075
4.21, 0.00221109, -0.00677634, -0.0256532, -0.0291907
4.242, 0.00224572, -0.00680113, -0.0256974, -0.0291748
4.276, 0.00222239, -0.00678821, -0.025644, -0.0291755
4.312, 0.00219285, -0.00677328, -0.0255489, -0.0291889
4.346, 0.00217572, -0.00676138, -0.0257149, -0.0291963
4.378, 0.002171, -0.00675474, -0.025969, -0.0291943
4.414, 0.00217793, -0.0067521, -0.026234, -0.0291956
4.446, 0.00214339, -0.00667761, -0.0266956, -0.0291997
4.478, 0.00212351, -0.00661488, -0.0269823, -0.029205
4.514, 0.00212192, -0.00657567, -0.0271073, -0.0292068
4.548, 0.00211468, -0.00651401, -0.0271765, -0.0291983
4.582, 0.00211598, -0.00646101, -0.0272567, -0.0291924
4.616, 0.00213172, -0.00642728, -0.0272217, -0.029168
4.648, 0.00206701, -0.00644455, -0.0270268, -0.0291546
4.682, 0.00194247, -0.00646115, -0.0268086, -0.0291312
4.716, 0.00186949, -0.00647784, -0.0265169, -0.0291139
4.75, 0.00182776, -0.00650088, -0.0260853, -0.0290939
4.782, 0.00177875, -0.00651725, -0.0258612, -0.0290806
4.818, 0.00174225, -0.00653499, -0.0257471, -0.0290557
4.852, 0.00161314, -0.00659534, -0.0256646, -0.0290248
4.884, 0.00149744, -0.00665022, -0.0256841, -0.029007
4.918, 0.00137321, -0.0067138, -0.0258711, -0.0289931
4.952, 0.0012911, -0.00676254, -0.0261659, -0.0289678
4.986, 0.00121879, -0.00680706, -0.0263025, -0.0289481
5.02, 0.00116336, -0.00685237, -0.0263543, -0.0289455
5.054, 0.00101499, -0.00692869, -0.0262822, -0.0289428
5.086, 0.000848106, -0.00701335, -0.0260528, -0.0289438
5.122, 0.00074374, -0.00708118, -0.025837, -0.0289322
5.154, 0.000624401, -0.00715566, -0.0255856, -0.0289299
5.188, 0.000549146, -0.00721444, -0.0253385, -0.0289299
5.222, 0.000513203, -0.00729941, -0.0250951, -0.0289271
5.258, 0.000493776, -0.00755856, -0.025001, -0.0289243
5.29, 0.000492299, -0.00775193, -0.0251587, -0.02891
5.324, 0.000486443, -0.00792397, -0.0252852, -0.028891
5.358, 0.000500116, -0.00809414, -0.0254504, -0.0288533
5.39, 0.000516432, -0.00825226, -0.0255786, -0.0288298
5.426, 0.000511002, -0.00840219, -0.0256705, -0.0288069
5.458, 0.000420354, -0.00858162, -0.0257406, -0.0287793
5.492, 0.000364411, -0.00871688, -0.0257885, -0.0287668
5.526, 0.00032304, -0.00884795, -0.025646, -0.0287434
5.56, 0.000292423, -0.00897251, -0.0255163, -0.028721
5.592, 0.000264848, -0.00908475, -0.0254281, -0.0287127
5.628, 0.000229716, -0.00921475, -0.0249871, -0.0287072
5.662, 0.000200602, -0.00931306, -0.0246801, -0.0287134
5.696, 0.000185969, -0.00941381, -0.0244115, -0.028724
5.73, 0.000184222, -0.00951734, -0.0243524, -0.0287371
5.764, 0.000181061, -0.0096074, -0.024186, -0.0287298
5.798, 0.000185827, -0.0096944, -0.0240047, -0.0287317
5.834, 0.000182156, -0.00972154, -0.0238444, -0.028732
5.87, 0.000172748, -0.00966463, -0.0238092, -0.0287358
