Stamp, X, Y, Z, Yaw
0, -0.00642101, -0.00528615, -0.0313577, -0.0264478
0.034, -0.00638834, -0.00519532, -0.0316828, -0.0264531
0.068, -0.00635812, -0.0051113, -0.0319701, -0.0264699
0.102, -0.00629092, -0.00505438, -0.0320861, -0.0264913
0.136, -0.00620981, -0.00505285, -0.0320568, -0.0265028
0.17, -0.00613373, -0.00505135, -0.0319183, -0.0265215
0.202, -0.00606612, -0.00504577, -0.0316431, -0.0265342
0.236, -0.00598929, -0.0050369, -0.0311211, -0.0265668
0.27, -0.00594817, -0.0050292, -0.0307984, -0.0265894
0.304, -0.00586972, -0.00499611, -0.0299737, -0.0266095
0.336, -0.00574878, -0.00493059, -0.0289863, -0.0266213
0.37, -0.00566217, -0.00488023, -0.0282224, -0.0266378
0.404, -0.00558311, -0.0048319, -0.0277597, -0.0266474
0.438, -0.00551048, -0.00478578, -0.0271846, -0.0266523
0.472, -0.00544511, -0.00473857, -0.0266006, -0.0266681
0.506, -0.00535923, -0.00480314, -0.0260256, -0.026684
0.538, -0.00523523, -0.00499628, -0.0255033, -0.0266786
0.572, -0.00514455, -0.00513685, -0.0251912, -0.0266726
0.606, -0.00506172, -0.00526405, -0.0250122, -0.0266717
0.64, -0.0049666, -0.00540995, -0.0248274, -0.0266705
0.674, -0.00489795, -0.00551378, -0.0246683, -0.0266702
0.708, -0.0047942, -0.00565715, -0.0249094, -0.0266664
0.74, -0.00469879, -0.00578913, -0.0252261, -0.0266438
0.776, -0.0046114, -0.0059079, -0.0255842, -0.0266171
0.808, -0.00451198, -0.00604214, -0.0257611, -0.0265933
0.842, -0.00443969, -0.00613813, -0.0259877, -0.0265814
0.874, -0.00437227, -0.00622615, -0.0261823, -0.0265619
0.91, -0.00431028, -0.00630642, -0.0263715, -0.0265557
0.944, -0.00425206, -0.00637928, -0.0266804, -0.0265412
0.978, -0.00419745, -0.00644568, -0.0269839, -0.0265409
1.012, -0.00411938, -0.00645055, -0.0273821, -0.0265429
1.046, -0.00403828, -0.00643736, -0.0277603, -0.0265455
1.08, -0.00394655, -0.00642251, -0.0281753, -0.026556
1.114, -0.00387896, -0.00641129, -0.0286119, -0.0265496
1.146, -0.00381528, -0.00640045, -0.0292505, -0.0265401
1.18, -0.00375455, -0.0063899, -0.0298484, -0.0265184
1.212, -0.00366894, -0.00631662, -0.0304494, -0.0265069
1.246, -0.00358973, -0.00624951, -0.0307685, -0.0264993
1.28, -0.00349747, -0.00617278, -0.0310525, -0.0264859
1.314, -0.00343097, -0.00611698, -0.0313018, -0.0264592
1.346, -0.00336647, -0.00606428, -0.0314386, -0.026451
1.38, -0.00330676, -0.00601524, -0.0316077, -0.0264483
1.414, -0.00322653, -0.00605379, -0.0319276, -0.0264471
1.448, -0.0031509, -0.00609022, -0.0319452, -0.0264542
1.482, -0.00306487, -0.00613236, -0.0319045, -0.0264597
1.514, -0.00299973, -0.00616384, -0.0317997, -0.0264708
1.548, -0.00293643, -0.00619367, -0.031642, -0.0264776
1.582, -0.00287902, -0.00622227, -0.0314915, -0.0265041
1.614, -0.00315968, -0.00618079, -0.0312504, -0.026542
1.648, -0.00341744, -0.00614419, -0.0309833, -0.0265594
1.68, -0.0036537, -0.00611176, -0.0307295, -0.0266067
1.716, -0.00392422, -0.00607608, -0.0303545, -0.026642
1.748, -0.00412163, -0.00605088, -0.0300779, -0.0266573
1.782, -0.00426088, -0.00603378, -0.0298541, -0.0266819
1.816, -0.00440813, -0.00594798, -0.0294053, -0.0266896
1.85, -0.00450399, -0.00587529, -0.0290956, -0.0266865
1.882, -0.00459503, -0.00580912, -0.0287636, -0.0266716
1.916, -0.0046991, -0.00573464, -0.0285421, -0.0266593
1.952, -0.00477686, -0.00568066, -0.0281461, -0.0266213
1.984, -0.00483271, -0.00561782, -0.0276658, -0.0265831
2.018, -0.00484154, -0.00552183, -0.0270423, -0.0265659
2.054, -0.00485228, -0.00543358, -0.0264838, -0.0265359
2.086, -0.00485993, -0.00535364, -0.0260312, -0.0264675
2.12, -0.00487004, -0.00526322, -0.0256789, -0.0264291
2.154, -0.00487877, -0.00519737, -0.0256693, -0.0264112
2.188, -0.00487276, -0.00512553, -0.0256954, -0.0263629
2.22, -0.0048299, -0.00502521, -0.0257057, -0.0263362
2.254, -0.00478057, -0.00491276, -0.0254601, -0.0263302
2.288, -0.00475507, -0.00484982, -0.0252562, -0.0263212
2.324, -0.00471427, -0.00475554, -0.024945, -0.0263064
2.356, -0.00468515, -0.00468608, -0.0247024, -0.0262953
2.39, -0.004647, -0.00464115, -0.024594, -0.02628
2.424, -0.00457777, -0.004657, -0.0245715, -0.0262443
2.458, -0.00451428, -0.00467001, -0.0244603, -0.0262287
2.492, -0.00444143, -0.00468422, -0.0244308, -0.0261873
2.526, -0.00438799, -0.00469387, -0.0245999, -0.0261447
2.558, -0.00433834, -0.00470122, -0.024564, -0.0261295
2.594, -0.00424727, -0.00472432, -0.0245245, -0.0261195
2.626, -0.00403352, -0.00479561, -0.0245236, -0.0261141
2.66, -0.00383712, -0.00486041, -0.0245767, -0.026105
2.692, -0.00365422, -0.00491782, -0.0246913, -0.0260748
2.726, -0.00344566, -0.00498243, -0.024796, -0.0260544
2.758, -0.00328911, -0.00502841, -0.0247458, -0.0260456
2.794, -0.00313805, -0.00505596, -0.0245739, -0.0260335
2.828, -0.00298842, -0.0050401, -0.0245366, -0.026028
2.86, -0.00281576, -0.00502237, -0.0246765, -0.0260312
2.894, -0.00271515, -0.0050121, -0.024776, -0.0260374
2.926, -0.00259166, -0.00499978, -0.0248242, -0.0260384
2.962, -0.00244469, -0.00498521, -0.0246213, -0.0260426
2.998, -0.00233691, -0.00492747, -0.0244385, -0.0260567
3.032, -0.00222397, -0.00473787, -0.0240512, -0.0260754
3.064, -0.00212253, -0.00456331, -0.0236248, -0.0260852
3.098, -0.00202345, -0.00440093, -0.0233916, -0.0260969
3.132, -0.00191299, -0.00421648, -0.0231878, -0.0261031
3.164, -0.00182112, -0.00407804, -0.0230444, -0.0261011
3.198, -0.00173758, -0.00387089, -0.0229898, -0.0260969
3.232, -0.00163735, -0.00353954, -0.0228835, -0.0260919
3.264, -0.00157383, -0.00335154, -0.0228813, -0.0260888
3.3, -0.00147546, -0.00306207, -0.022641, -0.0260828
3.334, -0.00140233, -0.00285013, -0.0223952, -0.0260708
3.368, -0.0013346, -0.0026542, -0.0222342, -0.0260628
3.402, -0.00129859, -0.0024658, -0.0219624, -0.026051
3.436, -0.00130876, -0.00229661, -0.0216219, -0.0260371
3.472, -0.00130873, -0.00213341, -0.0215246, -0.0260296
3.504, -0.0013133, -0.00195259, -0.0212361, -0.0260105
3.538, -0.00130413, -0.00181188, -0.0210886, -0.025998
3.572, -0.00129261, -0.00168021, -0.0209808, -0.0260047
3.604, -0.00135228, -0.00169382, -0.020683, -0.0260227
3.638, -0.00140596, -0.00170785, -0.0202596, -0.0260306
3.672, -0.00144638, -0.00171575, -0.0198044, -0.0260532
3.706, -0.00148712, -0.00172427, -0.0190993, -0.0260953
3.74, -0.00150728, -0.00172609, -0.0187793, -0.0261356
3.772, -0.00152761, -0.00173198, -0.0184231, -0.0261559
3.806, -0.0015361, -0.0018269, -0.0180405, -0.0262119
3.84, -0.001537, -0.0019701, -0.0177184, -0.026263
3.874, -0.00152975, -0.002073, -0.0175172, -0.0262807
3.908, -0.00152212, -0.0021702, -0.0173491, -0.0263413
3.94, -0.00150042, -0.00225574, -0.0172674, -0.026386
3.974, -0.00147817, -0.00233587, -0.0172583, -0.0264049
4.006, -0.00159601, -0.00249696, -0.0171567, -0.0264472
4.042, -0.00171143, -0.00267533, -0.0171737, -0.0264761
4.076, -0.00179366, -0.00280592, -0.0173899, -0.0264795
4.11, -0.00186572, -0.00292673, -0.0176158, -0.0264909
4.144, -0.00194882, -0.00306683, -0.0178455, -0.0264965
4.176, -0.0020145, -0.00315225, -0.0181665, -0.0264981
4.212, -0.00211663, -0.00318595, -0.01855, -0.0265103
4.246, -0.00220563, -0.00321569, -0.0188483, -0.0265278
4.278, -0.00228487, -0.00324197, -0.018959, -0.0265387
4.312, -0.00233674, -0.00325943, -0.0190919, -0.0265666
4.344, -0.00241363, -0.00328467, -0.0192145, -0.0265793
4.378, -0.0024633, -0.00330118, -0.0193383, -0.0265965
4.414, -0.00248538, -0.00339621, -0.0195556, -0.0265971
4.448, -0.00250146, -0.00348193, -0.0197108, -0.0265959
4.48, -0.00251807, -0.00355914, -0.0197468, -0.0265959
4.516, -0.00252424, -0.00362887, -0.0196998, -0.026581
4.548, -0.00253383, -0.00370658, -0.0196232, -0.026577
4.584, -0.00254946, -0.00378076, -0.0195352, -0.0265731
4.618, -0.00260304, -0.00390196, -0.0194961, -0.0265691
4.65, -0.00265217, -0.00401098, -0.0192706, -0.0265415
4.684, -0.00268874, -0.00411092, -0.0191856, -0.0265268
4.716, -0.00271599, -0.00420239, -0.01915, -0.0264984
4.752, -0.00275449, -0.00430259, -0.0193941, -0.0264649
4.784, -0.0028108, -0.00436631, -0.0198101, -0.026451
4.82, -0.00285892, -0.00437998, -0.0200242, -0.0264119
4.854, -0.00292863, -0.00440151, -0.0200926, -0.0263747
4.886, -0.00297906, -0.00441703, -0.0200708, -0.0263592
4.92, -0.0030161, -0.00443333, -0.0200514, -0.0263263
4.954, -0.00304726, -0.00444824, -0.0199467, -0.0262969
4.986, -0.00308518, -0.00445054, -0.0197255, -0.0262871
5.022, -0.00315525, -0.004419, -0.0194217, -0.0262671
5.054, -0.0032316, -0.00438387, -0.0189699, -0.0262233
5.088, -0.00326829, -0.00436617, -0.0185892, -0.0262056
5.12, -0.00332241, -0.00433945, -0.0178964, -0.0261736
5.154, -0.00335797, -0.00432071, -0.0173802, -0.0261643
5.188, -0.00340792, -0.00435124, -0.0167412, -0.0261427
5.222, -0.00349295, -0.00444029, -0.0162157, -0.0261145
5.254, -0.00355199, -0.00450671, -0.0158382, -0.026091
5.29, -0.00360348, -0.00456923, -0.0156884, -0.0260753
