Stamp, X, Y, Z, Yaw
0, 4.0666e-05, -0.000262245, 0.0133594, -0.00330718
0.034, 3.81557e-05, -0.000267073, 0.0130703, -0.00407889
0.068, 3.60295e-05, -0.000273789, 0.0128002, -0.00482531
0.104, 3.33682e-05, -0.000275961, 0.0119601, -0.00519047
0.138, 3.04581e-05, -0.000281674, 0.0104281, -0.00610945
0.17, 2.86338e-05, -0.000284142, 0.00949068, -0.00695804
0.206, -9.28375e-19, 1.8688e-34, 0.00758076, -0.00750679
0.238, -7.84615e-19, 1.57941e-34, 0.00640687, -0.00867916
0.272, -6.39119e-19, 1.28653e-34, 0.0052188, -0.00961137
0.306, -4.53416e-19, 9.12718e-35, 0.00370242, -0.010091
0.34, -2.25269e-19, 4.53462e-35, 0.00183946, -0.0112809
0.374, -9.76375e-20, 1.96542e-35, 0.000797271, -0.0124371
0.408, 1.65921e-19, -3.33996e-35, -0.00135485, -0.0130491
0.442, 3.3048e-19, -6.65251e-35, -0.00269858, -0.014195
0.474, 4.68561e-19, -9.43205e-35, -0.00382609, -0.0153774
0.508, 5.95791e-19, -1.19931e-34, -0.004865, -0.0161325
0.542, 6.95247e-19, -1.39952e-34, -0.00567713, -0.0174308
0.576, 7.10621e-19, -1.43047e-34, -0.00580266, -0.0187596
0.61, 7.2976e-19, -1.46899e-34, -0.00595894, -0.0193216
0.642, 7.41043e-19, -1.49171e-34, -0.00605108, -0.0207233
0.678, 7.14879e-19, -1.43904e-34, -0.00583743, -0.0218647
0.712, 6.45419e-19, -1.29922e-34, -0.00527025, -0.0223363
0.746, 5.71245e-19, -1.14991e-34, -0.00466457, -0.0233679
0.848, 4.6364e-19, -9.33298e-35, -0.0037859, -0.0257964
0.884, 4.97211e-19, -1.00088e-34, -0.00406004, -0.026481
0.918, 5.46209e-19, -1.09951e-34, -0.00446013, -0.0268634
0.954, 5.75443e-19, -1.15835e-34, -0.00469885, -0.0276189
0.988, 6.382e-19, -1.28468e-34, -0.0052113, -0.0283304
1.022, 7.29313e-19, -1.46809e-34, -0.0059553, -0.0286468
1.058, 8.38723e-19, -1.68833e-34, -0.00684869, -0.029463
1.092, 9.28127e-19, -1.8683e-34, -0.00757873, -0.0302037
1.126, 1.00004e-18, -2.01306e-34, -0.00816593, -0.0305732
1.158, 1.09821e-18, -2.21068e-34, -0.00896758, -0.0312854
1.192, 1.21059e-18, -2.4369e-34, -0.00988523, -0.0318974
1.262, 1.4458e-18, -2.91037e-34, -0.0118059, -0.0329697
1.296, 1.64258e-18, -3.30647e-34, -0.0134126, -0.0336516
1.332, 1.81147e-18, -3.64645e-34, -0.0147918, -0.0339645
1.368, 2.06951e-18, -4.16588e-34, -0.0168988, -0.0345591
1.402, 2.21717e-18, -4.46312e-34, -0.0181046, -0.0353138
