Stamp, Max volume, Current volume, Procentage
0.146, 2988, 7.44, 0.00248996
0.246, 2988, 7.441, 0.00249029
0.546, 2988, 7.464, 0.00249799
1.046, 2988, 7.501, 0.00251037
1.446, 2988, 7.518, 0.00251606
1.946, 2988, 7.535, 0.00252175
2.346, 2988, 7.558, 0.00252945
2.846, 2988, 7.593, 0.00254116
3.146, 2988, 7.616, 0.00254886
3.546, 2988, 7.661, 0.00256392
3.852, 2988, 7.667, 0.00256593
4.346, 2988, 7.685, 0.00257195
4.746, 2988, 7.685, 0.00257195
5.146, 2988, 7.702, 0.00257764
5.446, 2988, 7.718, 0.002583
5.746, 2988, 7.745, 0.00259203
6.246, 2988, 7.8, 0.00261044
6.646, 2988, 7.829, 0.00262015
7.046, 2988, 7.837, 0.00262282
7.446, 2988, 7.853, 0.00262818
7.846, 2988, 7.874, 0.00263521
8.246, 2988, 7.9, 0.00264391
8.446, 2988, 7.91, 0.00264726
8.846, 2988, 7.925, 0.00265228
9.346, 2988, 7.925, 0.00265228
9.746, 2988, 7.925, 0.00265228
10.046, 2988, 7.925, 0.00265228
10.446, 2988, 7.93, 0.00265395
10.746, 2988, 7.933, 0.00265495
11.048, 2988, 7.933, 0.00265495
11.446, 2988, 7.933, 0.00265495
11.946, 2988, 7.933, 0.00265495
12.346, 2988, 7.933, 0.00265495
12.546, 2988, 7.933, 0.00265495
12.948, 2988, 7.933, 0.00265495
13.246, 2988, 7.933, 0.00265495
13.546, 2988, 7.933, 0.00265495
13.946, 2988, 7.935, 0.00265562
14.548, 2988, 7.935, 0.00265562
15.046, 2988, 7.935, 0.00265562
15.446, 2988, 7.935, 0.00265562
16.048, 2988, 7.935, 0.00265562
16.546, 2988, 7.935, 0.00265562
16.946, 2988, 7.935, 0.00265562
17.446, 2988, 7.935, 0.00265562
17.946, 2988, 7.935, 0.00265562
18.448, 2988, 7.935, 0.00265562
18.946, 2988, 7.935, 0.00265562
19.346, 2988, 7.935, 0.00265562
19.746, 2988, 8.476, 0.00283668
20.146, 2988, 8.979, 0.00300502
20.646, 2988, 9.61, 0.0032162
21.146, 2988, 20.08, 0.00672021
22.146, 2988, 53.953, 0.0180566
22.946, 2988, 58.972, 0.0197363
23.646, 2988, 60.962, 0.0204023
24.446, 2988, 63.495, 0.02125
24.946, 2988, 65.841, 0.0220351
25.446, 2988, 67.57, 0.0226138
25.746, 2988, 68.44, 0.022905
26.046, 2988, 69.302, 0.0231934
26.446, 2988, 70.528, 0.0236037
26.746, 2988, 70.968, 0.023751
27.246, 2988, 71.522, 0.0239364
27.646, 2988, 71.886, 0.0240582
28.046, 2988, 72.081, 0.0241235
28.446, 2988, 72.204, 0.0241647
28.85, 2988, 72.274, 0.0241881
29.546, 2988, 72.316, 0.0242021
30.246, 2988, 72.762, 0.0243514
31.246, 2988, 74.424, 0.0249076
31.846, 2988, 75.541, 0.0252815
32.446, 2988, 76.029, 0.0254448
33.346, 2988, 76.087, 0.0254642
34.446, 2988, 79.316, 0.0265448
35.446, 2988, 79.316, 0.0265448
36.646, 2988, 80.038, 0.0267865
38.046, 2988, 86.96, 0.0291031
38.948, 2988, 87.697, 0.0293497
39.846, 2988, 88.014, 0.0294558
41.046, 2988, 88.014, 0.0294558
42.246, 2988, 100.249, 0.0335505
43.446, 2988, 143.876, 0.0481513
44.646, 2988, 148.772, 0.0497898
46.046, 2988, 154.117, 0.0515786
47.346, 2988, 155.16, 0.0519277
48.648, 2988, 155.358, 0.051994
50.548, 2988, 155.595, 0.0520733
51.846, 2988, 155.785, 0.0521369
52.946, 2988, 155.896, 0.052174
54.446, 2988, 158, 0.0528782
55.746, 2988, 161.401, 0.0540164
57.146, 2988, 161.655, 0.0541014
58.146, 2988, 162.51, 0.0543876
59.046, 2988, 169.332, 0.0566707
59.848, 2988, 169.428, 0.0567028
60.646, 2988, 169.43, 0.0567035
62.046, 2988, 169.564, 0.0567483
63.046, 2988, 169.564, 0.0567483
64.446, 2988, 178.417, 0.0597112
65.646, 2988, 205.835, 0.0688872
67.446, 2988, 214.55, 0.0718039
68.246, 2988, 220.263, 0.0737159
69.548, 2988, 226.905, 0.0759388
70.946, 2988, 232.927, 0.0779541
72.648, 2988, 240.154, 0.0803728
73.946, 2988, 244.821, 0.0819347
75.746, 2988, 249.974, 0.0836593
