Stamp, X, Y, Z, Yaw
0, -3.03322e-18, 6.10582e-34, 0.0247682, -0.0326156
0.036, -3.09933e-18, 6.23889e-34, 0.0253079, -0.0327136
0.068, -3.11234e-18, 6.26508e-34, 0.0254142, -0.0329774
0.104, -3.12352e-18, 6.28758e-34, 0.0255055, -0.0332747
0.138, -3.15559e-18, 6.35214e-34, 0.0257673, -0.0333926
0.172, -3.22681e-18, 6.4955e-34, 0.0263489, -0.0335752
0.206, -3.31679e-18, 6.67663e-34, 0.0270836, -0.0338075
0.238, -3.43696e-18, 6.91853e-34, 0.0280649, -0.0338886
0.272, -3.53601e-18, 7.11792e-34, 0.0288737, -0.0341053
0.306, -3.61847e-18, 7.2839e-34, 0.029547, -0.0343349
0.34, -3.64761e-18, 7.34256e-34, 0.029785, -0.0344277
0.374, -3.67789e-18, 7.40353e-34, 0.0300323, -0.0346699
0.408, -3.70753e-18, 7.46319e-34, 0.0302743, -0.0349079
0.444, -3.71421e-18, 7.47664e-34, 0.0303288, -0.035081
0.476, -3.72763e-18, 7.50366e-34, 0.0304384, -0.0353328
0.51, -3.76227e-18, 7.57337e-34, 0.0307212, -0.0355274
0.546, -3.79882e-18, 7.64694e-34, 0.0310197, -0.035652
0.58, -3.81708e-18, 7.68371e-34, 0.0311689, -0.035832
0.614, -3.8561e-18, 7.76225e-34, 0.0314874, -0.0360258
0.648, -3.88554e-18, 7.82152e-34, 0.0317279, -0.0360818
0.68, -3.9015e-18, 7.85365e-34, 0.0318582, -0.0361721
0.714, -3.91387e-18, 7.87854e-34, 0.0319592, -0.0361929
0.748, -3.94594e-18, 7.9431e-34, 0.032221, -0.0362017
0.78, -3.98335e-18, 8.0184e-34, 0.0325265, -0.0361728
0.816, -4.04028e-18, 8.13301e-34, 0.0329914, -0.0360982
0.848, -4.13018e-18, 8.31398e-34, 0.0337255, -0.03608
0.882, -4.2186e-18, 8.49196e-34, 0.0344475, -0.0359845
0.984, -4.64392e-18, 9.34812e-34, 0.0379205, -0.0358715
1.014, -4.70521e-18, 9.47149e-34, 0.0384209, -0.0358846
1.048, -4.68341e-18, 9.42761e-34, 0.0382429, -0.0359025
1.082, -4.69609e-18, 9.45315e-34, 0.0383465, -0.0359244
1.114, -4.77602e-18, 9.61403e-34, 0.0389992, -0.0359672
1.15, -4.87057e-18, 9.80436e-34, 0.0397712, -0.035979
1.184, -4.95995e-18, 9.98428e-34, 0.0405011, -0.0360758
1.222, -5.16074e-18, 1.03885e-33, 0.0421406, -0.0362208
1.258, -5.35543e-18, 1.07804e-33, 0.0437304, -0.0362877
1.294, -5.48384e-18, 1.10389e-33, 0.044779, -0.036372
1.362, -5.64982e-18, 1.1373e-33, 0.0461343, -0.036457
1.4, -5.73711e-18, 1.15487e-33, 0.0468471, -0.0365263
1.432, -5.80609e-18, 1.16875e-33, 0.0474103, -0.0365576
1.468, -5.94379e-18, 1.19647e-33, 0.0485347, -0.0366579
1.502, -5.98827e-18, 1.20543e-33, 0.0488979, -0.0367916
1.538, -6.02838e-18, 1.2135e-33, 0.0492254, -0.0368901
1.572, -6.08173e-18, 1.22424e-33, 0.0496611, -0.0369327
1.604, -6.13361e-18, 1.23468e-33, 0.0500848, -0.037037
1.64, -6.21609e-18, 1.25129e-33, 0.0507582, -0.0371259
1.674, -6.3661e-18, 1.28148e-33, 0.0519832, -0.0371522
1.71, -6.5614e-18, 1.3208e-33, 0.0535779, -0.0371635
1.742, -6.78153e-18, 1.36511e-33, 0.0553754, -0.0371215
1.776, -6.94248e-18, 1.39751e-33, 0.0566896, -0.0370774
1.888, -7.73773e-18, 1.55759e-33, 0.0631834, -0.0368015
1.922, -7.9567e-18, 1.60167e-33, 0.0649714, -0.0366424
1.956, -8.10852e-18, 1.63223e-33, 0.0662111, -0.0364927
1.99, -8.2257e-18, 1.65582e-33, 0.0671679, -0.0364329
2.024, -8.32483e-18, 1.67577e-33, 0.0679774, -0.0363219
2.058, -8.44431e-18, 1.69982e-33, 0.068953, -0.0361662
2.092, -8.57494e-18, 1.72612e-33, 0.0700197, -0.0360771
2.126, -8.75912e-18, 1.76319e-33, 0.0715237, -0.0359588
2.16, -8.87652e-18, 1.78683e-33, 0.0724823, -0.0357769
2.196, -8.99683e-18, 1.81105e-33, 0.0734647, -0.0357009
2.23, -9.14171e-18, 1.84021e-33, 0.0746477, -0.0355714
2.264, -9.23986e-18, 1.85997e-33, 0.0754491, -0.0355785
2.298, -9.24838e-18, 1.86168e-33, 0.0755188, -0.0356392
2.334, -9.29637e-18, 1.87134e-33, 0.0759106, -0.0358032
2.368, -9.27875e-18, 1.86779e-33, 0.0757667, -0.0359368
2.402, -9.29248e-18, 1.87056e-33, 0.0758789, -0.036095
2.438, -9.31103e-18, 1.87429e-33, 0.0760303, -0.0361889
2.574, -9.24538e-18, 1.86108e-33, 0.0754942, -0.036635
2.608, -9.27074e-18, 1.86618e-33, 0.0757013, -0.0366906
2.644, -9.31082e-18, 1.87425e-33, 0.0760286, -0.0367598
2.678, -9.36322e-18, 1.8848e-33, 0.0764565, -0.0367472
2.712, -9.37319e-18, 1.8868e-33, 0.0765379, -0.0367237
2.748, -9.38419e-18, 1.88902e-33, 0.0766277, -0.036704
2.78, -9.41846e-18, 1.89592e-33, 0.0769076, -0.0366825
2.818, -9.44361e-18, 1.90098e-33, 0.077113, -0.0365635
2.852, -9.45479e-18, 1.90323e-33, 0.0772042, -0.0363468
2.888, -9.44697e-18, 1.90166e-33, 0.0771403, -0.036031
2.92, -9.40223e-18, 1.89265e-33, 0.076775, -0.0358782
2.956, -9.35684e-18, 1.88351e-33, 0.0764044, -0.0355861
2.99, -9.33894e-18, 1.87991e-33, 0.0762582, -0.035416
