Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
0.952, 1, 5, 3.43004, 3.43004, -1, -1, -1, 0.269188, 0.269188
0.99, 1, 5, 3.43004, 3.43004, -1, -1, -1, 0.269685, 0.269437
1.014, 1, 5, 3.43003, 3.43004, -1, -1, -1, 0.269849, 0.269574
1.048, 1, 5, 3.43003, 3.43004, -1, -1, -1, 0.26979, 0.269628
1.082, 1, 5, 3.43003, 3.43004, -1, -1, -1, 0.269824, 0.269667
1.118, 1, 5, 3.43003, 3.43004, -1, -1, -1, 0.270039, 0.269729
1.168, 1, 5, 3.43003, 3.43003, -1, -1, -1, 0.270294, 0.26981
1.188, 1, 5, 3.43003, 3.43003, -1, -1, -1, 0.270537, 0.269901
1.222, 1, 5, 3.43002, 3.43003, -1, -1, -1, 0.27109, 0.270033
1.258, 1, 5, 3.43002, 3.43003, -1, -1, -1, 0.271635, 0.270193
1.362, 1, 5, 3.43002, 3.43003, -1, -1, -1, 0.272473, 0.270665
1.4, 1, 5, 3.43002, 3.43003, -1, -1, -1, 0.272726, 0.270812
1.432, 1, 5, 3.43002, 3.43003, -1, -1, -1, 0.272926, 0.270953
1.468, 1, 5, 3.43001, 3.43003, -1, -1, -1, 0.27333, 0.271102
1.504, 1, 5, 3.43001, 3.43003, -1, -1, -1, 0.273461, 0.271241
1.538, 1, 5, 3.43001, 3.43002, -1, -1, -1, 0.273579, 0.271371
1.572, 1, 5, 3.43001, 3.43002, -1, -1, -1, 0.273738, 0.271495
1.604, 1, 5, 3.43147, 3.4301, -1, -1, -1, 0.273892, 0.271615
1.64, 1, 5, 3.43145, 3.43016, -1, -1, -1, 0.274139, 0.271735
1.674, 1, 5, 3.43141, 3.43022, -1, -1, -1, 0.274592, 0.271865
1.71, 1, 5, 3.43137, 3.43027, -1, -1, -1, 0.275188, 0.272009
1.744, 1, 5, 3.43132, 3.43031, -1, -1, -1, 0.275869, 0.27217
1.854, 1, 5, 3.43117, 3.43041, -1, -1, -1, 0.278028, 0.27272
1.888, 1, 5, 3.43111, 3.43044, -1, -1, -1, 0.278945, 0.272942
1.924, 1, 5, 3.43107, 3.43046, -1, -1, -1, 0.279676, 0.273174
1.958, 1, 5, 3.43104, 3.43048, -1, -1, -1, 0.280187, 0.273408
1.99, 1, 5, 3.43101, 3.4305, -1, -1, -1, 0.280586, 0.27364
2.024, 1, 5, 3.431, 3.43051, -1, -1, -1, 0.280925, 0.273867
2.06, 1, 5, 3.43097, 3.43053, -1, -1, -1, 0.281336, 0.274094
2.092, 1, 5, 3.43095, 3.43054, -1, -1, -1, 0.281788, 0.27432
2.128, 1, 5, 3.43091, 3.43055, -1, -1, -1, 0.282432, 0.274552
2.162, 1, 5, 3.43089, 3.43056, -1, -1, -1, 0.282846, 0.274782
2.196, 1, 5, 3.43087, 3.43057, -1, -1, -1, 0.283273, 0.275012
2.23, 1, 5, 3.43084, 3.43057, -1, -1, -1, 0.28379, 0.275243
2.264, 1, 5, 3.43082, 3.43058, -1, -1, -1, 0.284143, 0.275471
2.298, 1, 5, 3.43082, 3.43059, -1, -1, -1, 0.284174, 0.275688
2.336, 1, 5, 3.43081, 3.43059, -1, -1, -1, 0.284347, 0.2759
2.368, 1, 5, 3.43082, 3.4306, -1, -1, -1, 0.284284, 0.276099
2.404, 1, 5, 3.43082, 3.4306, -1, -1, -1, 0.284333, 0.276291
2.438, 1, 5, 3.43081, 3.43061, -1, -1, -1, 0.2844, 0.276475
2.536, 1, 5, 3.43083, 3.43062, -1, -1, -1, 0.284052, 0.276966
2.574, 1, 5, 3.43082, 3.43063, -1, -1, -1, 0.284163, 0.277116
2.61, 1, 5, 3.43082, 3.43063, -1, -1, -1, 0.284255, 0.277261
2.644, 1, 5, 3.43081, 3.43063, -1, -1, -1, 0.2844, 0.277404
2.678, 1, 5, 3.4308, 3.43064, -1, -1, -1, 0.28459, 0.277545
2.714, 1, 5, 3.4308, 3.43064, -1, -1, -1, 0.284626, 0.277681
2.748, 1, 5, 3.4308, 3.43064, -1, -1, -1, 0.284666, 0.277813
2.782, 1, 5, 3.43079, 3.43065, -1, -1, -1, 0.28479, 0.277942
2.818, 1, 5, 3.43079, 3.43065, -1, -1, -1, 0.284882, 0.278068
2.852, 1, 5, 3.43079, 3.43065, -1, -1, -1, 0.284923, 0.278191
2.89, 1, 5, 3.43079, 3.43065, -1, -1, -1, 0.284894, 0.278308
2.92, 1, 5, 3.4308, 3.43066, -1, -1, -1, 0.284731, 0.278419
2.956, 1, 5, 3.4308, 3.43066, -1, -1, -1, 0.284566, 0.278523
2.99, 1, 5, 3.43081, 3.43066, -1, -1, -1, 0.284502, 0.278623
3.024, 1, 5, 3.43081, 3.43066, -1, -1, -1, 0.284471, 0.278719
3.058, 1, 5, 3.43081, 3.43067, -1, -1, -1, 0.284431, 0.278811
3.092, 1, 5, 3.43082, 3.43067, -1, -1, -1, 0.284263, 0.278897
3.126, 1, 5, 3.43082, 3.43067, -1, -1, -1, 0.284197, 0.27898
3.222, 1, 5, 3.43082, 3.43068, -1, -1, -1, 0.284158, 0.279214
3.252, 1, 5, 3.43083, 3.43068, -1, -1, -1, 0.28402, 0.279285
3.286, 1, 5, 3.43083, 3.43068, -1, -1, -1, 0.284007, 0.279353
3.324, 1, 5, 3.43083, 3.43068, -1, -1, -1, 0.283974, 0.279419
3.358, 1, 5, 3.43083, 3.43069, -1, -1, -1, 0.284003, 0.279484
3.394, 1, 5, 3.43083, 3.43069, -1, -1, -1, 0.283965, 0.279546
3.43, 1, 5, 3.43083, 3.43069, -1, -1, -1, 0.284035, 0.279607
3.464, 1, 5, 3.43083, 3.43069, -1, -1, -1, 0.284032, 0.279667
3.498, 1, 5, 3.43083, 3.43069, -1, -1, -1, 0.283978, 0.279725
3.536, 1, 5, 3.43083, 3.4307, -1, -1, -1, 0.284032, 0.279781
3.574, 1, 5, 3.43083, 3.4307, -1, -1, -1, 0.283961, 0.279836
3.606, 1, 5, 3.43084, 3.4307, -1, -1, -1, 0.283861, 0.279887
3.642, 1, 5, 3.43085, 3.4307, -1, -1, -1, 0.283722, 0.279936
3.678, 1, 5, 3.43085, 3.4307, -1, -1, -1, 0.283626, 0.279982
3.776, 1, 5, 3.43086, 3.43071, -1, -1, -1, 0.256024, 0.279447
3.814, 1, 5, 3.43086, 3.43071, -1, -1, -1, 0.256049, 0.279168
3.846, 1, 5, 3.43085, 3.43071, -1, -1, -1, 0.256093, 0.278896
3.876, 1, 5, 3.43084, 3.43071, -1, -1, -1, 0.256104, 0.278631
3.912, 1, 5, 3.43084, 3.43071, -1, -1, -1, 0.25613, 0.278373
3.946, 1, 5, 3.43099, 3.43072, -1, -1, -1, 0.256468, 0.278124
3.98, 1, 5, 3.43108, 3.43072, -1, -1, -1, 0.257023, 0.277887
4.016, 1, 5, 3.43105, 3.43073, -1, -1, -1, 0.258222, 0.277668
4.052, 1, 5, 3.431, 3.43073, -1, -1, -1, 0.25977, 0.277472
4.086, 1, 5, 3.43089, 3.43073, -1, -1, -1, 0.262701, 0.277311
4.12, 1, 5, 3.43084, 3.43073, -1, -1, -1, 0.2655, 0.277184
4.154, 1, 5, 3.43088, 3.43073, -1, -1, -1, 0.268197, 0.277088
4.186, 1, 5, 3.43096, 3.43074, -1, -1, -1, 0.273207, 0.277048
4.222, 1, 5, 3.4325, 3.43075, -1, -1, -1, 0.275679, 0.277033
4.256, 1, 5, 3.43234, 3.43077, -1, -1, -1, 0.279714, 0.277061
4.356, 1, 5, 3.43185, 3.43081, -1, -1, -1, 0.289816, 0.277354
4.398, 1, 5, 3.43155, 3.43082, -1, -1, -1, 0.294472, 0.277524
4.426, 1, 5, 3.4313, 3.43082, -1, -1, -1, 0.299557, 0.27774
4.458, 1, 5, 3.43115, 3.43082, -1, -1, -1, 0.3027, 0.277982
4.496, 1, 5, 3.431, 3.43083, -1, -1, -1, 0.30691, 0.27826
4.53, 1, 5, 3.43087, 3.43083, -1, -1, -1, 0.311965, 0.278581
4.564, 1, 5, 3.43077, 3.43083, -1, -1, -1, 0.317207, 0.278946
4.598, 1, 5, 3.43071, 3.43082, -1, -1, -1, 0.32103, 0.279339
4.636, 1, 5, 3.43068, 3.43082, -1, -1, -1, 0.324128, 0.279754
4.672, 1, 5, 3.43215, 3.43083, -1, -1, -1, 0.326948, 0.280187
4.704, 1, 5, 3.43201, 3.43085, -1, -1, -1, 0.330891, 0.280648
4.738, 1, 5, 3.43193, 3.43086, -1, -1, -1, 0.333943, 0.281128
4.772, 1, 5, 3.43185, 3.43086, -1, -1, -1, 0.337656, 0.281633
4.806, 1, 5, 3.43179, 3.43087, -1, -1, -1, 0.341167, 0.282159
