Stamp, X, Y, Z, Yaw
0, 0.00626013, -0.00798254, -0.02025, -0.0306929
0.032, 0.00635744, -0.00795374, -0.0203796, -0.0306451
0.068, 0.00644982, -0.00789052, -0.0205327, -0.0306065
0.104, 0.00653424, -0.00783268, -0.0206016, -0.0305771
0.136, 0.00663046, -0.0077704, -0.0204573, -0.0305351
0.17, 0.00670194, -0.0077286, -0.0201826, -0.0305067
0.206, 0.00678027, -0.00767858, -0.0197694, -0.0304921
0.24, 0.0068279, -0.00761592, -0.0195279, -0.0304498
0.274, 0.00688987, -0.00751692, -0.0192023, -0.030409
0.308, 0.00694458, -0.00742549, -0.0188953, -0.030397
0.342, 0.00699665, -0.00734543, -0.0186828, -0.0303953
0.378, 0.00705374, -0.00725497, -0.0184814, -0.03039
0.41, 0.00708639, -0.00720801, -0.0184543, -0.0303913
0.444, 0.00726617, -0.00706585, -0.0185033, -0.0304009
0.48, 0.00742755, -0.00695479, -0.0185994, -0.0304073
0.516, 0.00757304, -0.00685165, -0.0186032, -0.0304123
0.548, 0.00771313, -0.00676172, -0.0185726, -0.0304253
0.584, 0.00784332, -0.00667966, -0.0185498, -0.0304504
0.618, 0.00793854, -0.0066252, -0.0185303, -0.0304681
0.648, 0.0079575, -0.00636631, -0.018568, -0.0304964
0.68, 0.00798313, -0.00612998, -0.0186726, -0.0305151
0.714, 0.00800493, -0.00591386, -0.0188331, -0.0305214
0.75, 0.0080288, -0.00571341, -0.0190175, -0.0305458
0.786, 0.0080554, -0.00548349, -0.0192684, -0.0305723
0.82, 0.00796586, -0.00522165, -0.0195674, -0.0305814
0.852, 0.00778149, -0.00488655, -0.0200427, -0.030604
0.886, 0.00761125, -0.00457735, -0.020423, -0.030632
0.922, 0.00745745, -0.0042876, -0.0207157, -0.0306407
0.956, 0.00728147, -0.00395724, -0.021197, -0.0306493
0.99, 0.00715468, -0.0037097, -0.0216086, -0.0306583
1.024, 0.00705356, -0.00355983, -0.02189, -0.0306597
1.058, 0.00696276, -0.00345003, -0.0221902, -0.0306564
1.088, 0.00685909, -0.00331714, -0.0222094, -0.030656
1.128, 0.00678385, -0.00321439, -0.0221871, -0.0306628
1.162, 0.00671382, -0.00311768, -0.022251, -0.0306637
1.196, 0.00677496, -0.0028641, -0.0224231, -0.0306733
1.228, 0.00693297, -0.00259732, -0.0225693, -0.0306781
1.26, 0.00717524, -0.0021863, -0.0230338, -0.0306843
1.292, 0.00735229, -0.00188534, -0.0232786, -0.0306825
1.326, 0.0075556, -0.00153904, -0.0236245, -0.0306781
1.358, 0.00771, -0.00127197, -0.0238818, -0.0306668
1.392, 0.00784799, -0.00102463, -0.0240261, -0.0306586
1.428, 0.00796163, -0.000818571, -0.0240994, -0.030653
1.468, 0.00809249, -0.000581827, -0.0242667, -0.0306378
1.5, 0.00817333, -0.000432203, -0.0243052, -0.0306272
1.534, 0.00827116, -0.000252813, -0.0243593, -0.0306272
1.568, 0.00837005, -6.94675e-05, -0.0243166, -0.0306233
1.602, 0.00841899, 6.13019e-05, -0.0243214, -0.0306152
1.64, 0.0084062, 0.000216865, -0.0244399, -0.030613
1.674, 0.00840236, 0.000338939, -0.0244753, -0.0306092
1.708, 0.00839926, 0.000478822, -0.0241681, -0.0306132
1.744, 0.00840445, 0.000596082, -0.0237638, -0.0306127
1.778, 0.00840746, 0.000699656, -0.0233823, -0.0306171
1.808, 0.00840452, 0.000780859, -0.022998, -0.0306213
1.84, 0.00839976, 0.000850468, -0.0228248, -0.0306165
1.88, 0.00840228, 0.000929646, -0.0226275, -0.0305898
1.916, 0.00840377, 0.00101598, -0.0223981, -0.0305578
1.946, 0.00841212, 0.00109553, -0.0223539, -0.030546
1.986, 0.00841489, 0.00117056, -0.0224473, -0.0305187
2.018, 0.00842221, 0.0012371, -0.0226165, -0.0304821
2.054, 0.00843064, 0.00130247, -0.0228045, -0.0304633
2.088, 0.00835256, 0.00134566, -0.0228679, -0.0304285
2.122, 0.00827854, 0.00137827, -0.0228896, -0.0304061
2.154, 0.00821686, 0.00142223, -0.0231223, -0.0303899
2.188, 0.00816511, 0.00147285, -0.0231661, -0.0303614
2.222, 0.00810307, 0.00152044, -0.023153, -0.0303354
2.256, 0.00806395, 0.00157058, -0.0230378, -0.0303287
2.29, 0.0079463, 0.0014705, -0.0228924, -0.0303139
2.322, 0.00783991, 0.00138232, -0.0227573, -0.0302944
2.356, 0.00772173, 0.0012896, -0.0229035, -0.0302908
2.392, 0.0076645, 0.00126106, -0.0231449, -0.0302822
2.438, 0.00756718, 0.0011875, -0.0235383, -0.030289
2.472, 0.0075007, 0.0011302, -0.023808, -0.0302913
2.506, 0.00737365, 0.000982703, -0.0242633, -0.0302879
2.544, 0.00725352, 0.000835313, -0.0248473, -0.0302878
2.576, 0.00714698, 0.000712533, -0.0254371, -0.0302868
2.61, 0.00704803, 0.000595873, -0.0261202, -0.0302846
2.646, 0.00695972, 0.000496545, -0.0268847, -0.0302871
2.68, 0.00679739, 0.000388581, -0.027571, -0.0302851
2.712, 0.00666824, 0.000310014, -0.0279408, -0.0302841
2.75, 0.0065525, 0.000247078, -0.028083, -0.0302887
2.786, 0.00644472, 0.000179814, -0.027981, -0.0302909
2.82, 0.00632777, 0.000123588, -0.0277078, -0.0303119
2.854, 0.0062001, -7.90461e-06, -0.0274412, -0.0303247
2.888, 0.00607089, -0.000151743, -0.0274795, -0.0303297
2.92, 0.00595402, -0.000277941, -0.0275406, -0.0303423
2.96, 0.00582347, -0.000416282, -0.0273674, -0.0303639
2.996, 0.0057299, -0.000508327, -0.0271377, -0.0303716
3.032, 0.00565817, -0.00064581, -0.0269871, -0.0303856
3.064, 0.00560527, -0.000820148, -0.02689, -0.0304071
3.098, 0.00555782, -0.000968361, -0.0267514, -0.0304111
3.132, 0.00551443, -0.00110801, -0.0266818, -0.0304192
3.166, 0.00547573, -0.00122535, -0.0265983, -0.0304276
3.2, 0.00544079, -0.00133231, -0.0265099, -0.0304327
3.234, 0.00541536, -0.00145144, -0.0263228, -0.0304512
3.268, 0.00540904, -0.00162919, -0.0261547, -0.0304636
3.302, 0.00540248, -0.00182665, -0.0261985, -0.0304686
3.336, 0.00539815, -0.00196622, -0.0262194, -0.0304814
3.37, 0.00539466, -0.00208901, -0.0262145, -0.0305009
3.406, 0.00539178, -0.00219939, -0.0261164, -0.0305058
3.438, 0.00534798, -0.00227318, -0.0259839, -0.0305216
3.478, 0.00529515, -0.0023393, -0.0257557, -0.0305326
3.512, 0.00524787, -0.00239489, -0.0255338, -0.0305367
3.55, 0.00519567, -0.00245439, -0.0251413, -0.0305499
3.584, 0.00515884, -0.0024938, -0.0248622, -0.0305643
3.626, 0.00513891, -0.00251522, -0.0246568, -0.0305701
3.662, 0.00513354, -0.0025259, -0.0243219, -0.0305864
3.696, 0.0051291, -0.00253008, -0.0241238, -0.0306106
3.73, 0.00512544, -0.00253129, -0.0241049, -0.0306265
3.764, 0.00512195, -0.00253264, -0.0242419, -0.0306557
3.798, 0.00512004, -0.00252927, -0.0245702, -0.0307021
3.832, 0.0051413, -0.00274416, -0.0249476, -0.0307241
3.868, 0.00516576, -0.00298639, -0.0254177, -0.030769
3.9, 0.00518413, -0.00315946, -0.0255408, -0.0308197
3.936, 0.00520139, -0.00331525, -0.0254759, -0.0308397
3.97, 0.00521783, -0.00345777, -0.0252851, -0.0308849
4.002, 0.00523371, -0.00358784, -0.0250412, -0.0309246
4.04, 0.00526814, -0.00353506, -0.0247569, -0.0309472
4.074, 0.00529977, -0.00348625, -0.0244726, -0.0309757
4.108, 0.00532975, -0.00343909, -0.0240947, -0.0309952
4.14, 0.00536401, -0.0033839, -0.0237943, -0.0310093
4.174, 0.00538951, -0.00334099, -0.0237831, -0.0310369
4.208, 0.00537063, -0.00328132, -0.023797, -0.0310599
4.242, 0.00534053, -0.00321899, -0.0238273, -0.0310725
4.274, 0.00530696, -0.00314768, -0.0238145, -0.0311068
4.308, 0.00528325, -0.00309461, -0.0238489, -0.0311518
4.344, 0.00526339, -0.00304074, -0.0239499, -0.0311693
4.378, 0.00524593, -0.00298908, -0.0240696, -0.0312087
4.414, 0.00523075, -0.00293788, -0.0240853, -0.0312386
4.448, 0.00521389, -0.00287866, -0.0240433, -0.0312541
4.48, 0.00519931, -0.00282536, -0.0239432, -0.0312823
4.516, 0.00513551, -0.00276501, -0.0239521, -0.0313017
4.55, 0.00507785, -0.00270782, -0.0239164, -0.0313096
4.59, 0.00502552, -0.00265131, -0.023852, -0.0313172
4.624, 0.00496712, -0.00258523, -0.023746, -0.0313253
4.658, 0.00492606, -0.00253269, -0.0239046, -0.0313276
4.692, 0.00487374, -0.00248859, -0.0240614, -0.0313266
4.726, 0.00479394, -0.00242842, -0.0242573, -0.0313125
4.766, 0.00470417, -0.00235739, -0.0245262, -0.0313007
4.802, 0.00465443, -0.00231239, -0.0247106, -0.0312919
4.834, 0.00459384, -0.00225908, -0.0249151, -0.0312772
4.868, 0.00453799, -0.00220586, -0.0253263, -0.0312693
4.904, 0.00439145, -0.00238899, -0.0256093, -0.0312533
4.938, 0.00425544, -0.0025555, -0.0258797, -0.0312422
4.972, 0.00409955, -0.00274464, -0.0263303, -0.0312349
5.004, 0.00398205, -0.00288006, -0.026656, -0.0312197
5.04, 0.00387075, -0.00300245, -0.0269535, -0.0312114
5.072, 0.00381734, -0.00318796, -0.026917, -0.0312035
5.108, 0.00375485, -0.00339673, -0.0268255, -0.0311966
