Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
1.122, 1, 5, 3.342, 3.342, -1, -1, -1, 0.327715, 0.327715
1.206, 1, 5, 3.34324, 3.34262, -1, -1, -1, 0.338441, 0.333078
1.232, 1, 5, 3.34305, 3.34276, -1, -1, -1, 0.346075, 0.33741
1.254, 1, 5, 3.34292, 3.3428, -1, -1, -1, 0.353853, 0.341521
1.288, 1, 5, 3.34285, 3.34281, -1, -1, -1, 0.361046, 0.345426
1.322, 1, 5, 3.34283, 3.34282, -1, -1, -1, 0.366878, 0.349001
1.358, 1, 5, 3.34289, 3.34283, -1, -1, -1, 0.371172, 0.352169
1.392, 1, 5, 3.34295, 3.34284, -1, -1, -1, 0.376064, 0.355155
1.426, 1, 5, 3.34301, 3.34286, -1, -1, -1, 0.380596, 0.357982
1.462, 1, 5, 3.3431, 3.34289, -1, -1, -1, 0.386919, 0.360876
1.494, 1, 5, 3.34318, 3.34291, -1, -1, -1, 0.392178, 0.363722
1.528, 1, 5, 3.34327, 3.34294, -1, -1, -1, 0.3972, 0.366511
1.56, 1, 5, 3.34473, 3.34308, -1, -1, -1, 0.400932, 0.369159
1.596, 1, 5, 3.34464, 3.34319, -1, -1, -1, 0.405556, 0.371759
1.662, 1, 5, 3.3445, 3.34336, -1, -1, -1, 0.414031, 0.376859
1.696, 1, 5, 3.34445, 3.34342, -1, -1, -1, 0.417968, 0.379277
1.73, 1, 5, 3.34438, 3.34348, -1, -1, -1, 0.421505, 0.381623
1.764, 1, 5, 3.34424, 3.34352, -1, -1, -1, 0.424183, 0.383863
1.798, 1, 5, 3.34412, 3.34355, -1, -1, -1, 0.426453, 0.385993
1.832, 1, 5, 3.34401, 3.34357, -1, -1, -1, 0.429346, 0.388057
1.868, 1, 5, 3.34391, 3.34358, -1, -1, -1, 0.431635, 0.390038
1.9, 1, 5, 3.34381, 3.34359, -1, -1, -1, 0.433927, 0.391946
1.934, 1, 5, 3.34372, 3.3436, -1, -1, -1, 0.437088, 0.393827
1.968, 1, 5, 3.34364, 3.3436, -1, -1, -1, 0.439546, 0.395656
2.002, 1, 5, 3.34355, 3.3436, -1, -1, -1, 0.442706, 0.397465
2.036, 1, 5, 3.34348, 3.34359, -1, -1, -1, 0.445612, 0.399249
2.068, 1, 5, 3.34348, 3.34359, -1, -1, -1, 0.448816, 0.401019
2.104, 1, 5, 3.34357, 3.34359, -1, -1, -1, 0.451322, 0.402753
2.136, 1, 5, 3.34361, 3.34359, -1, -1, -1, 0.452673, 0.404417
2.206, 1, 5, 3.34397, 3.34361, -1, -1, -1, 0.451579, 0.407443
2.246, 1, 5, 3.34426, 3.34363, -1, -1, -1, 0.452768, 0.408816
2.282, 1, 5, 3.34469, 3.34366, -1, -1, -1, 0.454377, 0.410156
2.318, 1, 5, 3.34521, 3.3437, -1, -1, -1, 0.456258, 0.411473
2.354, 1, 5, 3.34581, 3.34376, -1, -1, -1, 0.458661, 0.412784
2.388, 1, 5, 3.34617, 3.34383, -1, -1, -1, 0.459911, 0.414058
2.422, 1, 5, 3.34683, 3.3439, -1, -1, -1, 0.46181, 0.415314
2.456, 1, 5, 3.34755, 3.344, -1, -1, -1, 0.463684, 0.416555
2.49, 1, 5, 3.34812, 3.3441, -1, -1, -1, 0.465076, 0.417768
2.524, 1, 5, 3.34876, 3.34421, -1, -1, -1, 0.466417, 0.418954
2.56, 1, 5, 3.34941, 3.34434, -1, -1, -1, 0.467905, 0.42012
2.594, 1, 5, 3.35162, 3.34451, -1, -1, -1, 0.469891, 0.421277
2.626, 1, 5, 3.35229, 3.34468, -1, -1, -1, 0.471914, 0.422428
2.66, 1, 5, 3.3528, 3.34486, -1, -1, -1, 0.473329, 0.423559
2.694, 1, 5, 3.35323, 3.34505, -1, -1, -1, 0.474302, 0.424662
2.728, 1, 5, 3.35355, 3.34523, -1, -1, -1, 0.475206, 0.425738
2.832, 1, 5, 3.35468, 3.34577, -1, -1, -1, 0.479089, 0.428873
2.864, 1, 5, 3.35496, 3.34595, -1, -1, -1, 0.479931, 0.429874
2.9, 1, 5, 3.35515, 3.34613, -1, -1, -1, 0.481334, 0.430863
2.934, 1, 5, 3.35508, 3.3463, -1, -1, -1, 0.482095, 0.43183
2.97, 1, 5, 3.35498, 3.34646, -1, -1, -1, 0.482563, 0.43277
3.004, 1, 5, 3.35487, 3.34661, -1, -1, -1, 0.48344, 0.433691
3.04, 1, 5, 3.35481, 3.34676, -1, -1, -1, 0.484047, 0.43459
3.072, 1, 5, 3.35475, 3.3469, -1, -1, -1, 0.484672, 0.435469
3.104, 1, 5, 3.35472, 3.34704, -1, -1, -1, 0.485131, 0.436325
3.14, 1, 5, 3.35483, 3.34717, -1, -1, -1, 0.485885, 0.437165
3.172, 1, 5, 3.3549, 3.3473, -1, -1, -1, 0.486719, 0.437991
3.208, 1, 5, 3.355, 3.34742, -1, -1, -1, 0.488015, 0.438811
3.244, 1, 5, 3.3551, 3.34755, -1, -1, -1, 0.48936, 0.439626
3.276, 1, 5, 3.35516, 3.34767, -1, -1, -1, 0.490364, 0.440432
3.308, 1, 5, 3.35525, 3.34779, -1, -1, -1, 0.491388, 0.441228
3.342, 1, 5, 3.35537, 3.3479, -1, -1, -1, 0.492462, 0.442016
3.378, 1, 5, 3.35549, 3.34802, -1, -1, -1, 0.493888, 0.442802
3.488, 1, 5, 3.35576, 3.34835, -1, -1, -1, 0.496577, 0.445097
3.524, 1, 5, 3.35582, 3.34846, -1, -1, -1, 0.497985, 0.445853
3.558, 1, 5, 3.35585, 3.34856, -1, -1, -1, 0.498947, 0.4466
3.592, 1, 5, 3.35586, 3.34866, -1, -1, -1, 0.499802, 0.447339
3.62, 1, 5, 3.35587, 3.34876, -1, -1, -1, 0.500856, 0.448072
3.65, 1, 5, 3.35586, 3.34886, -1, -1, -1, 0.501622, 0.448796
3.678, 1, 5, 3.35578, 3.34895, -1, -1, -1, 0.502448, 0.449511
3.714, 1, 5, 3.35547, 3.34904, -1, -1, -1, 0.503369, 0.45022
3.748, 1, 5, 3.35526, 3.34912, -1, -1, -1, 0.503958, 0.450918
3.782, 1, 5, 3.35489, 3.34919, -1, -1, -1, 0.505331, 0.451616
3.818, 1, 5, 3.35468, 3.34926, -1, -1, -1, 0.505892, 0.452303
3.854, 1, 5, 3.35429, 3.34932, -1, -1, -1, 0.506811, 0.452984
3.892, 1, 5, 3.35406, 3.34938, -1, -1, -1, 0.507877, 0.453662
3.924, 1, 5, 3.35372, 3.34943, -1, -1, -1, 0.508795, 0.454334
3.96, 1, 5, 3.35343, 3.34948, -1, -1, -1, 0.509792, 0.455002
3.996, 1, 5, 3.35312, 3.34953, -1, -1, -1, 0.511036, 0.455669
4.03, 1, 5, 3.35287, 3.34956, -1, -1, -1, 0.511726, 0.456329
4.062, 1, 5, 3.35263, 3.3496, -1, -1, -1, 0.512385, 0.456981
4.096, 1, 5, 3.3524, 3.34963, -1, -1, -1, 0.513027, 0.457625
4.166, 1, 5, 3.35209, 3.34969, -1, -1, -1, 0.514125, 0.458887
4.238, 1, 5, 3.35173, 3.34971, -1, -1, -1, 0.514637, 0.459507
4.28, 1, 5, 3.35156, 3.34973, -1, -1, -1, 0.5148, 0.460115
4.326, 1, 5, 3.35146, 3.34975, -1, -1, -1, 0.514959, 0.460711
4.376, 1, 5, 3.35131, 3.34977, -1, -1, -1, 0.51525, 0.461297
4.416, 1, 5, 3.351, 3.34978, -1, -1, -1, 0.516733, 0.461887
4.466, 1, 5, 3.35086, 3.34979, -1, -1, -1, 0.517478, 0.462472
4.504, 1, 5, 3.35072, 3.3498, -1, -1, -1, 0.51811, 0.463052
4.548, 1, 5, 3.35056, 3.34981, -1, -1, -1, 0.518857, 0.463627
4.592, 1, 5, 3.35039, 3.34982, -1, -1, -1, 0.519757, 0.4642
4.636, 1, 5, 3.35012, 3.34982, -1, -1, -1, 0.521978, 0.464783
4.684, 1, 5, 3.35003, 3.34982, -1, -1, -1, 0.522952, 0.465365
4.72, 1, 5, 3.3499, 3.34982, -1, -1, -1, 0.524004, 0.465946
4.77, 1, 5, 3.34958, 3.34982, -1, -1, -1, 0.526174, 0.466536
4.814, 1, 5, 3.34954, 3.34982, -1, -1, -1, 0.526984, 0.467123
4.866, 1, 5, 3.34945, 3.34981, -1, -1, -1, 0.527873, 0.467707
4.912, 1, 5, 3.34917, 3.34981, -1, -1, -1, 0.529528, 0.468296
5.092, 1, 5, 3.3475, 3.34977, -1, -1, -1, 0.532684, 0.470036
5.15, 1, 5, 3.34718, 3.34975, -1, -1, -1, 0.533225, 0.470616
5.198, 1, 5, 3.34669, 3.34972, -1, -1, -1, 0.534074, 0.471193
5.252, 1, 5, 3.34558, 3.34968, -1, -1, -1, 0.535834, 0.471775
5.304, 1, 5, 3.34437, 3.34963, -1, -1, -1, 0.537721, 0.472364
5.352, 1, 5, 3.34382, 3.34958, -1, -1, -1, 0.53861, 0.47295
5.402, 1, 5, 3.34321, 3.34953, -1, -1, -1, 0.539732, 0.473536
5.462, 1, 5, 3.34368, 3.34948, -1, -1, -1, 0.541903, 0.47413
5.528, 1, 5, 3.34252, 3.34942, -1, -1, -1, 0.543789, 0.474731
5.58, 1, 5, 3.34218, 3.34935, -1, -1, -1, 0.544717, 0.475329
5.624, 1, 5, 3.34149, 3.34929, -1, -1, -1, 0.546918, 0.475936
5.692, 1, 5, 3.34076, 3.34922, -1, -1, -1, 0.548883, 0.476549
5.748, 1, 5, 3.34046, 3.34914, -1, -1, -1, 0.549471, 0.477156
5.81, 1, 5, 3.3396, 3.34906, -1, -1, -1, 0.550742, 0.477765
5.86, 1, 5, 3.33883, 3.34898, -1, -1, -1, 0.551728, 0.478371
5.91, 1, 5, 3.33846, 3.34889, -1, -1, -1, 0.552209, 0.478971
5.956, 1, 5, 3.33803, 3.34881, -1, -1, -1, 0.552652, 0.479565
6.158, 1, 5, 3.33672, 3.34853, -1, -1, -1, 0.556376, 0.481344
6.228, 1, 5, 3.33627, 3.34844, -1, -1, -1, 0.557647, 0.481941
6.304, 1, 5, 3.33576, 3.34834, -1, -1, -1, 0.558823, 0.482537
6.376, 1, 5, 3.33545, 3.34824, -1, -1, -1, 0.559574, 0.483129
6.45, 1, 5, 3.33503, 3.34814, -1, -1, -1, 0.560338, 0.483719
6.52, 1, 5, 3.33447, 3.34804, -1, -1, -1, 0.560921, 0.484303
6.586, 1, 5, 3.3339, 3.34793, -1, -1, -1, 0.561618, 0.484885
6.654, 1, 5, 3.33344, 3.34782, -1, -1, -1, 0.562338, 0.485463
6.736, 1, 5, 3.3329, 3.34771, -1, -1, -1, 0.563516, 0.486041
6.822, 1, 5, 3.3325, 3.3476, -1, -1, -1, 0.563456, 0.48661
6.908, 1, 5, 3.33155, 3.34748, -1, -1, -1, 0.563765, 0.487173
6.97, 1, 5, 3.33075, 3.34736, -1, -1, -1, 0.564353, 0.487733
7.044, 1, 5, 3.33012, 3.34724, -1, -1, -1, 0.565254, 0.48829
7.288, 1, 5, 3.32918, 3.34686, -1, -1, -1, 0.568024, 0.48996
7.356, 1, 5, 3.32914, 3.34674, -1, -1, -1, 0.569036, 0.490513
7.418, 1, 5, 3.32915, 3.34662, -1, -1, -1, 0.569432, 0.491061
7.494, 1, 5, 3.32936, 3.3465, -1, -1, -1, 0.570612, 0.49161
7.556, 1, 5, 3.32943, 3.34638, -1, -1, -1, 0.570938, 0.492153
7.618, 1, 5, 3.32976, 3.34627, -1, -1, -1, 0.571666, 0.492694
7.674, 1, 5, 3.33009, 3.34616, -1, -1, -1, 0.572493, 0.493233
7.732, 1, 5, 3.33037, 3.34605, -1, -1, -1, 0.572849, 0.493768
7.808, 1, 5, 3.33077, 3.34595, -1, -1, -1, 0.57354, 0.494299
7.872, 1, 5, 3.33108, 3.34585, -1, -1, -1, 0.574201, 0.494829
7.932, 1, 5, 3.33122, 3.34576, -1, -1, -1, 0.574541, 0.495353
8.006, 1, 5, 3.33099, 3.34566, -1, -1, -1, 0.575561, 0.495877
8.078, 1, 5, 3.33064, 3.34556, -1, -1, -1, 0.576595, 0.496401
8.364, 1, 5, 3.32987, 3.34517, -1, -1, -1, 0.579034, 0.498482
8.444, 1, 5, 3.32967, 3.34507, -1, -1, -1, 0.579233, 0.49899
8.51, 1, 5, 3.32953, 3.34498, -1, -1, -1, 0.5793, 0.499492
8.576, 1, 5, 3.32939, 3.34488, -1, -1, -1, 0.578954, 0.499986
8.642, 1, 5, 3.32939, 3.34478, -1, -1, -1, 0.578673, 0.500471
8.696, 1, 5, 3.32972, 3.34469, -1, -1, -1, 0.578962, 0.500953
8.758, 1, 5, 3.32987, 3.3446, -1, -1, -1, 0.579022, 0.501429
8.824, 1, 5, 3.33015, 3.34451, -1, -1, -1, 0.579271, 0.501901
8.886, 1, 5, 3.33049, 3.34443, -1, -1, -1, 0.579988, 0.502371
8.946, 1, 5, 3.33082, 3.34435, -1, -1, -1, 0.580028, 0.502836
9.156, 1, 5, 3.18374, 3.34325, -1, -1, -1, 0.581144, 0.504207
9.262, 1, 5, 3.18452, 3.34232, -1, -1, -1, 0.581582, 0.50466
9.348, 1, 5, 3.18488, 3.3414, -1, -1, -1, 0.581872, 0.505109
9.422, 1, 5, 3.18551, 3.3405, -1, -1, -1, 0.5818, 0.505552
9.492, 1, 5, 3.18564, 3.33961, -1, -1, -1, 0.581634, 0.505989
9.566, 1, 5, 3.18602, 3.33874, -1, -1, -1, 0.581057, 0.506418
9.844, 1, 5, 2.78344, 3.33164, -1, -1, -1, 0.582084, 0.507679
9.92, 1, 5, 2.78441, 3.32858, -1, -1, -1, 0.582142, 0.508095
10.008, 1, 5, 2.78535, 3.32556, -1, -1, -1, 0.582661, 0.508509
10.094, 1, 5, 2.78596, 3.32258, -1, -1, -1, 0.582974, 0.508921
10.17, 1, 5, 2.78646, 3.31963, -1, -1, -1, 0.583289, 0.509329
10.354, 1, 5, 2.78793, 3.31385, -1, -1, -1, 0.586572, 0.510162
10.444, 1, 5, 2.7885, 3.31101, -1, -1, -1, 0.587509, 0.51058
10.548, 1, 5, 2.78978, 3.30821, -1, -1, -1, 0.588461, 0.510999
10.644, 1, 5, 2.79051, 3.30544, -1, -1, -1, 0.589049, 0.511416
10.734, 1, 5, 2.79052, 3.3027, -1, -1, -1, 0.589354, 0.511831
10.974, 1, 5, 2.78785, 3.29729, -1, -1, -1, 0.590153, 0.512652
11.09, 1, 5, 2.78543, 3.29461, -1, -1, -1, 0.591344, 0.513064
11.2, 1, 5, 2.78343, 3.29195, -1, -1, -1, 0.592213, 0.513476
11.296, 1, 5, 2.78097, 3.2893, -1, -1, -1, 0.591885, 0.513882
11.392, 1, 5, 2.77845, 3.28667, -1, -1, -1, 0.594688, 0.514299
11.574, 1, 5, 2.7843, 3.28151, -1, -1, -1, 0.619501, 0.515325
11.694, 1, 5, 2.80966, 3.27912, -1, -1, -1, 0.637142, 0.515943
11.792, 1, 5, 2.83504, 3.27688, -1, -1, -1, 0.651997, 0.51663
11.888, 1, 5, 2.8662, 3.27481, -1, -1, -1, 0.707328, 0.517588
11.98, 1, 5, 2.88147, 3.27284, -1, -1, -1, 0.72111, 0.518606
12.068, 1, 5, 2.91119, 3.27105, -1, -1, -1, 0.747127, 0.519743
12.312, 1, 5, 2.97073, 3.26794, -1, -1, -1, 0.799694, 0.522668
12.396, 1, 5, 2.99761, 3.26662, -1, -1, -1, 0.773171, 0.523896
12.506, 1, 5, 3.01985, 3.26541, -1, -1, -1, 0.753196, 0.525015
12.624, 1, 5, 3.04568, 3.26435, -1, -1, -1, 0.732741, 0.526023
12.746, 1, 5, 3.0626, 3.26337, -1, -1, -1, 0.713525, 0.526929
12.86, 1, 5, 3.07698, 3.26248, -1, -1, -1, 0.712793, 0.527822
13.08, 1, 5, 3.13507, 3.26108, -1, -1, -1, 0.721127, 0.529659
13.184, 1, 5, 3.17728, 3.26068, -1, -1, -1, 0.720518, 0.530564
13.28, 1, 5, 3.23432, 3.26056, -1, -1, -1, 0.725483, 0.531483
13.384, 1, 5, 3.27876, 3.26064, -1, -1, -1, 0.73331, 0.532431
13.48, 1, 5, 3.3208, 3.26092, -1, -1, -1, 0.738038, 0.533392
13.58, 1, 5, 3.36369, 3.2614, -1, -1, -1, 0.746524, 0.534383
13.682, 1, 5, 3.42317, 3.26215, -1, -1, -1, 0.753052, 0.535395
13.954, 1, 5, 3.54773, 3.26441, -1, -1, -1, 0.77042, 0.537509
14.076, 1, 5, 3.60554, 3.26596, -1, -1, -1, 0.777722, 0.538606
14.214, 1, 5, 3.65183, 3.26772, -1, -1, -1, 0.78228, 0.539713
14.338, 1, 5, 3.70182, 3.26968, -1, -1, -1, 0.785299, 0.540825
14.442, 1, 5, 3.74122, 3.27181, -1, -1, -1, 0.787443, 0.541935
