Stamp, Max volume, Current volume, Procentage
0.532, 2988, 7.426, 0.00248527
0.632, 2988, 7.426, 0.00248527
1.132, 2988, 8.227, 0.00275335
1.632, 2988, 8.912, 0.0029826
2.232, 2988, 10.53, 0.0035241
2.832, 2988, 27.89, 0.009334
3.432, 2988, 53.168, 0.0177938
4.132, 2988, 82.918, 0.0277503
4.732, 2988, 108.115, 0.0361831
5.532, 2988, 142.541, 0.0477045
6.54, 2988, 159.914, 0.0535187
7.532, 2988, 163.25, 0.0546352
8.132, 2988, 164.908, 0.0551901
8.732, 2988, 165.583, 0.055416
9.332, 2988, 166.158, 0.0556084
9.832, 2988, 166.394, 0.0556874
10.536, 2988, 166.579, 0.0557493
11.234, 2988, 166.63, 0.0557664
12.132, 2988, 167.918, 0.0561975
12.832, 2988, 172.719, 0.0578042
14.032, 2988, 188.191, 0.0629823
15.132, 2988, 193.12, 0.0646319
15.932, 2988, 196.474, 0.0657544
16.732, 2988, 197.791, 0.0661951
17.432, 2988, 198.06, 0.0662851
18.232, 2988, 202.961, 0.0679254
19.032, 2988, 205.771, 0.0688658
19.932, 2988, 205.879, 0.0689019
20.832, 2988, 206.405, 0.069078
21.532, 2988, 208.409, 0.0697487
22.032, 2988, 212.124, 0.070992
22.732, 2988, 214.602, 0.0718213
23.732, 2988, 216.958, 0.0726098
24.832, 2988, 217.115, 0.0726623
25.932, 2988, 219.252, 0.0733775
27.432, 2988, 219.656, 0.0735127
28.532, 2988, 220.373, 0.0737527
29.832, 2988, 227.67, 0.0761948
31.132, 2988, 227.969, 0.0762948
32.332, 2988, 228.042, 0.0763193
33.532, 2988, 228.045, 0.0763203
34.732, 2988, 228.098, 0.076338
36.432, 2988, 228.284, 0.0764003
37.232, 2988, 228.407, 0.0764414
37.734, 2988, 228.439, 0.0764521
38.432, 2988, 228.784, 0.0765676
39.332, 2988, 229.363, 0.0767614
40.132, 2988, 230.172, 0.0770321
40.634, 2988, 230.863, 0.0772634
41.334, 2988, 231.328, 0.077419
42.132, 2988, 231.384, 0.0774378
42.932, 2988, 231.384, 0.0774378
43.532, 2988, 231.397, 0.0774421
44.132, 2988, 231.397, 0.0774421
44.632, 2988, 231.397, 0.0774421
45.132, 2988, 231.397, 0.0774421
45.632, 2988, 231.397, 0.0774421
46.132, 2988, 231.397, 0.0774421
47.032, 2988, 231.397, 0.0774421
47.532, 2988, 231.397, 0.0774421
48.032, 2988, 231.397, 0.0774421
48.432, 2988, 231.397, 0.0774421
49.032, 2988, 231.397, 0.0774421
49.432, 2988, 231.397, 0.0774421
50.032, 2988, 231.397, 0.0774421
50.532, 2988, 231.397, 0.0774421
51.032, 2988, 231.397, 0.0774421
51.634, 2988, 231.397, 0.0774421
52.132, 2988, 231.397, 0.0774421
52.632, 2988, 231.397, 0.0774421
53.032, 2988, 231.397, 0.0774421
53.432, 2988, 231.397, 0.0774421
53.832, 2988, 231.397, 0.0774421
54.432, 2988, 231.397, 0.0774421
54.932, 2988, 231.397, 0.0774421
55.432, 2988, 231.397, 0.0774421
56.032, 2988, 231.397, 0.0774421
56.432, 2988, 231.397, 0.0774421
56.834, 2988, 231.397, 0.0774421
57.432, 2988, 231.397, 0.0774421
57.832, 2988, 231.397, 0.0774421
58.432, 2988, 231.397, 0.0774421
59.132, 2988, 231.397, 0.0774421
59.632, 2988, 231.397, 0.0774421
60.132, 2988, 231.397, 0.0774421
60.532, 2988, 231.397, 0.0774421
61.034, 2988, 231.397, 0.0774421
61.532, 2988, 231.397, 0.0774421
62.032, 2988, 231.397, 0.0774421
62.432, 2988, 231.397, 0.0774421
62.932, 2988, 231.397, 0.0774421
63.332, 2988, 231.397, 0.0774421
63.834, 2988, 231.397, 0.0774421
64.332, 2988, 231.397, 0.0774421
64.832, 2988, 231.397, 0.0774421
65.332, 2988, 231.397, 0.0774421
65.932, 2988, 231.397, 0.0774421
66.332, 2988, 231.397, 0.0774421
66.732, 2988, 231.397, 0.0774421
67.232, 2988, 231.397, 0.0774421
67.732, 2988, 231.397, 0.0774421
68.132, 2988, 231.397, 0.0774421
68.532, 2988, 231.397, 0.0774421
69.132, 2988, 231.397, 0.0774421
69.532, 2988, 231.397, 0.0774421
70.132, 2988, 231.397, 0.0774421
70.532, 2988, 231.397, 0.0774421
70.932, 2988, 231.397, 0.0774421
71.532, 2988, 231.397, 0.0774421
72.032, 2988, 231.397, 0.0774421
72.332, 2988, 231.397, 0.0774421
72.932, 2988, 231.397, 0.0774421
73.432, 2988, 231.397, 0.0774421
73.832, 2988, 231.397, 0.0774421
74.332, 2988, 231.397, 0.0774421
74.732, 2988, 231.397, 0.0774421
75.232, 2988, 231.397, 0.0774421
75.632, 2988, 231.397, 0.0774421
76.132, 2988, 231.397, 0.0774421
76.732, 2988, 231.397, 0.0774421
77.132, 2988, 231.397, 0.0774421
77.732, 2988, 231.397, 0.0774421
78.132, 2988, 231.397, 0.0774421
78.532, 2988, 231.397, 0.0774421
79.034, 2988, 231.397, 0.0774421
79.732, 2988, 231.397, 0.0774421
80.232, 2988, 231.397, 0.0774421
