Stamp, Max volume, Current volume, Procentage
-0.102, 2988, 6.543, 0.00218976
0.196, 2988, 6.573, 0.0021998
0.796, 2988, 6.586, 0.00220415
1.396, 2988, 6.588, 0.00220482
1.896, 2988, 6.588, 0.00220482
2.498, 2988, 6.607, 0.00221118
3.096, 2988, 6.65, 0.00222557
3.596, 2988, 6.656, 0.00222758
4.296, 2988, 6.69, 0.00223896
4.796, 2988, 6.71, 0.00224565
5.196, 2988, 6.71, 0.00224565
5.896, 2988, 6.72, 0.002249
6.296, 2988, 6.72, 0.002249
6.796, 2988, 6.72, 0.002249
7.396, 2988, 6.72, 0.002249
7.996, 2988, 6.724, 0.00225033
8.398, 2988, 6.746, 0.0022577
8.996, 2988, 6.746, 0.0022577
9.596, 2988, 6.747, 0.00225803
10.196, 2988, 6.747, 0.00225803
10.696, 2988, 6.747, 0.00225803
11.196, 2988, 6.747, 0.00225803
11.796, 2988, 6.747, 0.00225803
12.296, 2988, 6.747, 0.00225803
12.796, 2988, 6.747, 0.00225803
13.296, 2988, 6.747, 0.00225803
13.796, 2988, 6.75, 0.00225904
14.296, 2988, 6.784, 0.00227041
