Stamp, X, Y, Z, Yaw
0, 4.93552e-18, -9.9351e-34, -0.0403016, -0.0577188
0.034, 4.82151e-18, -9.7056e-34, -0.0393706, -0.0576239
0.068, 4.67065e-18, -9.40194e-34, -0.0381388, -0.0575803
0.096, 4.52551e-18, -9.10977e-34, -0.0369536, -0.0575295
0.134, 4.39917e-18, -8.85544e-34, -0.0359219, -0.0574782
0.168, 4.27134e-18, -8.59812e-34, -0.0348781, -0.0574929
0.204, 4.1059e-18, -8.2651e-34, -0.0335272, -0.057507
0.236, 3.99586e-18, -8.04358e-34, -0.0326286, -0.0574697
0.272, 3.83518e-18, -7.72014e-34, -0.0313166, -0.0574571
0.304, 3.68468e-18, -7.4172e-34, -0.0300877, -0.0574363
0.338, 3.54501e-18, -7.13604e-34, -0.0289472, -0.0574264
0.374, 3.3145e-18, -6.67203e-34, -0.027065, -0.0574106
0.408, 3.17558e-18, -6.39238e-34, -0.0259306, -0.0574052
0.442, 3.06489e-18, -6.16956e-34, -0.0250267, -0.0573851
0.476, 3.01416e-18, -6.06744e-34, -0.0246125, -0.0574239
0.51, 2.97874e-18, -5.99615e-34, -0.0243233, -0.0575568
0.542, 2.96414e-18, -5.96675e-34, -0.024204, -0.0576155
0.578, 3.02133e-18, -6.08189e-34, -0.0246711, -0.0577771
0.612, 3.07098e-18, -6.18183e-34, -0.0250765, -0.0579744
0.646, 3.14958e-18, -6.34004e-34, -0.0257182, -0.0582008
0.686, 3.22646e-18, -6.4948e-34, -0.0263461, -0.0583561
0.718, 3.2686e-18, -6.57962e-34, -0.0266901, -0.0585714
0.754, 3.29456e-18, -6.63189e-34, -0.0269021, -0.0587679
0.792, -9.44052e-05, 0.000137179, -0.0270544, -0.058918
0.824, 0.000259748, 0.000125366, -0.0263675, -0.0591101
0.86, 0.000647763, 0.000113505, -0.0254598, -0.0592644
0.894, 0.00109072, 0.000101468, -0.0243324, -0.0593348
0.928, 0.00155426, 8.91757e-05, -0.0229395, -0.0594166
0.962, 0.00204899, 7.68149e-05, -0.0215766, -0.0594415
1, 0.00282585, 6.28554e-05, -0.0199566, -0.0594738
1.036, 0.00361806, 5.08932e-05, -0.0183136, -0.0594899
1.072, 0.00412416, 4.53864e-05, -0.0172073, -0.0595515
1.108, 0.00487751, 3.73524e-05, -0.0156841, -0.0595851
1.142, 0.0054514, 3.2436e-05, -0.0147146, -0.0596351
1.176, 0.00594981, 2.6821e-05, -0.0138966, -0.0596616
1.21, 0.00628594, 2.40406e-05, -0.0131798, -0.0596937
1.244, 0.00658362, 2.32885e-05, -0.0125659, -0.0597728
1.278, 0.0069629, 2.30987e-05, -0.0116737, -0.0598834
1.314, 0.00736827, 2.31213e-05, -0.0107969, -0.0599501
1.35, 0.00768062, 2.38996e-05, -0.0101813, -0.0600681
1.386, 0.00792854, 2.63636e-05, -0.00954476, -0.060182
1.418, 0.00815536, 3.17672e-05, -0.00877593, -0.0602266
1.45, 0.00833023, 3.68994e-05, -0.00831393, -0.0602906
1.48, 0.00856164, 4.46819e-05, -0.00788547, -0.0603059
1.516, 0.00878236, 5.26042e-05, -0.00717305, -0.0603219
1.552, 0.00907009, 6.37181e-05, -0.00616108, -0.060356
1.586, 0.00931841, 7.37779e-05, -0.00531609, -0.0603683
1.62, 0.00956474, 8.44101e-05, -0.00457191, -0.0603781
1.658, 0.00975758, -2.08091e-05, -0.00376363, -0.060425
1.692, 0.00988236, -0.000223323, -0.00289245, -0.0605082
1.726, 0.0100556, -0.000443186, -0.00189124, -0.0605631
1.762, 0.0102125, -0.000557914, -0.00115454, -0.0606695
1.798, 0.0104367, -0.000693448, -0.000189008, -0.0607738
1.832, 0.0106528, -0.000812618, 0.000750316, -0.0608376
1.866, 0.0108598, -0.000954615, 0.00166773, -0.0609236
1.898, 0.0110247, -0.00123837, 0.00249416, -0.061001
1.932, 0.0112255, -0.00142972, 0.00328117, -0.0610175
1.968, 0.0114324, -0.00159518, 0.0040846, -0.0609829
1.994, 0.0116268, -0.0017738, 0.0049226, -0.0608867
2.036, 0.0117781, -0.00196464, 0.00586465, -0.0608064
2.07, 0.0118237, -0.00220346, 0.00656916, -0.0606859
2.106, 0.0119314, -0.0024095, 0.0074045, -0.0606704
2.14, 0.0120663, -0.00258823, 0.00815058, -0.0606749
2.176, 0.0121855, -0.00278333, 0.00881708, -0.060707
2.21, 0.0123626, -0.0029447, 0.00926625, -0.0607626
2.242, 0.0124236, -0.00315666, 0.00954592, -0.0607844
2.28, 0.0125213, -0.00338715, 0.00990175, -0.0607829
2.314, 0.0126629, -0.00354296, 0.0103833, -0.0608253
2.348, 0.0128092, -0.00364334, 0.0108133, -0.0608625
2.382, 0.0130207, -0.00376062, 0.0114151, -0.060974
2.422, 0.0132594, -0.00386046, 0.0120209, -0.0611191
2.454, 0.0132894, -0.0040177, 0.0122783, -0.0612065
2.49, 0.0133719, -0.00416835, 0.0128883, -0.061375
2.524, 0.0134607, -0.00433517, 0.0134851, -0.061522
2.558, 0.0135737, -0.00444907, 0.0139405, -0.0616089
2.59, 0.0137245, -0.00454707, 0.0143613, -0.0617748
2.634, 0.01381, -0.00464086, 0.0147042, -0.0619618
2.666, 0.0137662, -0.00473986, 0.0151058, -0.0620545
2.698, 0.0137621, -0.00481975, 0.0157092, -0.0622082
2.738, 0.0138008, -0.00488143, 0.0162794, -0.062374
2.772, 0.0138069, -0.00493472, 0.0166093, -0.0624515
2.808, 0.0138886, -0.0049684, 0.0171324, -0.0625189
2.844, 0.0138357, -0.00491387, 0.0176185, -0.0625762
2.878, 0.0137643, -0.00482876, 0.0181104, -0.0626121
2.914, 0.0137289, -0.00473798, 0.0185826, -0.0626288
2.95, 0.0137322, -0.00464109, 0.0189649, -0.0626803
2.984, 0.0137408, -0.00454396, 0.0192281, -0.062698
3.018, 0.0137775, -0.00444134, 0.0194118, -0.062735
3.052, 0.0135891, -0.00431218, 0.0195026, -0.0627442
3.088, 0.0134294, -0.00418344, 0.0195812, -0.0627486
3.122, 0.0132975, -0.00405372, 0.0197407, -0.0627486
3.158, 0.0131666, -0.0039299, 0.0198846, -0.0626985
3.188, 0.0130511, -0.00380754, 0.0201809, -0.0626485
3.224, 0.0128833, -0.00364185, 0.0205691, -0.062513
3.258, 0.0127837, -0.00353698, 0.020835, -0.0623992
3.294, 0.0126171, -0.00337455, 0.0211761, -0.0623325
3.33, 0.0125084, -0.00324636, 0.0214785, -0.0622678
3.364, 0.0123605, -0.00310626, 0.0215937, -0.0622271
3.398, 0.0122437, -0.00298403, 0.0217214, -0.0622313
3.434, 0.0120462, -0.00285323, 0.0218948, -0.0622428
3.464, 0.0118603, -0.00273294, 0.0220405, -0.062251
3.502, 0.0116905, -0.00261972, 0.0221761, -0.0622469
3.536, 0.0115485, -0.00250586, 0.0223367, -0.0622471
3.566, 0.0114263, -0.0023943, 0.0225137, -0.0622687
3.608, 0.0112447, -0.00227101, 0.0225798, -0.0622894
