Stamp, X, Y, Z, Yaw
0, 0.00743852, -0.00807016, -0.0360488, -0.068681
0.034, 0.00734827, -0.00802358, -0.0360584, -0.0686355
0.082, 0.00726717, -0.00798242, -0.0359665, -0.0686178
0.112, 0.00719618, -0.00794676, -0.035956, -0.0685934
0.148, 0.0071495, -0.00792239, -0.0359475, -0.0685683
0.184, 0.00720578, -0.00802591, -0.0358841, -0.0685481
0.218, 0.00729205, -0.00816361, -0.0358721, -0.0685241
0.252, 0.00735807, -0.00826243, -0.0359025, -0.0684926
0.288, 0.00745685, -0.00841354, -0.0356663, -0.0684769
0.322, 0.00754907, -0.00853499, -0.0355143, -0.0684637
0.356, 0.00763365, -0.00864796, -0.0353493, -0.0684604
0.392, 0.0076891, -0.00875943, -0.0352051, -0.0684286
0.422, 0.00774982, -0.00886789, -0.0349815, -0.0683614
0.46, 0.00781939, -0.00899155, -0.0345806, -0.0682847
0.494, 0.00787385, -0.00906916, -0.0343529, -0.0682616
0.526, 0.00795423, -0.00918629, -0.033703, -0.0681838
0.562, 0.00800908, -0.00927887, -0.0332745, -0.0681159
0.596, 0.0080467, -0.00934973, -0.0330723, -0.0680733
0.628, 0.00810079, -0.00944158, -0.0330064, -0.0680321
0.666, 0.00814362, -0.00952104, -0.0329719, -0.068007
0.7, 0.00819863, -0.00961465, -0.0327746, -0.067981
0.734, 0.00825722, -0.00970366, -0.0323617, -0.0679337
0.768, 0.00832766, -0.00976223, -0.0322004, -0.067919
0.804, 0.00842687, -0.00984101, -0.032187, -0.0678732
0.836, 0.00851082, -0.00990685, -0.0322418, -0.0677977
0.87, 0.00860748, -0.00997792, -0.0323955, -0.0677796
0.904, 0.00869992, -0.0100436, -0.0325364, -0.0677437
0.938, 0.00879665, -0.0101097, -0.0328451, -0.0676768
0.972, 0.00882086, -0.009993, -0.0328519, -0.0676373
1.006, 0.0087852, -0.00976387, -0.0324544, -0.067574
1.046, 0.00877136, -0.00960268, -0.031965, -0.0675236
1.084, 0.008772, -0.00942568, -0.0313905, -0.0674698
1.116, 0.00878505, -0.00933258, -0.0312844, -0.0674469
1.15, 0.00880142, -0.00923797, -0.0311576, -0.0673943
1.182, 0.00880396, -0.00916443, -0.0308041, -0.0673313
1.216, 0.00881473, -0.00909952, -0.0305768, -0.0672904
1.25, 0.00883231, -0.00904195, -0.0304099, -0.0672352
1.286, 0.0088406, -0.00898484, -0.030155, -0.0672055
1.318, 0.00886384, -0.00892378, -0.0299516, -0.0671834
1.352, 0.00884158, -0.00876961, -0.0296829, -0.0671537
1.386, 0.00877286, -0.00851863, -0.0293112, -0.0671218
1.422, 0.00872169, -0.0082912, -0.0291044, -0.0670857
1.456, 0.00868836, -0.00808567, -0.0286547, -0.0670216
1.494, 0.0086361, -0.00784965, -0.0280413, -0.0669656
1.532, 0.00863085, -0.00772565, -0.027814, -0.0669456
1.568, 0.00856702, -0.00753725, -0.0275542, -0.0669037
1.6, 0.00847057, -0.00733567, -0.0273448, -0.0668718
1.634, 0.0083579, -0.00710521, -0.027127, -0.0668547
1.668, 0.0082824, -0.00693884, -0.0270602, -0.0668111
1.704, 0.00820982, -0.00675345, -0.0270302, -0.0667593
1.736, 0.00812984, -0.00663517, -0.0270096, -0.0667322
1.77, 0.00795537, -0.00656983, -0.0270136, -0.0666741
1.806, 0.00779177, -0.00650977, -0.0268396, -0.0666301
1.842, 0.00761762, -0.00644388, -0.0266401, -0.0665437
1.874, 0.00750408, -0.00639825, -0.0265268, -0.0664546
1.908, 0.00740629, -0.00635792, -0.0265694, -0.0664166
1.946, 0.00728788, -0.0062804, -0.0268476, -0.0663721
1.98, 0.00718028, -0.00619615, -0.027135, -0.0663545
2.012, 0.00705054, -0.00609134, -0.027431, -0.0663694
2.046, 0.00692592, -0.00599508, -0.0275024, -0.066394
2.082, 0.00680482, -0.00588552, -0.0276394, -0.0664208
2.116, 0.00672464, -0.00580517, -0.0278201, -0.0664645
2.15, 0.00658749, -0.00569238, -0.0280294, -0.0664889
2.184, 0.0064558, -0.00557632, -0.0284005, -0.0665276
2.218, 0.00634127, -0.00547013, -0.0288746, -0.0665831
2.254, 0.0062106, -0.00535097, -0.0294144, -0.0666091
2.288, 0.0061287, -0.00526391, -0.0299085, -0.0666683
2.32, 0.0060604, -0.00518461, -0.0303967, -0.0667273
2.354, 0.00590618, -0.00516323, -0.0311913, -0.0667753
2.388, 0.00574356, -0.00515881, -0.0320191, -0.0668881
2.42, 0.00555286, -0.00515532, -0.0328282, -0.0669396
2.458, 0.005426, -0.00515227, -0.0333929, -0.0670772
2.49, 0.00531774, -0.00514943, -0.0339995, -0.0671859
2.526, 0.00521904, -0.00514774, -0.0345685, -0.0672798
2.558, 0.00506969, -0.0050939, -0.0349524, -0.0673172
2.592, 0.00494468, -0.00504486, -0.035543, -0.0673472
2.628, 0.00480636, -0.0049912, -0.0360487, -0.0673557
2.666, 0.00470885, -0.0049529, -0.0363762, -0.0673624
2.702, 0.00462198, -0.00491866, -0.0367152, -0.0673635
2.734, 0.00455128, -0.00488765, -0.0370967, -0.0673564
2.77, 0.00447256, -0.00485425, -0.0372542, -0.0673246
2.804, 0.00442061, -0.00483075, -0.0372192, -0.0672734
2.84, 0.00433637, -0.00477201, -0.0373819, -0.0672181
2.876, 0.00424819, -0.00470788, -0.0375247, -0.067186
2.91, 0.00417812, -0.0046491, -0.0379239, -0.0671438
2.944, 0.0041181, -0.00459664, -0.0382863, -0.0670944
2.978, 0.00406264, -0.00455055, -0.0382866, -0.0670661
3.012, 0.00402239, -0.00450823, -0.0385314, -0.0670393
3.048, 0.00392149, -0.00453388, -0.0383071, -0.0670304
3.082, 0.00384461, -0.00456624, -0.037951, -0.0670394
3.116, 0.00378155, -0.00459614, -0.0377312, -0.0670437
3.15, 0.00374072, -0.00461743, -0.0374972, -0.0670547
3.184, 0.00369585, -0.00464452, -0.0372384, -0.067066
3.218, 0.00364539, -0.00467705, -0.0369486, -0.0670855
3.254, 0.00364582, -0.00464774, -0.0368189, -0.0671351
3.288, 0.00365017, -0.00462261, -0.0368639, -0.0671612
3.322, 0.00365621, -0.00460087, -0.0369567, -0.0672528
3.356, 0.00366385, -0.0045821, -0.0370214, -0.067335
3.39, 0.00367832, -0.00456289, -0.0371839, -0.0673771
3.424, 0.00367638, -0.00457072, -0.0372559, -0.067465
3.458, 0.00363366, -0.00463861, -0.037253, -0.0674984
3.496, 0.00360464, -0.00468835, -0.0371446, -0.0675511
3.528, 0.00358412, -0.00473517, -0.0370956, -0.0675646
3.562, 0.00357106, -0.00477968, -0.0371424, -0.0675651
3.596, 0.00356427, -0.00482255, -0.0372543, -0.067588
3.63, 0.00357608, -0.00489256, -0.0374145, -0.0676283
3.664, 0.0036065, -0.0050063, -0.0374907, -0.0676573
3.696, 0.00363152, -0.00508946, -0.0375508, -0.0676592
3.73, 0.00366811, -0.00518689, -0.037902, -0.0676578
3.766, 0.0036983, -0.00525947, -0.0381135, -0.0676578
3.8, 0.00372962, -0.0053279, -0.0379531, -0.0676438
3.834, 0.00378956, -0.00532789, -0.0376909, -0.0676166
3.868, 0.00384556, -0.00532911, -0.0374739, -0.0676013
3.902, 0.00390058, -0.00533244, -0.0373586, -0.0675965
3.936, 0.00395591, -0.00533834, -0.0373159, -0.0675856
3.97, 0.00402441, -0.00534857, -0.0372834, -0.0675754
4.006, 0.00407997, -0.00535939, -0.0373822, -0.0675774
4.04, 0.0041436, -0.00530614, -0.0371165, -0.0675641
4.074, 0.00421633, -0.00526605, -0.0372469, -0.067565
4.108, 0.00429474, -0.00521902, -0.0374143, -0.067569
4.144, 0.00435736, -0.0051882, -0.0379072, -0.0675903
4.176, 0.00442131, -0.00516356, -0.0381345, -0.0675998
4.21, 0.0044873, -0.00514526, -0.038356, -0.067607
4.244, 0.0044792, -0.00531999, -0.0382518, -0.0676337
4.278, 0.0044838, -0.00548732, -0.037863, -0.0676357
4.312, 0.00449391, -0.00564461, -0.0375746, -0.0676364
4.344, 0.00450184, -0.00578808, -0.0372092, -0.0676179
4.38, 0.00451545, -0.00592583, -0.036751, -0.0675886
