Stamp, X, Y, Z, Yaw
0, -0.00589697, -0.00299733, 0.0113172, -0.0211628
0.034, -0.00585765, -0.00296204, 0.0112893, -0.0212263
0.068, -0.00580666, -0.00292214, 0.0113015, -0.0212737
0.102, -0.00571337, -0.0028667, 0.0113209, -0.0213083
0.136, -0.00563289, -0.00281296, 0.0112641, -0.0213636
0.168, -0.00555869, -0.00276532, 0.0113233, -0.0214008
0.202, -0.00551012, -0.00272979, 0.0114921, -0.0214081
0.236, -0.0054507, -0.00268584, 0.0116529, -0.0214239
0.272, -0.00536968, -0.00266032, 0.0118959, -0.0214245
0.304, -0.00526672, -0.00271508, 0.0118221, -0.0214242
0.34, -0.00515293, -0.00277455, 0.011572, -0.0214421
0.374, -0.0050921, -0.00280565, 0.0113543, -0.0214688
0.406, -0.00501989, -0.0028408, 0.0110539, -0.0214766
0.44, -0.00495388, -0.00287403, 0.0107647, -0.0214851
0.476, -0.00489379, -0.00295578, 0.0105061, -0.021485
0.51, -0.00486776, -0.00306111, 0.0103397, -0.0214914
0.546, -0.00484559, -0.0031557, 0.0103337, -0.0214937
0.578, -0.00482664, -0.00324139, 0.0102119, -0.02149
0.612, -0.00480607, -0.00333917, 0.00994041, -0.0214812
0.648, -0.00479354, -0.00340805, 0.00962862, -0.0214724
0.68, -0.0048006, -0.00343964, 0.00927532, -0.0214646
0.716, -0.00481459, -0.00345752, 0.00902138, -0.0214549
0.748, -0.00482887, -0.00347342, 0.00909487, -0.0214488
0.784, -0.00484315, -0.00348788, 0.00937548, -0.021453
0.816, -0.00486037, -0.00350437, 0.00972544, -0.0214607
0.85, -0.00487487, -0.00351536, 0.00991599, -0.0214697
0.884, -0.00490437, -0.00349766, 0.0098735, -0.0214851
0.916, -0.00493789, -0.003472, 0.00989001, -0.0214876
0.952, -0.00496914, -0.00344888, 0.0100032, -0.02149
0.986, -0.00499875, -0.00342789, 0.0100954, -0.0214785
1.018, -0.00502765, -0.00340809, 0.0100129, -0.0214742
1.054, -0.00506206, -0.00338548, 0.00993644, -0.0214581
1.086, -0.00523805, -0.00345018, 0.00995516, -0.0214451
1.12, -0.00540124, -0.00350861, 0.00997456, -0.0214255
1.154, -0.00555247, -0.00356172, 0.00996547, -0.0213773
