Stamp, X, Y, Z, Yaw
0, -1.43447e-18, 2.88756e-34, 0.0117133, -0.0382971
0.034, -1.37495e-18, 2.76776e-34, 0.0112274, -0.0387378
0.066, -1.37425e-18, 2.76634e-34, 0.0112216, -0.039541
0.102, -1.35381e-18, 2.72519e-34, 0.0110547, -0.0403675
0.134, -1.3325e-18, 2.6823e-34, 0.0108807, -0.0407082
0.168, -1.34122e-18, 2.69984e-34, 0.0109519, -0.0414643
0.202, -1.35757e-18, 2.73275e-34, 0.0110854, -0.0421748
0.234, -1.39458e-18, 2.80727e-34, 0.0113876, -0.042538
0.268, -1.46592e-18, 2.95087e-34, 0.0119701, -0.0430275
0.302, -1.60795e-18, 3.23678e-34, 0.0131299, -0.0433801
0.336, -1.73989e-18, 3.50237e-34, 0.0142073, -0.0436505
0.368, -1.86065e-18, 3.74546e-34, 0.0151934, -0.0440667
0.402, -1.98473e-18, 3.99522e-34, 0.0162065, -0.0442537
0.438, -2.02601e-18, 4.07831e-34, 0.0165436, -0.0444862
0.47, -2.04056e-18, 4.10762e-34, 0.0166625, -0.0446696
0.506, -2.06889e-18, 4.16464e-34, 0.0168938, -0.0448172
0.54, -2.10504e-18, 4.23741e-34, 0.017189, -0.0448552
0.574, -2.14469e-18, 4.31722e-34, 0.0175127, -0.04499
0.608, -2.18876e-18, 4.40593e-34, 0.0178726, -0.0451161
0.642, -2.17731e-18, 4.38288e-34, 0.0177791, -0.0451821
0.676, -2.1389e-18, 4.30557e-34, 0.0174654, -0.0453741
0.71, -2.12311e-18, 4.27378e-34, 0.0173365, -0.0456998
0.744, -2.09497e-18, 4.21713e-34, 0.0171067, -0.0458397
0.776, -2.02543e-18, 4.07715e-34, 0.0165389, -0.0461182
0.812, -1.99127e-18, 4.0084e-34, 0.01626, -0.0465025
0.846, -2.09336e-18, 4.21389e-34, 0.0170936, -0.0466575
0.88, -2.26432e-18, 4.55803e-34, 0.0184896, -0.0470518
0.912, -2.47955e-18, 4.99129e-34, 0.0202471, -0.0474526
0.948, -2.61494e-18, 5.26382e-34, 0.0213526, -0.0476895
0.98, -2.7361e-18, 5.50772e-34, 0.022342, -0.0480767
1.014, -2.81529e-18, 5.66712e-34, 0.0229886, -0.0484302
1.048, -2.92974e-18, 5.89751e-34, 0.0239231, -0.0486569
1.082, -3.10135e-18, 6.24295e-34, 0.0253244, -0.0490965
1.21, -3.39381e-18, 6.83167e-34, 0.0277125, -0.0504724
1.238, -3.38455e-18, 6.81303e-34, 0.0276369, -0.0507079
1.274, -3.34486e-18, 6.73313e-34, 0.0273128, -0.0512011
1.314, -3.28737e-18, 6.61742e-34, 0.0268434, -0.0515794
1.346, -3.20901e-18, 6.45968e-34, 0.0262036, -0.0517484
1.382, -3.08996e-18, 6.22003e-34, 0.0252314, -0.052019
1.414, -2.99244e-18, 6.02372e-34, 0.0244351, -0.0523081
1.452, -2.88508e-18, 5.80761e-34, 0.0235585, -0.0524289
1.486, -2.75423e-18, 5.54422e-34, 0.02249, -0.0527472
1.52, -2.63462e-18, 5.30344e-34, 0.0215133, -0.0530624
1.556, -2.54189e-18, 5.11677e-34, 0.0207561, -0.0532227
1.59, -2.43665e-18, 4.90492e-34, 0.0198967, -0.0535325
1.624, -2.35764e-18, 4.74589e-34, 0.0192516, -0.0537893
1.656, -2.3598e-18, 4.75023e-34, 0.0192692, -0.0538973
1.692, -2.2838e-18, 4.59724e-34, 0.0186486, -0.0540618
1.734, -2.1908e-18, 4.41004e-34, 0.0178892, -0.0542159
1.768, -2.1093e-18, 4.24598e-34, 0.0172237, -0.0543176
1.86, -1.88345e-18, 3.79135e-34, 0.0153795, -0.0547811
1.896, -1.82474e-18, 3.67316e-34, 0.0149001, -0.0549727
1.934, -1.73941e-18, 3.5014e-34, 0.0142034, -0.05515
1.968, -1.70011e-18, 3.4223e-34, 0.0138825, -0.0552413
2.002, -1.63454e-18, 3.29029e-34, 0.013347, -0.0553358
2.038, -1.58588e-18, 3.19234e-34, 0.0129497, -0.0552718
2.072, -1.52225e-18, 3.06426e-34, 0.0124301, -0.0552411
2.106, -1.4876e-18, 2.99452e-34, 0.0121472, -0.0551785
2.146, -1.43715e-18, 2.89296e-34, 0.0117352, -0.055204
2.18, -1.41012e-18, 2.83854e-34, 0.0115145, -0.0552383
2.214, -1.37148e-18, 2.76076e-34, 0.011199, -0.0553356
2.248, -1.343e-18, 2.70344e-34, 0.0109665, -0.0554364
2.282, -1.33048e-18, 2.67823e-34, 0.0108642, -0.055509
2.32, -1.34316e-18, 2.70375e-34, 0.0109677, -0.0557049
2.354, -1.38224e-18, 2.78242e-34, 0.0112868, -0.0559141
2.388, -1.41264e-18, 2.84362e-34, 0.0115351, -0.0560277
2.422, -1.45858e-18, 2.93609e-34, 0.0119102, -0.0562692
2.456, -1.47234e-18, 2.96379e-34, 0.0120226, -0.0564891
2.552, -1.37267e-18, 2.76315e-34, 0.0112087, -0.0572168
2.586, -1.32219e-18, 2.66154e-34, 0.0107965, -0.0573595
2.62, -1.29079e-18, 2.59833e-34, 0.0105401, -0.0576322
2.658, -1.25828e-18, 2.53289e-34, 0.0102746, -0.0579137
2.692, -1.2278e-18, 2.47154e-34, 0.0100258, -0.0580366
2.726, -1.17545e-18, 2.36616e-34, 0.00959829, -0.058307
2.762, -1.18713e-18, 2.38967e-34, 0.00969364, -0.0585683
2.8, -1.20971e-18, 2.43512e-34, 0.00987804, -0.0586656
2.834, -1.22355e-18, 2.46298e-34, 0.00999105, -0.058883
2.87, -1.23225e-18, 2.4805e-34, 0.0100621, -0.0590914
2.904, -1.22047e-18, 2.45679e-34, 0.00996591, -0.0592071
2.938, -1.23081e-18, 2.4776e-34, 0.0100503, -0.0593414
2.972, -1.26254e-18, 2.54147e-34, 0.0103094, -0.0593874
3.008, -1.29463e-18, 2.60606e-34, 0.0105714, -0.0594242
3.044, -1.36555e-18, 2.74882e-34, 0.0111505, -0.0594306
3.078, -1.4546e-18, 2.92808e-34, 0.0118777, -0.0594683
3.11, -1.5098e-18, 3.0392e-34, 0.0123285, -0.0594754
3.144, -1.56221e-18, 3.1447e-34, 0.0127564, -0.0595304
3.308, -1.88621e-18, 3.7969e-34, 0.015402, -0.0595463
3.342, -1.86006e-18, 3.74427e-34, 0.0151886, -0.0594652
3.374, -1.83185e-18, 3.68749e-34, 0.0149582, -0.0593721
3.41, -1.81822e-18, 3.66005e-34, 0.0148469, -0.0593204
3.444, -1.84214e-18, 3.70819e-34, 0.0150422, -0.0592076
3.476, -1.83924e-18, 3.70235e-34, 0.0150185, -0.0590979
3.51, -1.83603e-18, 3.6959e-34, 0.0149923, -0.059057
3.546, -1.85056e-18, 3.72514e-34, 0.015111, -0.0589587
3.58, 2.03236e-07, 5.76716e-06, 0.015301, -0.0588969
3.614, 1.44452e-07, 5.12755e-06, 0.0156552, -0.0588378
3.648, 1.18617e-07, 4.31515e-06, 0.0163714, -0.058741
3.682, 1.58999e-07, 3.75172e-06, 0.0172122, -0.0585995
3.716, 2.92232e-07, 3.05027e-06, 0.0183154, -0.05855
3.75, 5.86061e-07, 2.41996e-06, 0.0194153, -0.0584571
3.784, -0.000371054, 1.84099e-06, 0.0204441, -0.058383
3.82, -0.000630392, 1.28e-06, 0.0224674, -0.0582825
3.854, -0.000914156, 9.96232e-07, 0.0294698, -0.0581489
3.886, -0.00110881, 1.34322e-06, 0.0383343, -0.057993
3.92, -0.00123206, 2.22485e-06, 0.0491257, -0.0579107
4.026, -0.00178209, 8.72869e-06, 0.0890238, -0.0572914
4.06, -0.00197867, 1.23942e-05, 0.100885, -0.0570576
