Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
0.779269, 1, 5, 0.863585, 0.863585, -1, -1, -1, 0.249117, 0.249117
0.825269, 1, 5, 0.863387, 0.863486, -1, -1, -1, 0.248981, 0.249049
0.847269, 1, 5, 0.863239, 0.863404, -1, -1, -1, 0.248852, 0.248984
0.881269, 1, 5, 0.863081, 0.863323, -1, -1, -1, 0.24874, 0.248923
0.915269, 1, 5, 0.862913, 0.863241, -1, -1, -1, 0.248642, 0.248867
0.949269, 1, 5, 0.862736, 0.863157, -1, -1, -1, 0.248554, 0.248815
0.983269, 1, 5, 0.86257, 0.863073, -1, -1, -1, 0.248485, 0.248767
1.01727, 1, 5, 0.86239, 0.862988, -1, -1, -1, 0.248356, 0.248716
1.05127, 1, 5, 0.862187, 0.862899, -1, -1, -1, 0.248187, 0.248657
1.08327, 1, 5, 0.862034, 0.862812, -1, -1, -1, 0.248048, 0.248596
1.11727, 1, 5, 0.861915, 0.862731, -1, -1, -1, 0.247951, 0.248538
1.15127, 1, 5, 0.861713, 0.862646, -1, -1, -1, 0.247819, 0.248478
1.18527, 1, 5, 0.861593, 0.862565, -1, -1, -1, 0.247734, 0.248421
1.29127, 1, 5, 0.861065, 0.862311, -1, -1, -1, 0.247279, 0.248231
1.32527, 1, 5, 0.860904, 0.862228, -1, -1, -1, 0.247143, 0.248167
1.35527, 1, 5, 0.86075, 0.862146, -1, -1, -1, 0.247013, 0.248103
1.38927, 1, 5, 0.86063, 0.862067, -1, -1, -1, 0.246971, 0.248043
1.42327, 1, 5, 0.86057, 0.861992, -1, -1, -1, 0.246981, 0.24799
1.46127, 1, 5, 0.860464, 0.861919, -1, -1, -1, 0.247002, 0.247943
1.49527, 1, 5, 0.860374, 0.861849, -1, -1, -1, 0.247012, 0.247901
1.53127, 1, 5, 0.860292, 0.861781, -1, -1, -1, 0.246999, 0.247862
1.56327, 1, 5, 0.860227, 0.861716, -1, -1, -1, 0.246991, 0.247825
1.60127, 1, 5, 0.860145, 0.861653, -1, -1, -1, 0.246983, 0.247792
1.63327, 1, 5, 0.860053, 0.861592, -1, -1, -1, 0.24696, 0.24776
1.66727, 1, 5, 0.859974, 0.861532, -1, -1, -1, 0.246922, 0.247729
1.70127, 1, 5, 0.859912, 0.861474, -1, -1, -1, 0.246918, 0.2477
1.80727, 1, 5, 0.859764, 0.861313, -1, -1, -1, 0.246864, 0.247621
1.84327, 1, 5, 0.859713, 0.861263, -1, -1, -1, 0.246822, 0.247596
1.87727, 1, 5, 0.85968, 0.861215, -1, -1, -1, 0.246814, 0.247572
1.91727, 1, 5, 0.859625, 0.861168, -1, -1, -1, 0.246825, 0.24755
1.94727, 1, 5, 0.859586, 0.861123, -1, -1, -1, 0.246812, 0.247529
1.98127, 1, 5, 0.859545, 0.861079, -1, -1, -1, 0.246786, 0.247508
2.01927, 1, 5, 0.859516, 0.861037, -1, -1, -1, 0.246753, 0.247488
2.05727, 1, 5, 0.859463, 0.860995, -1, -1, -1, 0.246712, 0.247468
2.09327, 1, 5, 0.859614, 0.86096, -1, -1, -1, 0.246861, 0.247452
2.12527, 1, 5, 0.859853, 0.860932, -1, -1, -1, 0.247073, 0.247443
