Stamp, Max volume, Current volume, Procentage
0.396, 2988, 7.347, 0.00245884
0.496, 2988, 7.347, 0.00245884
0.896, 2988, 7.347, 0.00245884
1.296, 2988, 7.347, 0.00245884
1.596, 2988, 7.348, 0.00245917
2.096, 2988, 7.348, 0.00245917
2.396, 2988, 7.348, 0.00245917
2.796, 2988, 7.348, 0.00245917
3.096, 2988, 7.348, 0.00245917
3.496, 2988, 7.396, 0.00247523
3.796, 2988, 7.414, 0.00248126
4.196, 2988, 7.421, 0.0024836
4.396, 2988, 7.421, 0.0024836
4.896, 2988, 7.421, 0.0024836
5.296, 2988, 7.421, 0.0024836
5.596, 2988, 7.421, 0.0024836
5.996, 2988, 7.429, 0.00248628
6.496, 2988, 7.435, 0.00248829
6.896, 2988, 7.461, 0.00249699
