Stamp, Min, Max, Current closest distance, Mean closest distance, Current closest router distance, Min altitude, Max altitude, Current closest altitude, Mean closest altitude
2.086, 1, 5, 3.39862, 3.39862, -1, -1, -1, 0.411584, 0.411584
2.144, 1, 5, 3.39856, 3.39859, -1, -1, -1, 0.413549, 0.412566
2.176, 1, 5, 3.3985, 3.39856, -1, -1, -1, 0.415713, 0.413615
2.206, 1, 5, 3.39848, 3.39854, -1, -1, -1, 0.416714, 0.41439
2.22, 1, 5, 3.39842, 3.39852, -1, -1, -1, 0.418977, 0.415307
2.254, 1, 5, 3.3984, 3.3985, -1, -1, -1, 0.419601, 0.416023
2.288, 1, 5, 3.39834, 3.39848, -1, -1, -1, 0.422155, 0.416899
2.324, 1, 5, 3.39829, 3.39845, -1, -1, -1, 0.424444, 0.417842
2.358, 1, 5, 3.3982, 3.39842, -1, -1, -1, 0.428393, 0.419014
2.39, 1, 5, 3.39815, 3.3984, -1, -1, -1, 0.431099, 0.420223
2.428, 1, 5, 3.39809, 3.39837, -1, -1, -1, 0.434555, 0.421526
2.462, 1, 5, 3.39798, 3.39834, -1, -1, -1, 0.440476, 0.423105
2.496, 1, 5, 3.39791, 3.3983, -1, -1, -1, 0.444623, 0.42476
2.528, 1, 5, 3.39785, 3.39827, -1, -1, -1, 0.449268, 0.426511
2.562, 1, 5, 3.39785, 3.39824, -1, -1, -1, 0.453481, 0.428309
2.596, 1, 5, 3.39797, 3.39823, -1, -1, -1, 0.458341, 0.430186
2.702, 1, 5, 3.39911, 3.3983, -1, -1, -1, 0.470317, 0.435944
2.736, 1, 5, 3.40119, 3.39844, -1, -1, -1, 0.474308, 0.437863
2.772, 1, 5, 3.40203, 3.39861, -1, -1, -1, 0.478493, 0.439797
2.806, 1, 5, 3.40274, 3.3988, -1, -1, -1, 0.481431, 0.44169
2.842, 1, 5, 3.40373, 3.39901, -1, -1, -1, 0.48479, 0.443564
2.876, 1, 5, 3.40448, 3.39924, -1, -1, -1, 0.487185, 0.445381
2.91, 1, 5, 3.40553, 3.39949, -1, -1, -1, 0.490273, 0.447177
2.946, 1, 5, 3.40618, 3.39975, -1, -1, -1, 0.49167, 0.448888
2.98, 1, 5, 3.40724, 3.40003, -1, -1, -1, 0.493642, 0.450546
3.014, 1, 5, 3.40784, 3.40031, -1, -1, -1, 0.494808, 0.452126
3.048, 1, 5, 3.40863, 3.40059, -1, -1, -1, 0.496439, 0.453655
3.082, 1, 5, 3.40919, 3.40088, -1, -1, -1, 0.497436, 0.455114
3.118, 1, 5, 3.40984, 3.40117, -1, -1, -1, 0.498861, 0.456525
3.152, 1, 5, 3.41071, 3.40147, -1, -1, -1, 0.501335, 0.457925
3.186, 1, 5, 3.41118, 3.40176, -1, -1, -1, 0.503002, 0.459291
3.22, 1, 5, 3.41193, 3.40206, -1, -1, -1, 0.505719, 0.460657
3.252, 1, 5, 3.4126, 3.40236, -1, -1, -1, 0.508604, 0.462027
3.354, 1, 5, 3.41359, 3.40322, -1, -1, -1, 0.515041, 0.466035
3.386, 1, 5, 3.41389, 3.4035, -1, -1, -1, 0.516162, 0.46732
3.422, 1, 5, 3.41427, 3.40376, -1, -1, -1, 0.517429, 0.468573
3.456, 1, 5, 3.41436, 3.40402, -1, -1, -1, 0.517584, 0.469768
3.492, 1, 5, 3.41445, 3.40427, -1, -1, -1, 0.518063, 0.470918
3.526, 1, 5, 3.4145, 3.40451, -1, -1, -1, 0.518887, 0.472034
3.562, 1, 5, 3.41447, 3.40474, -1, -1, -1, 0.519636, 0.473116
3.596, 1, 5, 3.41447, 3.40495, -1, -1, -1, 0.520898, 0.474178
3.63, 1, 5, 3.41442, 3.40516, -1, -1, -1, 0.522725, 0.475233
3.666, 1, 5, 3.4143, 3.40535, -1, -1, -1, 0.524519, 0.476282
3.7, 1, 5, 3.41424, 3.40554, -1, -1, -1, 0.526929, 0.477337
3.734, 1, 5, 3.4141, 3.40571, -1, -1, -1, 0.527834, 0.478367
3.768, 1, 5, 3.41387, 3.40588, -1, -1, -1, 0.529722, 0.479394
3.802, 1, 5, 3.41363, 3.40603, -1, -1, -1, 0.531055, 0.480407
3.832, 1, 5, 3.41331, 3.40617, -1, -1, -1, 0.5325, 0.481409
3.868, 1, 5, 3.41297, 3.4063, -1, -1, -1, 0.533641, 0.482395
3.9, 1, 5, 3.39794, 3.40614, -1, -1, -1, 0.533414, 0.483339
3.938, 1, 5, 3.39793, 3.40599, -1, -1, -1, 0.534154, 0.484263
3.974, 1, 5, 3.39797, 3.40585, -1, -1, -1, 0.530668, 0.485092
4.068, 1, 5, 3.39878, 3.40547, -1, -1, -1, 0.489608, 0.486177
4.102, 1, 5, 3.39781, 3.40534, -1, -1, -1, 0.465805, 0.485837
4.136, 1, 5, 3.3982, 3.40523, -1, -1, -1, 0.430835, 0.484936
4.17, 1, 5, 3.3987, 3.40512, -1, -1, -1, 0.410412, 0.483734
4.202, 1, 5, 3.39782, 3.405, -1, -1, -1, 0.383564, 0.482144
4.236, 1, 5, 3.39803, 3.4049, -1, -1, -1, 0.364299, 0.480302
4.272, 1, 5, 3.39849, 3.4048, -1, -1, -1, 0.344055, 0.478206
4.306, 1, 5, 3.39896, 3.40471, -1, -1, -1, 0.330843, 0.475974
4.34, 1, 5, 3.39782, 3.40461, -1, -1, -1, 0.315915, 0.473585
4.374, 1, 5, 3.39811, 3.40451, -1, -1, -1, 0.29778, 0.470999
4.408, 1, 5, 3.39858, 3.40442, -1, -1, -1, 0.284866, 0.468302
4.444, 1, 5, 0.951391, 3.36938, -1, -1, -1, 0.269708, 0.465465
4.478, 1, 5, 0.951952, 3.33533, -1, -1, -1, 0.263153, 0.462615
4.512, 1, 5, 0.953402, 3.30225, -1, -1, -1, 0.257615, 0.459768
4.546, 1, 5, 0.955863, 3.27011, -1, -1, -1, 0.255043, 0.456963
7.61, 1, 5, 6.43673, 3.11724, -1, -1, -1, 0.255677, 0.455536
7.688, 1, 5, 6.43651, 3.14062, -1, -1, -1, 0.257946, 0.454144
7.738, 1, 5, 6.43639, 3.16367, -1, -1, -1, 0.260502, 0.45279
7.796, 1, 5, 6.43627, 3.18639, -1, -1, -1, 0.266067, 0.451494
7.856, 1, 5, 6.43623, 3.2088, -1, -1, -1, 0.271657, 0.450253
7.918, 1, 5, 6.43691, 3.23092, -1, -1, -1, 0.276238, 0.449061
7.974, 1, 5, 6.43665, 3.25272, -1, -1, -1, 0.284467, 0.447942
8.038, 1, 5, 6.43644, 3.27423, -1, -1, -1, 0.294443, 0.446905
8.096, 1, 5, 6.43632, 3.29546, -1, -1, -1, 0.304013, 0.445946
8.158, 1, 5, 6.43628, 3.3164, -1, -1, -1, 0.309084, 0.445033
8.218, 1, 5, 6.43623, 3.33706, -1, -1, -1, 0.321563, 0.444216
8.288, 1, 5, 0.268336, 3.31687, -1, -1, -1, 0.334349, 0.443493
8.508, 1, 5, 0.25526, 3.25768, -1, -1, -1, 0.384216, 0.441966
8.574, 1, 5, 0.966667, 3.24299, -1, -1, -1, 0.254967, 0.440768
8.65, 1, 5, 0.96521, 3.22849, -1, -1, -1, 0.255627, 0.439588
8.716, 1, 5, 0.964142, 3.21415, -1, -1, -1, 0.257002, 0.438433
8.786, 1, 5, 0.963157, 3.2, -1, -1, -1, 0.259487, 0.437307
8.876, 1, 5, 0.962434, 3.18601, -1, -1, -1, 0.262916, 0.436217
8.954, 1, 5, 0.961887, 3.1722, -1, -1, -1, 0.268728, 0.435177
9.032, 1, 5, 0.961772, 3.15855, -1, -1, -1, 0.273057, 0.434176
9.096, 1, 5, 3.39899, 3.16003, -1, -1, -1, 0.277612, 0.433216
9.168, 1, 5, 3.39871, 3.16148, -1, -1, -1, 0.282326, 0.432296
9.424, 1, 5, 3.39934, 3.16575, -1, -1, -1, 0.299181, 0.42979
9.488, 1, 5, 3.39884, 3.16713, -1, -1, -1, 0.298526, 0.429009
9.544, 1, 5, 3.39824, 3.1685, -1, -1, -1, 0.296186, 0.428223
9.598, 1, 5, 3.39801, 3.16985, -1, -1, -1, 0.295075, 0.42744
9.666, 1, 5, 3.39768, 3.17118, -1, -1, -1, 0.292667, 0.426652
9.726, 1, 5, 3.39752, 3.1725, -1, -1, -1, 0.290874, 0.425862
9.784, 1, 5, 3.39741, 3.1738, -1, -1, -1, 0.290231, 0.425078
9.848, 1, 5, 3.39729, 3.17508, -1, -1, -1, 0.289328, 0.424298
9.9, 1, 5, 3.39731, 3.17635, -1, -1, -1, 0.288887, 0.423524
9.968, 1, 5, 3.39721, 3.17761, -1, -1, -1, 0.288559, 0.422757
10.038, 1, 5, 3.39705, 3.17885, -1, -1, -1, 0.288327, 0.421998
10.302, 1, 5, 3.39644, 3.18366, -1, -1, -1, 0.287553, 0.419034
10.36, 1, 5, 3.39627, 3.18483, -1, -1, -1, 0.287101, 0.418309
10.416, 1, 5, 3.39609, 3.18598, -1, -1, -1, 0.286414, 0.417588
10.476, 1, 5, 3.396, 3.18712, -1, -1, -1, 0.285797, 0.416872
10.536, 1, 5, 3.39577, 3.18825, -1, -1, -1, 0.28502, 0.41616
10.6, 1, 5, 3.39557, 3.18937, -1, -1, -1, 0.284286, 0.415451
